player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Marko Arnautovic,AUT,29,89.0,1,0,0,0,4,3,0,0,57.0,2.0,0,0.0,0.8,0.8,0.4,9.0,2.0,36.0,48.0,75.0,6.0,40.0,3.0,1.0,0.0,536.0,112.0,20.0,26.0,76.9,8.0,11.0,72.7,4.0,4.0,100.0,0.3,2.0,1.0,4.0,0.0,46.0,2.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,12.0,43.0,10.0,57.0,0.0,1.0,100.0,207.0,90.0,4.0,1.0,3.0,0.0,50.0,11.0,0,0,1,0,0.0,0.0,0,3.0,0.0,2.0,0.0,True,2018-2019,FW,None,None,None,0.9888888888888889,Burnley_West_Ham,Burnley_West_Ham_2018,2.4,1.1,4.0,2.0,2018-11-03,Roger East,London Stadium,Sat,15:00,"56,862",114,West Ham,Burnley,29.325842696629213,1.0112359550561798,0.0,0.0,0.0,4.044943820224719,3.033707865168539,0.0,0.0,57.640449438202246,2.0224719101123596,0.0,0.0,0.8089887640449438,0.8089887640449438,0.4044943820224719,9.101123595505618,2.0224719101123596,36.40449438202247,48.53932584269663,75.84269662921348,6.067415730337078,40.44943820224719,3.033707865168539,1.0112359550561798,0.0,542.0224719101124,113.25842696629213,20.224719101123593,26.29213483146067,77.76404494382022,8.089887640449438,11.123595505617978,73.51685393258427,4.044943820224719,4.044943820224719,101.12359550561797,0.3033707865168539,2.0224719101123596,1.0112359550561798,4.044943820224719,0.0,46.51685393258427,2.0224719101123596,0.0,1.0112359550561798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0224719101123596,2.0224719101123596,2.0224719101123596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0224719101123596,0.0,0.0,0.0,3.033707865168539,12.134831460674157,43.48314606741573,10.112359550561797,57.640449438202246,0.0,1.0112359550561798,101.12359550561797,209.3258426966292,91.01123595505618,4.044943820224719,1.0112359550561798,3.033707865168539,0.0,50.561797752808985,11.123595505617978,0.0,0.0,1.0112359550561798,0.0,0.0,0.0,0.0,3.033707865168539,0.0,2.0224719101123596,0.0,1.0,2.426966292134831,1.1123595505617978,4.044943820224719,2.0224719101123596,115.28089887640449
Angelo Ogbonna,ITA,30,1.0,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,True,2018-2019,CB,None,None,None,0.011111111111111112,Burnley_West_Ham,Burnley_West_Ham_2018,2.4,1.1,4.0,2.0,2018-11-03,Roger East,London Stadium,Sat,15:00,"56,862",114,West Ham,Burnley,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,9000.0,0.0,0.0,0.0,0.0,0.0,1890.0,90.0,0.0,0.0,0.0,90.0,90.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,90.0,180.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,9000.0,1.0,215.99999999999997,99.0,360.0,180.0,10260.0
Felipe Anderson,BRA,25,90.0,2,0,0,0,5,3,1,0,94.0,2.0,0,3.0,0.8,0.8,0.4,5.0,1.0,59.0,78.0,75.6,8.0,58.0,5.0,7.0,3.0,891.0,248.0,34.0,38.0,89.5,20.0,26.0,76.9,3.0,6.0,50.0,0.2,2.0,4.0,5.0,0.0,75.0,3.0,1.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,48.0,43.0,5.0,94.0,42.9,4.0,57.1,351.0,158.0,4.0,1.0,1.0,2.0,72.0,12.0,0,1,4,0,0.0,0.0,0,9.0,1.0,1.0,50.0,True,2018-2019,LM,None,None,None,1.0,Burnley_West_Ham,Burnley_West_Ham_2018,2.4,1.1,4.0,2.0,2018-11-03,Roger East,London Stadium,Sat,15:00,"56,862",114,West Ham,Burnley,25.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,94.0,2.0,0.0,3.0,0.8,0.8,0.4,5.0,1.0,59.0,78.0,75.6,8.0,58.0,5.0,7.0,3.0,891.0,248.0,34.0,38.0,89.5,20.0,26.0,76.9,3.0,6.0,50.0,0.2,2.0,4.0,5.0,0.0,75.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,48.0,43.0,5.0,94.0,42.9,4.0,57.1,351.0,158.0,4.0,1.0,1.0,2.0,72.0,12.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,50.0,1.0,2.4,1.1,4.0,2.0,114.0
Robert Snodgrass,SCO,31,90.0,0,0,0,0,1,1,0,0,75.0,0.0,1,0.0,0.0,0.0,0.2,4.0,0.0,47.0,63.0,74.6,6.0,40.0,2.0,4.0,2.0,703.0,206.0,21.0,25.0,84.0,21.0,25.0,84.0,1.0,8.0,12.5,0.1,3.0,2.0,1.0,0.0,49.0,14.0,4.0,0.0,0.0,10,0.0,10.0,4.0,4.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,8.0,32.0,35.0,1.0,75.0,50.0,2.0,50.0,271.0,107.0,0.0,0.0,3.0,0.0,47.0,4.0,0,2,2,0,0.0,0.0,0,9.0,0.0,2.0,0.0,True,2018-2019,CM,None,None,None,1.0,Burnley_West_Ham,Burnley_West_Ham_2018,2.4,1.1,4.0,2.0,2018-11-03,Roger East,London Stadium,Sat,15:00,"56,862",114,West Ham,Burnley,31.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,75.0,0.0,1.0,0.0,0.0,0.0,0.2,4.0,0.0,47.0,63.0,74.6,6.0,40.0,2.0,4.0,2.0,703.0,206.0,21.0,25.0,84.0,21.0,25.0,84.0,1.0,8.0,12.5,0.1,3.0,2.0,1.0,0.0,49.0,14.0,4.0,0.0,0.0,10.0,0.0,10.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,8.0,32.0,35.0,1.0,75.0,50.0,2.0,50.0,271.0,107.0,0.0,0.0,3.0,0.0,47.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,1.0,2.4,1.1,4.0,2.0,114.0
Pedro Obiang,EQG,26,60.0,0,0,0,0,4,1,0,0,30.0,0.0,0,0.0,0.1,0.1,0.0,2.0,0.0,20.0,26.0,76.9,5.0,22.0,2.0,0.0,0.0,316.0,134.0,12.0,14.0,85.7,7.0,9.0,77.8,1.0,3.0,33.3,0.0,0.0,4.0,1.0,0.0,26.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,13.0,1.0,30.0,0.0,0.0,0.0,110.0,84.0,2.0,1.0,0.0,0.0,25.0,4.0,0,1,1,0,0.0,0.0,0,4.0,0.0,4.0,0.0,True,2018-2019,CM,None,None,None,0.6666666666666666,Burnley_West_Ham,Burnley_West_Ham_2018,2.4,1.1,4.0,2.0,2018-11-03,Roger East,London Stadium,Sat,15:00,"56,862",114,West Ham,Burnley,39.0,0.0,0.0,0.0,0.0,6.0,1.5,0.0,0.0,45.0,0.0,0.0,0.0,0.15000000000000002,0.15000000000000002,0.0,3.0,0.0,30.0,39.0,115.35000000000001,7.5,33.0,3.0,0.0,0.0,474.0,201.0,18.0,21.0,128.55,10.5,13.5,116.7,1.5,4.5,49.949999999999996,0.0,0.0,6.0,1.5,0.0,39.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,22.5,19.5,1.5,45.0,0.0,0.0,0.0,165.0,126.0,3.0,1.5,0.0,0.0,37.5,6.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,1.0,3.6,1.6500000000000001,6.0,3.0,171.0
Javier Hernandez,MEX,30,30.0,1,0,0,0,2,1,0,0,9.0,0.0,0,0.0,0.5,0.5,0.0,1.0,0.0,6.0,7.0,85.7,2.0,7.0,2.0,0.0,0.0,120.0,34.0,1.0,2.0,50.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,9.0,0.0,0.0,0.0,57.0,39.0,0.0,1.0,0.0,0.0,7.0,1.0,0,0,0,1,0.0,0.0,0,1.0,0.0,1.0,0.0,True,2018-2019,FW,None,None,None,0.3333333333333333,Burnley_West_Ham,Burnley_West_Ham_2018,2.4,1.1,4.0,2.0,2018-11-03,Roger East,London Stadium,Sat,15:00,"56,862",114,West Ham,Burnley,90.0,3.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,27.0,0.0,0.0,0.0,1.5,1.5,0.0,3.0,0.0,18.0,21.0,257.1,6.0,21.0,6.0,0.0,0.0,360.0,102.0,3.0,6.0,150.0,15.0,15.0,300.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,6.0,27.0,0.0,0.0,0.0,171.0,117.0,0.0,3.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,7.2,3.3000000000000003,12.0,6.0,342.0
Grady Diangana,ENG,20,85.0,0,1,0,0,1,0,0,0,64.0,2.0,0,1.0,0.0,0.0,0.3,7.0,1.0,29.0,43.0,67.4,3.0,41.0,5.0,11.0,6.0,367.0,76.0,19.0,23.0,82.6,8.0,13.0,61.5,0.0,1.0,0.0,0.1,5.0,1.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,24.0,39.0,7.0,64.0,54.5,5.0,45.5,293.0,120.0,3.0,4.0,8.0,1.0,50.0,18.0,0,2,0,0,0.0,0.0,0,1.0,1.0,4.0,20.0,True,2018-2019,RM,None,None,None,0.9444444444444444,Burnley_West_Ham,Burnley_West_Ham_2018,2.4,1.1,4.0,2.0,2018-11-03,Roger East,London Stadium,Sat,15:00,"56,862",114,West Ham,Burnley,21.176470588235293,0.0,1.0588235294117647,0.0,0.0,1.0588235294117647,0.0,0.0,0.0,67.76470588235294,2.1176470588235294,0.0,1.0588235294117647,0.0,0.0,0.3176470588235294,7.411764705882353,1.0588235294117647,30.705882352941178,45.529411764705884,71.36470588235295,3.1764705882352944,43.411764705882355,5.294117647058823,11.647058823529411,6.352941176470589,388.5882352941177,80.47058823529412,20.11764705882353,24.35294117647059,87.45882352941176,8.470588235294118,13.764705882352942,65.11764705882354,0.0,1.0588235294117647,0.0,0.10588235294117648,5.294117647058823,1.0588235294117647,0.0,0.0,43.411764705882355,0.0,0.0,0.0,0.0,1.0588235294117647,0.0,0.0,0.0,0.0,0.0,2.1176470588235294,2.1176470588235294,1.0588235294117647,0.0,0.0,2.1176470588235294,0.0,1.0588235294117647,0.0,1.0588235294117647,0.0,1.0588235294117647,2.1176470588235294,1.0588235294117647,0.0,1.0588235294117647,1.0588235294117647,25.411764705882355,41.294117647058826,7.411764705882353,67.76470588235294,57.70588235294118,5.294117647058823,48.1764705882353,310.2352941176471,127.05882352941177,3.1764705882352944,4.235294117647059,8.470588235294118,1.0588235294117647,52.94117647058824,19.058823529411764,0.0,2.1176470588235294,0.0,0.0,0.0,0.0,0.0,1.0588235294117647,1.0588235294117647,4.235294117647059,21.176470588235293,1.0,2.541176470588235,1.1647058823529413,4.235294117647059,2.1176470588235294,120.70588235294117
Michail Antonio,JAM,28,5.0,0,1,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,100.0,1.0,2.0,0.0,1.0,0.0,18.0,16.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,100.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2018-2019,RM,None,None,None,0.05555555555555555,Burnley_West_Ham,Burnley_West_Ham_2018,2.4,1.1,4.0,2.0,2018-11-03,Roger East,London Stadium,Sat,15:00,"56,862",114,West Ham,Burnley,504.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,7.200000000000001,18.0,18.0,18.0,18.0,1800.0,18.0,36.0,0.0,18.0,0.0,324.0,288.0,0.0,0.0,0.0,18.0,18.0,1800.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,36.0,0.0,18.0,1800.0,144.0,0.0,0.0,0.0,0.0,18.0,54.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.2,19.800000000000004,72.0,36.0,2052.0
Declan Rice,ENG,19,90.0,0,0,0,0,1,0,0,0,64.0,2.0,0,0.0,0.0,0.0,0.0,3.0,0.0,45.0,53.0,84.9,6.0,31.0,0.0,0.0,0.0,766.0,251.0,23.0,27.0,85.2,17.0,19.0,89.5,5.0,6.0,83.3,0.0,0.0,5.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,2.0,22.0,34.0,8.0,2.0,64.0,0.0,0.0,0.0,174.0,59.0,0.0,0.0,0.0,0.0,33.0,0.0,0,0,1,0,0.0,0.0,0,12.0,1.0,3.0,25.0,True,2018-2019,DM,CM,None,None,1.0,Burnley_West_Ham,Burnley_West_Ham_2018,2.4,1.1,4.0,2.0,2018-11-03,Roger East,London Stadium,Sat,15:00,"56,862",114,West Ham,Burnley,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,45.0,53.0,84.9,6.0,31.0,0.0,0.0,0.0,766.0,251.0,23.0,27.0,85.2,17.0,19.0,89.5,5.0,6.0,83.3,0.0,0.0,5.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,2.0,22.0,34.0,8.0,2.0,64.0,0.0,0.0,0.0,174.0,59.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,3.0,25.0,1.0,2.4,1.1,4.0,2.0,114.0
Aaron Cresswell,ENG,28,90.0,0,0,0,0,1,0,0,0,75.0,1.0,0,0.0,0.0,0.0,0.1,3.0,0.0,60.0,68.0,88.2,9.0,35.0,1.0,1.0,0.0,922.0,309.0,35.0,39.0,89.7,20.0,22.0,90.9,4.0,6.0,66.7,0.0,3.0,8.0,2.0,0.0,47.0,21.0,2.0,0.0,0.0,0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,13.0,49.0,14.0,2.0,75.0,0.0,1.0,100.0,99.0,58.0,0.0,0.0,1.0,0.0,43.0,4.0,0,0,0,0,0.0,0.0,0,5.0,0.0,1.0,0.0,True,2018-2019,LB,None,None,None,1.0,Burnley_West_Ham,Burnley_West_Ham_2018,2.4,1.1,4.0,2.0,2018-11-03,Roger East,London Stadium,Sat,15:00,"56,862",114,West Ham,Burnley,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,60.0,68.0,88.2,9.0,35.0,1.0,1.0,0.0,922.0,309.0,35.0,39.0,89.7,20.0,22.0,90.9,4.0,6.0,66.7,0.0,3.0,8.0,2.0,0.0,47.0,21.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,13.0,49.0,14.0,2.0,75.0,0.0,1.0,100.0,99.0,58.0,0.0,0.0,1.0,0.0,43.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,2.4,1.1,4.0,2.0,114.0
Issa Diop,FRA,21,90.0,0,0,0,0,0,0,0,0,65.0,3.0,3,2.0,0.0,0.0,0.0,0.0,0.0,48.0,51.0,94.1,2.0,29.0,0.0,0.0,0.0,834.0,370.0,24.0,25.0,96.0,20.0,20.0,100.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,2.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,6.0,5.0,0.0,0.0,37.0,28.0,0.0,0.0,65.0,0.0,0.0,0.0,143.0,78.0,0.0,0.0,1.0,0.0,36.0,0.0,0,0,0,0,0.0,0.0,0,9.0,3.0,5.0,37.5,True,2018-2019,CB,None,None,None,1.0,Burnley_West_Ham,Burnley_West_Ham_2018,2.4,1.1,4.0,2.0,2018-11-03,Roger East,London Stadium,Sat,15:00,"56,862",114,West Ham,Burnley,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,51.0,94.1,2.0,29.0,0.0,0.0,0.0,834.0,370.0,24.0,25.0,96.0,20.0,20.0,100.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,6.0,5.0,0.0,0.0,37.0,28.0,0.0,0.0,65.0,0.0,0.0,0.0,143.0,78.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,5.0,37.5,1.0,2.4,1.1,4.0,2.0,114.0
Fabian Balbuena,PAR,27,90.0,0,0,0,0,2,0,0,0,66.0,1.0,3,0.0,0.1,0.1,0.0,0.0,0.0,42.0,56.0,75.0,7.0,31.0,0.0,0.0,0.0,750.0,388.0,16.0,18.0,88.9,21.0,25.0,84.0,4.0,11.0,36.4,0.0,0.0,3.0,0.0,0.0,55.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,26.0,35.0,5.0,2.0,66.0,0.0,0.0,0.0,187.0,140.0,2.0,0.0,0.0,0.0,36.0,0.0,0,1,0,0,0.0,0.0,0,3.0,4.0,3.0,57.1,True,2018-2019,CB,None,None,None,1.0,Burnley_West_Ham,Burnley_West_Ham_2018,2.4,1.1,4.0,2.0,2018-11-03,Roger East,London Stadium,Sat,15:00,"56,862",114,West Ham,Burnley,27.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,66.0,1.0,3.0,0.0,0.1,0.1,0.0,0.0,0.0,42.0,56.0,75.0,7.0,31.0,0.0,0.0,0.0,750.0,388.0,16.0,18.0,88.9,21.0,25.0,84.0,4.0,11.0,36.4,0.0,0.0,3.0,0.0,0.0,55.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,26.0,35.0,5.0,2.0,66.0,0.0,0.0,0.0,187.0,140.0,2.0,0.0,0.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,57.1,1.0,2.4,1.1,4.0,2.0,114.0
Pablo Zabaleta,ARG,33,90.0,0,0,0,0,1,0,0,0,68.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,50.0,58.0,86.2,8.0,28.0,0.0,2.0,2.0,744.0,182.0,30.0,32.0,93.8,18.0,21.0,85.7,2.0,4.0,50.0,0.0,0.0,3.0,0.0,0.0,44.0,14.0,0.0,0.0,0.0,2,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,2.0,8.0,34.0,26.0,2.0,68.0,100.0,0.0,0.0,106.0,56.0,2.0,0.0,0.0,1.0,38.0,7.0,0,0,0,1,0.0,0.0,0,5.0,3.0,3.0,50.0,True,2018-2019,RB,None,None,None,1.0,Burnley_West_Ham,Burnley_West_Ham_2018,2.4,1.1,4.0,2.0,2018-11-03,Roger East,London Stadium,Sat,15:00,"56,862",114,West Ham,Burnley,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,50.0,58.0,86.2,8.0,28.0,0.0,2.0,2.0,744.0,182.0,30.0,32.0,93.8,18.0,21.0,85.7,2.0,4.0,50.0,0.0,0.0,3.0,0.0,0.0,44.0,14.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,2.0,8.0,34.0,26.0,2.0,68.0,100.0,0.0,0.0,106.0,56.0,2.0,0.0,0.0,1.0,38.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,3.0,50.0,1.0,2.4,1.1,4.0,2.0,114.0
