player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Christian Benteke,BEL,26,90.0,0,0,0,0,2,1,0,0,29.0,0.0,0,0.0,0.8,0.8,0.0,2.0,0.0,7.0,21.0,33.3,0.0,16.0,0.0,0.0,0.0,83.0,19.0,5.0,10.0,50.0,1.0,9.0,11.1,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,13.0,15.0,2.0,29.0,0.0,0.0,0.0,47.0,8.0,0.0,0.0,3.0,1.0,21.0,2.0,0,1,2,0,0.0,0.0,0,2.0,8.0,8.0,50.0,True,Crystal Palace,Southampton,5,2017-2018,FW,None,None,None,2017,1.0,Crystal_Palace_Southampton,Crystal_Palace_Southampton_2017,Crystal Palace,Southampton,2017,5,Crystal Palace,2.0,1.0,Southampton,0.0,1.0,2017-09-16,Robert Madley,Selhurst Park,Sat,12:30,"24,199",45,Southampton,Crystal Palace,Crystal Palace,Southampton,Crystal_Palace_Southampton,Crystal Palace_Southampton_2017,26.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.8,0.8,0.0,2.0,0.0,7.0,21.0,33.3,0.0,16.0,0.0,0.0,0.0,83.0,19.0,5.0,10.0,50.0,1.0,9.0,11.1,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,13.0,15.0,2.0,29.0,0.0,0.0,0.0,47.0,8.0,0.0,0.0,3.0,1.0,21.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0,8.0,50.0,1.0,2.0,1.0,0.0,1.0,45.0
Ruben Loftus-Cheek,ENG,21,77.0,0,0,0,0,3,0,0,0,32.0,1.0,0,0.0,0.2,0.2,0.7,7.0,0.0,17.0,23.0,73.9,2.0,27.0,4.0,7.0,6.0,255.0,42.0,8.0,11.0,72.7,6.0,6.0,100.0,2.0,3.0,66.7,0.1,2.0,1.0,1.0,1.0,21.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,11.0,17.0,5.0,32.0,85.7,1.0,14.3,184.0,98.0,3.0,2.0,3.0,1.0,23.0,5.0,0,1,3,0,0.0,0.0,0,6.0,0.0,0.0,0.0,True,Crystal Palace,Southampton,5,2017-2018,FW,None,None,None,2017,0.8555555555555555,Crystal_Palace_Southampton,Crystal_Palace_Southampton_2017,Crystal Palace,Southampton,2017,5,Crystal Palace,2.0,1.0,Southampton,0.0,1.0,2017-09-16,Robert Madley,Selhurst Park,Sat,12:30,"24,199",45,Southampton,Crystal Palace,Crystal Palace,Southampton,Crystal_Palace_Southampton,Crystal Palace_Southampton_2017,24.545454545454547,0.0,0.0,0.0,0.0,3.5064935064935066,0.0,0.0,0.0,37.40259740259741,1.168831168831169,0.0,0.0,0.2337662337662338,0.2337662337662338,0.8181818181818181,8.181818181818182,0.0,19.870129870129873,26.883116883116884,86.37662337662339,2.337662337662338,31.55844155844156,4.675324675324676,8.181818181818182,7.012987012987013,298.05194805194805,49.09090909090909,9.350649350649352,12.857142857142858,84.97402597402598,7.012987012987013,7.012987012987013,116.88311688311688,2.337662337662338,3.5064935064935066,77.96103896103897,0.1168831168831169,2.337662337662338,1.168831168831169,1.168831168831169,1.168831168831169,24.545454545454547,2.337662337662338,0.0,0.0,0.0,1.168831168831169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168831168831169,0.0,1.168831168831169,0.0,1.168831168831169,3.5064935064935066,38.92207792207792,2.337662337662338,0.0,0.0,1.168831168831169,0.0,0.0,0.0,5.8441558441558445,12.857142857142858,19.870129870129873,5.8441558441558445,37.40259740259741,100.16883116883118,1.168831168831169,16.714285714285715,215.06493506493507,114.54545454545455,3.5064935064935066,2.337662337662338,3.5064935064935066,1.168831168831169,26.883116883116884,5.8441558441558445,0.0,1.168831168831169,3.5064935064935066,0.0,0.0,0.0,0.0,7.012987012987013,0.0,0.0,0.0,1.0,2.337662337662338,1.168831168831169,0.0,1.168831168831169,52.5974025974026
Bakary Sako,MLI,29,13.0,0,0,0,0,0,0,0,0,11.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,42.9,0.0,4.0,0.0,0.0,0.0,47.0,0.0,2.0,4.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,4.0,3.0,1.0,11.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,True,Crystal Palace,Southampton,5,2017-2018,FW,None,None,None,2017,0.14444444444444443,Crystal_Palace_Southampton,Crystal_Palace_Southampton_2017,Crystal Palace,Southampton,2017,5,Crystal Palace,2.0,1.0,Southampton,0.0,1.0,2017-09-16,Robert Madley,Selhurst Park,Sat,12:30,"24,199",45,Southampton,Crystal Palace,Crystal Palace,Southampton,Crystal_Palace_Southampton,Crystal Palace_Southampton_2017,200.7692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.15384615384616,13.846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76923076923077,48.46153846153847,297.0,0.0,27.692307692307693,0.0,0.0,0.0,325.3846153846154,0.0,13.846153846153847,27.692307692307693,346.1538461538462,6.923076923076923,13.846153846153847,346.1538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.53846153846154,6.923076923076923,0.0,0.0,0.0,0.0,6.923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,13.846153846153847,13.846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.846153846153847,6.923076923076923,0.0,6.923076923076923,27.692307692307693,27.692307692307693,20.76923076923077,6.923076923076923,76.15384615384616,0.0,0.0,0.0,41.53846153846154,0.0,0.0,0.0,6.923076923076923,0.0,27.692307692307693,20.76923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923076923076923,0.0,692.3076923076924,1.0,13.846153846153847,6.923076923076923,0.0,6.923076923076923,311.53846153846155
Jason Puncheon,ENG,31,90.0,0,0,0,0,2,1,1,0,40.0,2.0,1,0.0,0.8,0.8,0.2,1.0,0.0,21.0,31.0,67.7,3.0,26.0,2.0,1.0,1.0,257.0,73.0,12.0,16.0,75.0,6.0,9.0,66.7,1.0,3.0,33.3,0.0,2.0,1.0,1.0,0.0,30.0,1.0,0.0,0.0,0.0,2,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,7.0,14.0,19.0,3.0,40.0,100.0,0.0,0.0,105.0,45.0,0.0,0.0,2.0,1.0,21.0,6.0,0,4,0,0,0.0,0.0,0,7.0,0.0,3.0,0.0,True,Crystal Palace,Southampton,5,2017-2018,LM,None,None,None,2017,1.0,Crystal_Palace_Southampton,Crystal_Palace_Southampton_2017,Crystal Palace,Southampton,2017,5,Crystal Palace,2.0,1.0,Southampton,0.0,1.0,2017-09-16,Robert Madley,Selhurst Park,Sat,12:30,"24,199",45,Southampton,Crystal Palace,Crystal Palace,Southampton,Crystal_Palace_Southampton,Crystal Palace_Southampton_2017,31.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,40.0,2.0,1.0,0.0,0.8,0.8,0.2,1.0,0.0,21.0,31.0,67.7,3.0,26.0,2.0,1.0,1.0,257.0,73.0,12.0,16.0,75.0,6.0,9.0,66.7,1.0,3.0,33.3,0.0,2.0,1.0,1.0,0.0,30.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,7.0,14.0,19.0,3.0,40.0,100.0,0.0,0.0,105.0,45.0,0.0,0.0,2.0,1.0,21.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,45.0
Yohan Cabaye,FRA,31,90.0,0,0,0,0,2,0,1,0,63.0,0.0,1,3.0,0.1,0.1,0.3,7.0,0.0,45.0,52.0,86.5,4.0,40.0,0.0,0.0,0.0,786.0,245.0,17.0,18.0,94.4,19.0,22.0,86.4,6.0,9.0,66.7,0.2,4.0,5.0,2.0,0.0,46.0,6.0,2.0,0.0,1.0,6,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,2.0,7.0,37.0,19.0,0.0,63.0,0.0,0.0,0.0,146.0,36.0,0.0,0.0,3.0,0.0,39.0,1.0,0,3,1,0,0.0,0.0,0,2.0,0.0,1.0,0.0,True,Crystal Palace,Southampton,5,2017-2018,CM,None,None,None,2017,1.0,Crystal_Palace_Southampton,Crystal_Palace_Southampton_2017,Crystal Palace,Southampton,2017,5,Crystal Palace,2.0,1.0,Southampton,0.0,1.0,2017-09-16,Robert Madley,Selhurst Park,Sat,12:30,"24,199",45,Southampton,Crystal Palace,Crystal Palace,Southampton,Crystal_Palace_Southampton,Crystal Palace_Southampton_2017,31.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,63.0,0.0,1.0,3.0,0.1,0.1,0.3,7.0,0.0,45.0,52.0,86.5,4.0,40.0,0.0,0.0,0.0,786.0,245.0,17.0,18.0,94.4,19.0,22.0,86.4,6.0,9.0,66.7,0.2,4.0,5.0,2.0,0.0,46.0,6.0,2.0,0.0,1.0,6.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,2.0,7.0,37.0,19.0,0.0,63.0,0.0,0.0,0.0,146.0,36.0,0.0,0.0,3.0,0.0,39.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,45.0
James McArthur,SCO,29,68.0,0,0,0,0,0,0,1,0,31.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,83.3,2.0,19.0,0.0,0.0,0.0,309.0,25.0,9.0,12.0,75.0,9.0,10.0,90.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,8.0,1.0,31.0,0.0,0.0,0.0,72.0,40.0,0.0,0.0,2.0,2.0,18.0,1.0,0,2,2,0,0.0,0.0,0,5.0,1.0,1.0,50.0,True,Crystal Palace,Southampton,5,2017-2018,CM,None,None,None,2017,0.7555555555555555,Crystal_Palace_Southampton,Crystal_Palace_Southampton_2017,Crystal Palace,Southampton,2017,5,Crystal Palace,2.0,1.0,Southampton,0.0,1.0,2017-09-16,Robert Madley,Selhurst Park,Sat,12:30,"24,199",45,Southampton,Crystal Palace,Crystal Palace,Southampton,Crystal_Palace_Southampton,Crystal Palace_Southampton_2017,38.38235294117647,0.0,0.0,0.0,0.0,0.0,0.0,1.3235294117647058,0.0,41.029411764705884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.47058823529412,31.764705882352942,110.25,2.6470588235294117,25.147058823529413,0.0,0.0,0.0,408.97058823529414,33.088235294117645,11.911764705882353,15.882352941176471,99.26470588235294,11.911764705882353,13.23529411764706,119.11764705882354,1.3235294117647058,1.3235294117647058,132.35294117647058,0.0,0.0,0.0,1.3235294117647058,0.0,31.764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9705882352941178,0.0,3.9705882352941178,0.0,0.0,0.0,0.0,0.0,0.0,5.294117647058823,25.147058823529413,10.588235294117647,1.3235294117647058,41.029411764705884,0.0,0.0,0.0,95.29411764705883,52.94117647058824,0.0,0.0,2.6470588235294117,2.6470588235294117,23.823529411764707,1.3235294117647058,0.0,2.6470588235294117,2.6470588235294117,0.0,0.0,0.0,0.0,6.61764705882353,1.3235294117647058,1.3235294117647058,66.17647058823529,1.0,2.6470588235294117,1.3235294117647058,0.0,1.3235294117647058,59.55882352941177
Luka Milivojevic,SRB,26,22.0,0,0,0,0,0,0,0,0,27.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,26.0,88.5,4.0,23.0,0.0,1.0,1.0,472.0,143.0,9.0,10.0,90.0,8.0,8.0,100.0,5.0,7.0,71.4,0.0,0.0,6.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,20.0,3.0,0.0,27.0,100.0,0.0,0.0,134.0,77.0,0.0,0.0,0.0,1.0,22.0,0.0,0,0,0,0,0.0,0.0,0,5.0,1.0,1.0,50.0,True,Crystal Palace,Southampton,5,2017-2018,CM,None,None,None,2017,0.24444444444444444,Crystal_Palace_Southampton,Crystal_Palace_Southampton_2017,Crystal Palace,Southampton,2017,5,Crystal Palace,2.0,1.0,Southampton,0.0,1.0,2017-09-16,Robert Madley,Selhurst Park,Sat,12:30,"24,199",45,Southampton,Crystal Palace,Crystal Palace,Southampton,Crystal_Palace_Southampton,Crystal Palace_Southampton_2017,106.36363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.45454545454545,4.090909090909091,0.0,0.0,0.0,0.0,0.0,4.090909090909091,0.0,94.0909090909091,106.36363636363637,362.04545454545456,16.363636363636363,94.0909090909091,0.0,4.090909090909091,4.090909090909091,1930.909090909091,585.0,36.81818181818182,40.909090909090914,368.1818181818182,32.72727272727273,32.72727272727273,409.0909090909091,20.454545454545457,28.636363636363637,292.0909090909091,0.0,0.0,24.545454545454547,0.0,0.0,106.36363636363637,0.0,0.0,0.0,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.090909090909091,4.090909090909091,0.0,0.0,4.090909090909091,4.090909090909091,409.0909090909091,0.0,0.0,0.0,4.090909090909091,0.0,0.0,0.0,16.363636363636363,81.81818181818183,12.272727272727273,0.0,110.45454545454545,409.0909090909091,0.0,0.0,548.1818181818182,315.0,0.0,0.0,0.0,4.090909090909091,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.454545454545457,4.090909090909091,4.090909090909091,204.54545454545456,1.0,8.181818181818182,4.090909090909091,0.0,4.090909090909091,184.0909090909091
Andros Townsend,ENG,26,90.0,0,0,0,0,2,0,0,0,47.0,3.0,1,2.0,0.1,0.1,0.0,1.0,0.0,25.0,36.0,69.4,3.0,40.0,3.0,3.0,1.0,314.0,112.0,18.0,23.0,78.3,6.0,8.0,75.0,1.0,4.0,25.0,0.0,0.0,2.0,2.0,0.0,36.0,0.0,0.0,0.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,2.0,4.0,1.0,0.0,3.0,6.0,16.0,29.0,4.0,47.0,33.3,2.0,66.7,230.0,84.0,2.0,1.0,0.0,3.0,33.0,12.0,0,1,0,0,0.0,0.0,0,8.0,0.0,0.0,0.0,True,Crystal Palace,Southampton,5,2017-2018,RM,None,None,None,2017,1.0,Crystal_Palace_Southampton,Crystal_Palace_Southampton_2017,Crystal Palace,Southampton,2017,5,Crystal Palace,2.0,1.0,Southampton,0.0,1.0,2017-09-16,Robert Madley,Selhurst Park,Sat,12:30,"24,199",45,Southampton,Crystal Palace,Crystal Palace,Southampton,Crystal_Palace_Southampton,Crystal Palace_Southampton_2017,26.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,47.0,3.0,1.0,2.0,0.1,0.1,0.0,1.0,0.0,25.0,36.0,69.4,3.0,40.0,3.0,3.0,1.0,314.0,112.0,18.0,23.0,78.3,6.0,8.0,75.0,1.0,4.0,25.0,0.0,0.0,2.0,2.0,0.0,36.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,2.0,4.0,1.0,0.0,3.0,6.0,16.0,29.0,4.0,47.0,33.3,2.0,66.7,230.0,84.0,2.0,1.0,0.0,3.0,33.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,45.0
Jeffrey Schlupp,GHA,24,90.0,0,0,0,0,0,0,0,0,70.0,3.0,1,4.0,0.0,0.0,0.5,2.0,0.0,38.0,56.0,67.9,5.0,41.0,2.0,1.0,0.0,542.0,181.0,23.0,28.0,82.1,14.0,18.0,77.8,1.0,5.0,20.0,0.2,2.0,4.0,0.0,0.0,50.0,6.0,0.0,0.0,0.0,3,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1,2.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,3.0,4.0,4.0,0.0,5.0,24.0,29.0,17.0,2.0,70.0,0.0,1.0,100.0,174.0,93.0,2.0,0.0,1.0,1.0,38.0,5.0,0,0,1,0,0.0,0.0,0,6.0,2.0,2.0,50.0,True,Crystal Palace,Southampton,5,2017-2018,LB,None,None,None,2017,1.0,Crystal_Palace_Southampton,Crystal_Palace_Southampton_2017,Crystal Palace,Southampton,2017,5,Crystal Palace,2.0,1.0,Southampton,0.0,1.0,2017-09-16,Robert Madley,Selhurst Park,Sat,12:30,"24,199",45,Southampton,Crystal Palace,Crystal Palace,Southampton,Crystal_Palace_Southampton,Crystal Palace_Southampton_2017,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,3.0,1.0,4.0,0.0,0.0,0.5,2.0,0.0,38.0,56.0,67.9,5.0,41.0,2.0,1.0,0.0,542.0,181.0,23.0,28.0,82.1,14.0,18.0,77.8,1.0,5.0,20.0,0.2,2.0,4.0,0.0,0.0,50.0,6.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,3.0,4.0,4.0,0.0,5.0,24.0,29.0,17.0,2.0,70.0,0.0,1.0,100.0,174.0,93.0,2.0,0.0,1.0,1.0,38.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,50.0,1.0,2.0,1.0,0.0,1.0,45.0
Scott Dann,ENG,30,90.0,0,0,0,0,0,0,1,0,59.0,0.0,1,1.0,0.0,0.0,0.1,3.0,0.0,43.0,49.0,87.8,4.0,31.0,1.0,0.0,0.0,700.0,358.0,22.0,24.0,91.7,18.0,20.0,90.0,2.0,4.0,50.0,0.1,2.0,4.0,1.0,0.0,47.0,2.0,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,7.0,23.0,30.0,6.0,0.0,59.0,0.0,0.0,0.0,204.0,104.0,1.0,0.0,1.0,0.0,32.0,0.0,0,1,0,0,0.0,0.0,0,4.0,3.0,2.0,60.0,True,Crystal Palace,Southampton,5,2017-2018,CB,None,None,None,2017,1.0,Crystal_Palace_Southampton,Crystal_Palace_Southampton_2017,Crystal Palace,Southampton,2017,5,Crystal Palace,2.0,1.0,Southampton,0.0,1.0,2017-09-16,Robert Madley,Selhurst Park,Sat,12:30,"24,199",45,Southampton,Crystal Palace,Crystal Palace,Southampton,Crystal_Palace_Southampton,Crystal Palace_Southampton_2017,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,0.0,1.0,1.0,0.0,0.0,0.1,3.0,0.0,43.0,49.0,87.8,4.0,31.0,1.0,0.0,0.0,700.0,358.0,22.0,24.0,91.7,18.0,20.0,90.0,2.0,4.0,50.0,0.1,2.0,4.0,1.0,0.0,47.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,7.0,23.0,30.0,6.0,0.0,59.0,0.0,0.0,0.0,204.0,104.0,1.0,0.0,1.0,0.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,60.0,1.0,2.0,1.0,0.0,1.0,45.0
