player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Aleksandar Mitrovic,SRB,24,90.0,0,0,0,0,8,2,0,0,51.0,1.0,0,0.0,1.0,1.0,0.0,4.0,1.0,26.0,35.0,74.3,2.0,18.0,3.0,4.0,2.0,283.0,76.0,21.0,22.0,95.5,3.0,6.0,50.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,33.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,32.0,15.0,7.0,51.0,50.0,2.0,50.0,149.0,80.0,3.0,2.0,1.0,3.0,43.0,2.0,0,1,2,0,0.0,0.0,0,5.0,12.0,12.0,50.0,True,2018-2019,FW,None,None,None,1.0,Fulham_Wolves,Fulham_Wolves_2018,1.2,1.4,1.0,1.0,2018-12-26,Andre Marriner,Craven Cottage,Wed,12:30,"24,382",198,draw,draw,24.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,51.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,26.0,35.0,74.3,2.0,18.0,3.0,4.0,2.0,283.0,76.0,21.0,22.0,95.5,3.0,6.0,50.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,33.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,32.0,15.0,7.0,51.0,50.0,2.0,50.0,149.0,80.0,3.0,2.0,1.0,3.0,43.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,12.0,12.0,50.0,1.0,1.2,1.4,1.0,1.0,198.0
Andre Schurrle,GER,28,66.0,0,0,0,0,1,1,0,0,33.0,0.0,0,0.0,0.0,0.0,0.3,5.0,0.0,21.0,25.0,84.0,3.0,19.0,2.0,4.0,2.0,337.0,130.0,11.0,12.0,91.7,6.0,7.0,85.7,3.0,3.0,100.0,0.3,3.0,1.0,4.0,2.0,22.0,3.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,15.0,13.0,2.0,33.0,50.0,2.0,50.0,119.0,72.0,0.0,1.0,3.0,2.0,26.0,3.0,0,0,0,0,0.0,0.0,0,4.0,1.0,0.0,100.0,True,2018-2019,LW,None,None,None,0.7333333333333333,Fulham_Wolves,Fulham_Wolves_2018,1.2,1.4,1.0,1.0,2018-12-26,Andre Marriner,Craven Cottage,Wed,12:30,"24,382",198,draw,draw,38.18181818181819,0.0,0.0,0.0,0.0,1.3636363636363638,1.3636363636363638,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,6.818181818181818,0.0,28.636363636363637,34.09090909090909,114.54545454545455,4.090909090909091,25.90909090909091,2.7272727272727275,5.454545454545455,2.7272727272727275,459.54545454545456,177.27272727272728,15.000000000000002,16.363636363636363,125.04545454545456,8.181818181818182,9.545454545454547,116.86363636363637,4.090909090909091,4.090909090909091,136.36363636363637,0.4090909090909091,4.090909090909091,1.3636363636363638,5.454545454545455,2.7272727272727275,30.000000000000004,4.090909090909091,0.0,0.0,0.0,2.7272727272727275,2.7272727272727275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.0,1.3636363636363638,6.818181818181818,20.454545454545457,17.72727272727273,2.7272727272727275,45.0,68.18181818181819,2.7272727272727275,68.18181818181819,162.27272727272728,98.18181818181819,0.0,1.3636363636363638,4.090909090909091,2.7272727272727275,35.45454545454546,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.454545454545455,1.3636363636363638,0.0,136.36363636363637,1.0,1.6363636363636365,1.9090909090909092,1.3636363636363638,1.3636363636363638,270.0
Ryan Sessegnon,ENG,18,24.0,1,0,0,0,1,1,0,0,13.0,0.0,1,0.0,0.2,0.2,0.0,0.0,0.0,3.0,6.0,50.0,0.0,6.0,1.0,1.0,0.0,29.0,4.0,2.0,2.0,100.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,3.0,1.0,13.0,0.0,1.0,100.0,43.0,5.0,0.0,0.0,3.0,1.0,8.0,2.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2018-2019,LW,None,None,None,0.26666666666666666,Fulham_Wolves,Fulham_Wolves_2018,1.2,1.4,1.0,1.0,2018-12-26,Andre Marriner,Craven Cottage,Wed,12:30,"24,382",198,draw,draw,67.5,3.75,0.0,0.0,0.0,3.75,3.75,0.0,0.0,48.75,0.0,3.75,0.0,0.75,0.75,0.0,0.0,0.0,11.25,22.5,187.5,0.0,22.5,3.75,3.75,0.0,108.75,15.0,7.5,7.5,375.0,3.75,15.0,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,3.75,0.0,0.0,3.75,0.0,0.0,0.0,15.0,22.5,11.25,3.75,48.75,0.0,3.75,375.0,161.25,18.75,0.0,0.0,11.25,3.75,30.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,1.0,4.5,5.25,3.75,3.75,742.5
Aboubakar Kamara,MTN,23,72.0,0,0,0,0,0,0,0,0,32.0,2.0,0,1.0,0.0,0.0,0.1,2.0,0.0,14.0,20.0,70.0,1.0,15.0,3.0,2.0,1.0,181.0,50.0,9.0,9.0,100.0,3.0,6.0,50.0,1.0,2.0,50.0,0.0,1.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,11.0,18.0,2.0,32.0,50.0,1.0,50.0,160.0,92.0,5.0,0.0,2.0,2.0,21.0,6.0,0,3,1,0,0.0,0.0,0,2.0,1.0,4.0,20.0,True,2018-2019,RW,None,None,None,0.8,Fulham_Wolves,Fulham_Wolves_2018,1.2,1.4,1.0,1.0,2018-12-26,Andre Marriner,Craven Cottage,Wed,12:30,"24,382",198,draw,draw,28.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.5,0.0,1.25,0.0,0.0,0.125,2.5,0.0,17.5,25.0,87.5,1.25,18.75,3.75,2.5,1.25,226.25,62.5,11.25,11.25,125.0,3.75,7.5,62.5,1.25,2.5,62.5,0.0,1.25,0.0,1.25,0.0,25.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,2.5,0.0,0.0,2.5,0.0,2.5,0.0,1.25,2.5,0.0,0.0,0.0,3.75,13.75,22.5,2.5,40.0,62.5,1.25,62.5,200.0,115.0,6.25,0.0,2.5,2.5,26.25,7.5,0.0,3.75,1.25,0.0,0.0,0.0,0.0,2.5,1.25,5.0,25.0,1.0,1.4999999999999998,1.7499999999999998,1.25,1.25,247.5
Tom Cairney,SCO,27,18.0,0,0,0,0,0,0,0,0,9.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,5.0,0.0,0.0,0.0,39.0,6.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,4.0,1.0,0.0,9.0,0.0,0.0,0.0,35.0,20.0,1.0,0.0,0.0,1.0,4.0,0.0,0,0,1,0,0.0,0.0,0,3.0,0.0,0.0,0.0,True,2018-2019,RW,None,None,None,0.2,Fulham_Wolves,Fulham_Wolves_2018,1.2,1.4,1.0,1.0,2018-12-26,Andre Marriner,Craven Cottage,Wed,12:30,"24,382",198,draw,draw,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,375.0,0.0,25.0,0.0,0.0,0.0,195.0,30.0,10.0,10.0,500.0,5.0,10.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,5.0,5.0,500.0,0.0,0.0,0.0,10.0,5.0,0.0,5.0,20.0,20.0,5.0,0.0,45.0,0.0,0.0,0.0,175.0,100.0,5.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,5.999999999999999,6.999999999999999,5.0,5.0,990.0
Joe Bryan,ENG,25,90.0,0,0,0,0,0,0,0,0,43.0,3.0,1,1.0,0.0,0.0,0.0,1.0,0.0,15.0,30.0,50.0,1.0,15.0,1.0,2.0,1.0,277.0,209.0,6.0,8.0,75.0,7.0,14.0,50.0,2.0,8.0,25.0,0.0,1.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,0.0,2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,4.0,4.0,0.0,3.0,21.0,18.0,4.0,0.0,43.0,50.0,1.0,50.0,67.0,14.0,0.0,0.0,1.0,0.0,14.0,2.0,0,0,0,0,0.0,0.0,0,6.0,1.0,4.0,20.0,True,2018-2019,LM,None,None,None,1.0,Fulham_Wolves,Fulham_Wolves_2018,1.2,1.4,1.0,1.0,2018-12-26,Andre Marriner,Craven Cottage,Wed,12:30,"24,382",198,draw,draw,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,30.0,50.0,1.0,15.0,1.0,2.0,1.0,277.0,209.0,6.0,8.0,75.0,7.0,14.0,50.0,2.0,8.0,25.0,0.0,1.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,4.0,4.0,0.0,3.0,21.0,18.0,4.0,0.0,43.0,50.0,1.0,50.0,67.0,14.0,0.0,0.0,1.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,20.0,1.0,1.2,1.4,1.0,1.0,198.0
Jean Seri,CIV,27,81.0,0,0,0,0,0,0,0,0,40.0,1.0,0,0.0,0.0,0.0,0.0,2.0,1.0,31.0,36.0,86.1,3.0,11.0,0.0,1.0,1.0,522.0,239.0,16.0,16.0,100.0,11.0,13.0,84.6,3.0,5.0,60.0,0.0,0.0,6.0,0.0,0.0,30.0,6.0,4.0,0.0,0.0,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,27.0,9.0,0.0,40.0,100.0,0.0,0.0,49.0,17.0,0.0,0.0,1.0,1.0,23.0,3.0,0,1,0,0,0.0,0.0,0,5.0,1.0,3.0,25.0,True,2018-2019,CM,None,None,None,0.9,Fulham_Wolves,Fulham_Wolves_2018,1.2,1.4,1.0,1.0,2018-12-26,Andre Marriner,Craven Cottage,Wed,12:30,"24,382",198,draw,draw,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444444444444,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,1.1111111111111112,34.44444444444444,40.0,95.66666666666666,3.333333333333333,12.222222222222221,0.0,1.1111111111111112,1.1111111111111112,580.0,265.55555555555554,17.77777777777778,17.77777777777778,111.11111111111111,12.222222222222221,14.444444444444445,93.99999999999999,3.333333333333333,5.555555555555555,66.66666666666667,0.0,0.0,6.666666666666666,0.0,0.0,33.333333333333336,6.666666666666666,4.444444444444445,0.0,0.0,3.333333333333333,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,1.1111111111111112,0.0,1.1111111111111112,0.0,0.0,1.1111111111111112,0.0,0.0,1.1111111111111112,4.444444444444445,30.0,10.0,0.0,44.44444444444444,111.11111111111111,0.0,0.0,54.44444444444444,18.88888888888889,0.0,0.0,1.1111111111111112,1.1111111111111112,25.555555555555554,3.333333333333333,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,5.555555555555555,1.1111111111111112,3.333333333333333,27.77777777777778,1.0,1.3333333333333333,1.5555555555555554,1.1111111111111112,1.1111111111111112,220.0
Kevin McDonald,SCO,30,9.0,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,3.0,0.0,0.0,0.0,70.0,6.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,True,2018-2019,CM,None,None,None,0.1,Fulham_Wolves,Fulham_Wolves_2018,1.2,1.4,1.0,1.0,2018-12-26,Andre Marriner,Craven Cottage,Wed,12:30,"24,382",198,draw,draw,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,1000.0,0.0,30.0,0.0,0.0,0.0,700.0,60.0,10.0,10.0,1000.0,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,40.0,30.0,0.0,0.0,70.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,1000.0,1.0,11.999999999999998,13.999999999999998,10.0,10.0,1980.0
Calum Chambers,ENG,23,90.0,0,0,0,0,0,0,1,0,48.0,2.0,7,3.0,0.0,0.0,0.0,1.0,0.0,16.0,27.0,59.3,6.0,10.0,1.0,1.0,1.0,247.0,137.0,9.0,12.0,75.0,4.0,6.0,66.7,2.0,6.0,33.3,0.0,0.0,4.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,9.0,5.0,0.0,7.0,13.0,30.0,5.0,0.0,48.0,100.0,0.0,0.0,52.0,22.0,0.0,0.0,1.0,0.0,11.0,0.0,0,1,0,0,0.0,0.0,0,7.0,1.0,0.0,100.0,True,2018-2019,CM,None,None,None,1.0,Fulham_Wolves,Fulham_Wolves_2018,1.2,1.4,1.0,1.0,2018-12-26,Andre Marriner,Craven Cottage,Wed,12:30,"24,382",198,draw,draw,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,2.0,7.0,3.0,0.0,0.0,0.0,1.0,0.0,16.0,27.0,59.3,6.0,10.0,1.0,1.0,1.0,247.0,137.0,9.0,12.0,75.0,4.0,6.0,66.7,2.0,6.0,33.3,0.0,0.0,4.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,9.0,5.0,0.0,7.0,13.0,30.0,5.0,0.0,48.0,100.0,0.0,0.0,52.0,22.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0,1.0,1.2,1.4,1.0,1.0,198.0
Cyrus Christie,IRL,26,90.0,0,0,0,0,1,0,1,0,48.0,1.0,3,1.0,0.1,0.1,0.1,2.0,0.0,21.0,34.0,61.8,0.0,21.0,1.0,4.0,1.0,397.0,185.0,8.0,9.0,88.9,11.0,18.0,61.1,2.0,6.0,33.3,0.1,1.0,1.0,1.0,1.0,19.0,15.0,1.0,0.0,1.0,2,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,18.0,16.0,15.0,1.0,48.0,25.0,3.0,75.0,212.0,68.0,2.0,0.0,2.0,2.0,18.0,1.0,0,3,0,0,0.0,0.0,0,3.0,2.0,0.0,100.0,True,2018-2019,RM,None,None,None,1.0,Fulham_Wolves,Fulham_Wolves_2018,1.2,1.4,1.0,1.0,2018-12-26,Andre Marriner,Craven Cottage,Wed,12:30,"24,382",198,draw,draw,26.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,48.0,1.0,3.0,1.0,0.1,0.1,0.1,2.0,0.0,21.0,34.0,61.8,0.0,21.0,1.0,4.0,1.0,397.0,185.0,8.0,9.0,88.9,11.0,18.0,61.1,2.0,6.0,33.3,0.1,1.0,1.0,1.0,1.0,19.0,15.0,1.0,0.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,18.0,16.0,15.0,1.0,48.0,25.0,3.0,75.0,212.0,68.0,2.0,0.0,2.0,2.0,18.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,100.0,1.0,1.2,1.4,1.0,1.0,198.0
Tim Ream,USA,31,90.0,0,0,0,0,0,0,0,0,25.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,75.0,2.0,8.0,2.0,0.0,0.0,267.0,144.0,8.0,8.0,100.0,6.0,9.0,66.7,1.0,2.0,50.0,0.0,0.0,2.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,15.0,11.0,0.0,0.0,25.0,0.0,0.0,0.0,57.0,49.0,0.0,0.0,1.0,0.0,10.0,0.0,0,0,0,0,0.0,0.0,0,3.0,2.0,3.0,40.0,True,2018-2019,CB,None,None,None,1.0,Fulham_Wolves,Fulham_Wolves_2018,1.2,1.4,1.0,1.0,2018-12-26,Andre Marriner,Craven Cottage,Wed,12:30,"24,382",198,draw,draw,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,75.0,2.0,8.0,2.0,0.0,0.0,267.0,144.0,8.0,8.0,100.0,6.0,9.0,66.7,1.0,2.0,50.0,0.0,0.0,2.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,15.0,11.0,0.0,0.0,25.0,0.0,0.0,0.0,57.0,49.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,40.0,1.0,1.2,1.4,1.0,1.0,198.0
Alfie Mawson,ENG,24,90.0,0,0,0,0,0,0,0,0,39.0,0.0,2,1.0,0.0,0.0,0.0,1.0,0.0,20.0,28.0,71.4,2.0,13.0,0.0,0.0,0.0,472.0,204.0,3.0,4.0,75.0,14.0,15.0,93.3,3.0,8.0,37.5,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,8.0,25.0,12.0,2.0,2.0,39.0,0.0,0.0,0.0,60.0,28.0,0.0,0.0,0.0,0.0,20.0,0.0,0,0,0,0,0.0,0.0,0,3.0,5.0,1.0,83.3,True,2018-2019,CB,None,None,None,1.0,Fulham_Wolves,Fulham_Wolves_2018,1.2,1.4,1.0,1.0,2018-12-26,Andre Marriner,Craven Cottage,Wed,12:30,"24,382",198,draw,draw,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,28.0,71.4,2.0,13.0,0.0,0.0,0.0,472.0,204.0,3.0,4.0,75.0,14.0,15.0,93.3,3.0,8.0,37.5,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,8.0,25.0,12.0,2.0,2.0,39.0,0.0,0.0,0.0,60.0,28.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,83.3,1.0,1.2,1.4,1.0,1.0,198.0
Denis Odoi,GHA,30,90.0,0,0,0,0,0,0,0,0,34.0,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,77.8,0.0,11.0,1.0,0.0,0.0,292.0,80.0,5.0,5.0,100.0,6.0,6.0,100.0,2.0,4.0,50.0,0.0,0.0,1.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,5.0,7.0,0.0,7.0,24.0,8.0,2.0,0.0,34.0,0.0,0.0,0.0,107.0,54.0,2.0,0.0,0.0,1.0,10.0,0.0,0,0,2,0,0.0,0.0,0,5.0,3.0,4.0,42.9,True,2018-2019,CB,None,None,None,1.0,Fulham_Wolves,Fulham_Wolves_2018,1.2,1.4,1.0,1.0,2018-12-26,Andre Marriner,Craven Cottage,Wed,12:30,"24,382",198,draw,draw,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,77.8,0.0,11.0,1.0,0.0,0.0,292.0,80.0,5.0,5.0,100.0,6.0,6.0,100.0,2.0,4.0,50.0,0.0,0.0,1.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,5.0,7.0,0.0,7.0,24.0,8.0,2.0,0.0,34.0,0.0,0.0,0.0,107.0,54.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,42.9,1.0,1.2,1.4,1.0,1.0,198.0
