player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Dominic Solanke,ENG,25,90.0,0,0,0,0,1,0,0,0,30.0,0.0,0,0.0,0.1,0.1,0.1,2.0,0.0,15.0,18.0,83.3,1.0,19.0,1.0,6.0,2.0,160.0,14.0,11.0,12.0,91.7,3.0,3.0,100.0,0.0,1.0,0.0,0.1,2.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,7.0,12.0,12.0,3.0,30.0,33.3,4.0,66.7,70.0,10.0,0.0,0.0,2.0,1.0,17.0,3.0,0,2,1,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,Bournemouth,Brentford,9,2022-2023,FW,None,None,None,2022,1.0,Bournemouth_Brentford,Bournemouth_Brentford_2022,Bournemouth,Brentford,2022,9,Bournemouth,0.4,0.9,Brentford,0.0,0.0,2022-10-01,Thomas Bramall,Vitality Stadium,Sat,15:00,"10,126",79,draw,draw,Bournemouth,Brentford,Bournemouth_Brentford,Bournemouth_Brentford_2022,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.1,0.1,0.1,2.0,0.0,15.0,18.0,83.3,1.0,19.0,1.0,6.0,2.0,160.0,14.0,11.0,12.0,91.7,3.0,3.0,100.0,0.0,1.0,0.0,0.1,2.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,7.0,12.0,12.0,3.0,30.0,33.3,4.0,66.7,70.0,10.0,0.0,0.0,2.0,1.0,17.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,0.4,0.9,0.0,0.0,79.0
Kieffer Moore,WAL,30,71.0,0,0,0,0,0,0,0,0,30.0,0.0,0,0.0,0.0,0.0,0.1,2.0,0.0,14.0,21.0,66.7,0.0,19.0,3.0,0.0,0.0,187.0,13.0,9.0,11.0,81.8,4.0,6.0,66.7,0.0,2.0,0.0,0.1,1.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,16.0,12.0,2.0,30.0,0.0,0.0,0.0,142.0,65.0,2.0,0.0,4.0,4.0,25.0,4.0,0,2,2,0,0.0,0.0,0,1.0,5.0,2.0,71.4,True,Bournemouth,Brentford,9,2022-2023,FW,None,None,None,2022,0.7888888888888889,Bournemouth_Brentford,Bournemouth_Brentford_2022,Bournemouth,Brentford,2022,9,Bournemouth,0.4,0.9,Brentford,0.0,0.0,2022-10-01,Thomas Bramall,Vitality Stadium,Sat,15:00,"10,126",79,draw,draw,Bournemouth,Brentford,Bournemouth_Brentford,Bournemouth_Brentford_2022,38.02816901408451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.02816901408451,0.0,0.0,0.0,0.0,0.0,0.1267605633802817,2.535211267605634,0.0,17.746478873239436,26.619718309859156,84.54929577464789,0.0,24.084507042253524,3.802816901408451,0.0,0.0,237.04225352112678,16.47887323943662,11.408450704225352,13.943661971830986,103.69014084507042,5.070422535211268,7.605633802816902,84.54929577464789,0.0,2.535211267605634,0.0,0.1267605633802817,1.267605633802817,1.267605633802817,0.0,0.0,26.619718309859156,0.0,0.0,0.0,0.0,2.535211267605634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.535211267605634,0.0,2.535211267605634,2.535211267605634,20.281690140845072,15.211267605633804,2.535211267605634,38.02816901408451,0.0,0.0,0.0,180.0,82.3943661971831,2.535211267605634,0.0,5.070422535211268,5.070422535211268,31.690140845070424,5.070422535211268,0.0,2.535211267605634,2.535211267605634,0.0,0.0,0.0,0.0,1.267605633802817,6.338028169014085,2.535211267605634,90.50704225352113,1.0,0.5070422535211268,1.1408450704225352,0.0,0.0,100.14084507042254
Ryan Christie,SCO,27,19.0,0,0,0,0,0,0,0,0,13.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,88.9,3.0,3.0,0.0,1.0,0.0,129.0,66.0,5.0,6.0,83.3,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,0.0,13.0,0.0,1.0,100.0,26.0,13.0,0.0,0.0,1.0,0.0,6.0,1.0,0,2,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,Bournemouth,Brentford,9,2022-2023,LM,None,None,None,2022,0.2111111111111111,Bournemouth_Brentford,Bournemouth_Brentford_2022,Bournemouth,Brentford,2022,9,Bournemouth,0.4,0.9,Brentford,0.0,0.0,2022-10-01,Thomas Bramall,Vitality Stadium,Sat,15:00,"10,126",79,draw,draw,Bournemouth,Brentford,Bournemouth_Brentford,Bournemouth_Brentford_2022,127.89473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.578947368421055,0.0,0.0,0.0,0.0,0.0,0.0,4.7368421052631575,0.0,37.89473684210526,42.63157894736842,421.10526315789474,14.210526315789474,14.210526315789474,0.0,4.7368421052631575,0.0,611.0526315789474,312.63157894736844,23.68421052631579,28.42105263157895,394.57894736842104,14.210526315789474,14.210526315789474,473.6842105263158,0.0,0.0,0.0,0.0,0.0,14.210526315789474,9.473684210526315,0.0,37.89473684210526,4.7368421052631575,0.0,0.0,0.0,0.0,4.7368421052631575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7368421052631575,0.0,4.7368421052631575,0.0,0.0,0.0,0.0,0.0,0.0,9.473684210526315,37.89473684210526,14.210526315789474,0.0,61.578947368421055,0.0,4.7368421052631575,473.6842105263158,123.15789473684211,61.578947368421055,0.0,0.0,4.7368421052631575,0.0,28.42105263157895,4.7368421052631575,0.0,9.473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8947368421052633,4.2631578947368425,0.0,0.0,374.2105263157895
Philip Billing,DEN,26,90.0,0,0,0,0,1,0,0,0,40.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,29.0,72.4,3.0,29.0,2.0,0.0,0.0,324.0,111.0,11.0,13.0,84.6,9.0,10.0,90.0,1.0,4.0,25.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,10.0,20.0,10.0,2.0,40.0,0.0,0.0,0.0,155.0,90.0,0.0,0.0,2.0,3.0,29.0,3.0,0,0,1,1,0.0,0.0,0,4.0,2.0,0.0,100.0,True,Bournemouth,Brentford,9,2022-2023,LM,FW,None,None,2022,1.0,Bournemouth_Brentford,Bournemouth_Brentford_2022,Bournemouth,Brentford,2022,9,Bournemouth,0.4,0.9,Brentford,0.0,0.0,2022-10-01,Thomas Bramall,Vitality Stadium,Sat,15:00,"10,126",79,draw,draw,Bournemouth,Brentford,Bournemouth_Brentford,Bournemouth_Brentford_2022,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,29.0,72.4,3.0,29.0,2.0,0.0,0.0,324.0,111.0,11.0,13.0,84.6,9.0,10.0,90.0,1.0,4.0,25.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,10.0,20.0,10.0,2.0,40.0,0.0,0.0,0.0,155.0,90.0,0.0,0.0,2.0,3.0,29.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0,1.0,0.4,0.9,0.0,0.0,79.0
Jefferson Lerma,COL,27,90.0,0,0,0,0,3,0,1,0,79.0,1.0,2,0.0,0.2,0.2,0.0,2.0,0.0,56.0,67.0,83.6,5.0,44.0,0.0,1.0,1.0,940.0,297.0,24.0,27.0,88.9,24.0,28.0,85.7,4.0,7.0,57.1,0.1,0.0,6.0,2.0,0.0,65.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,4.0,24.0,46.0,11.0,3.0,79.0,100.0,0.0,0.0,185.0,88.0,1.0,0.0,0.0,0.0,55.0,0.0,0,3,2,0,0.0,0.0,0,10.0,1.0,1.0,50.0,True,Bournemouth,Brentford,9,2022-2023,CM,None,None,None,2022,1.0,Bournemouth_Brentford,Bournemouth_Brentford_2022,Bournemouth,Brentford,2022,9,Bournemouth,0.4,0.9,Brentford,0.0,0.0,2022-10-01,Thomas Bramall,Vitality Stadium,Sat,15:00,"10,126",79,draw,draw,Bournemouth,Brentford,Bournemouth_Brentford,Bournemouth_Brentford_2022,27.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,79.0,1.0,2.0,0.0,0.2,0.2,0.0,2.0,0.0,56.0,67.0,83.6,5.0,44.0,0.0,1.0,1.0,940.0,297.0,24.0,27.0,88.9,24.0,28.0,85.7,4.0,7.0,57.1,0.1,0.0,6.0,2.0,0.0,65.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,4.0,24.0,46.0,11.0,3.0,79.0,100.0,0.0,0.0,185.0,88.0,1.0,0.0,0.0,0.0,55.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0,1.0,0.4,0.9,0.0,0.0,79.0
Lewis Cook,ENG,25,90.0,0,0,0,0,0,0,0,0,33.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,30.0,90.0,4.0,19.0,0.0,0.0,0.0,333.0,113.0,22.0,22.0,100.0,4.0,5.0,80.0,1.0,2.0,50.0,0.0,0.0,5.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,25.0,4.0,0.0,33.0,0.0,0.0,0.0,89.0,23.0,0.0,0.0,0.0,3.0,24.0,0.0,0,0,1,0,0.0,0.0,0,4.0,2.0,0.0,100.0,True,Bournemouth,Brentford,9,2022-2023,CM,None,None,None,2022,1.0,Bournemouth_Brentford,Bournemouth_Brentford_2022,Bournemouth,Brentford,2022,9,Bournemouth,0.4,0.9,Brentford,0.0,0.0,2022-10-01,Thomas Bramall,Vitality Stadium,Sat,15:00,"10,126",79,draw,draw,Bournemouth,Brentford,Bournemouth_Brentford,Bournemouth_Brentford_2022,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,30.0,90.0,4.0,19.0,0.0,0.0,0.0,333.0,113.0,22.0,22.0,100.0,4.0,5.0,80.0,1.0,2.0,50.0,0.0,0.0,5.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,25.0,4.0,0.0,33.0,0.0,0.0,0.0,89.0,23.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0,1.0,0.4,0.9,0.0,0.0,79.0
Marcus Tavernier,ENG,23,90.0,0,0,0,0,2,0,0,0,50.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,23.0,39.0,59.0,0.0,30.0,3.0,2.0,1.0,412.0,97.0,14.0,16.0,87.5,7.0,12.0,58.3,2.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,29.0,10.0,3.0,0.0,0.0,11,0.0,7.0,3.0,4.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,11.0,33.0,1.0,50.0,50.0,1.0,50.0,195.0,96.0,3.0,0.0,4.0,3.0,30.0,8.0,0,0,0,0,0.0,0.0,0,7.0,0.0,1.0,0.0,True,Bournemouth,Brentford,9,2022-2023,RM,None,None,None,2022,1.0,Bournemouth_Brentford,Bournemouth_Brentford_2022,Bournemouth,Brentford,2022,9,Bournemouth,0.4,0.9,Brentford,0.0,0.0,2022-10-01,Thomas Bramall,Vitality Stadium,Sat,15:00,"10,126",79,draw,draw,Bournemouth,Brentford,Bournemouth_Brentford,Bournemouth_Brentford_2022,23.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,23.0,39.0,59.0,0.0,30.0,3.0,2.0,1.0,412.0,97.0,14.0,16.0,87.5,7.0,12.0,58.3,2.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,29.0,10.0,3.0,0.0,0.0,11.0,0.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,11.0,33.0,1.0,50.0,50.0,1.0,50.0,195.0,96.0,3.0,0.0,4.0,3.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.4,0.9,0.0,0.0,79.0
Jordan Zemura,ZIM,22,90.0,0,0,0,0,0,0,0,0,41.0,3.0,2,1.0,0.0,0.0,0.0,0.0,0.0,22.0,31.0,71.0,2.0,18.0,0.0,0.0,0.0,283.0,56.0,13.0,16.0,81.3,8.0,9.0,88.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,3.0,1.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1,2.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,16.0,11.0,14.0,0.0,41.0,0.0,0.0,0.0,71.0,31.0,0.0,0.0,1.0,0.0,21.0,5.0,0,1,0,0,0.0,0.0,0,2.0,0.0,1.0,0.0,True,Bournemouth,Brentford,9,2022-2023,LB,None,None,None,2022,1.0,Bournemouth_Brentford,Bournemouth_Brentford_2022,Bournemouth,Brentford,2022,9,Bournemouth,0.4,0.9,Brentford,0.0,0.0,2022-10-01,Thomas Bramall,Vitality Stadium,Sat,15:00,"10,126",79,draw,draw,Bournemouth,Brentford,Bournemouth_Brentford,Bournemouth_Brentford_2022,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,31.0,71.0,2.0,18.0,0.0,0.0,0.0,283.0,56.0,13.0,16.0,81.3,8.0,9.0,88.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,16.0,11.0,14.0,0.0,41.0,0.0,0.0,0.0,71.0,31.0,0.0,0.0,1.0,0.0,21.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.4,0.9,0.0,0.0,79.0
Marcos Senesi,ARG,25,90.0,0,0,0,0,0,0,0,0,57.0,2.0,3,1.0,0.0,0.0,0.1,1.0,0.0,38.0,48.0,79.2,2.0,35.0,0.0,1.0,1.0,582.0,316.0,22.0,23.0,95.7,15.0,21.0,71.4,1.0,4.0,25.0,0.1,1.0,5.0,1.0,1.0,48.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,5.0,3.0,0.0,7.0,28.0,27.0,4.0,1.0,57.0,100.0,0.0,0.0,145.0,88.0,0.0,0.0,0.0,0.0,34.0,0.0,0,0,0,0,0.0,0.0,0,6.0,0.0,0.0,0.0,True,Bournemouth,Brentford,9,2022-2023,CB,None,None,None,2022,1.0,Bournemouth_Brentford,Bournemouth_Brentford_2022,Bournemouth,Brentford,2022,9,Bournemouth,0.4,0.9,Brentford,0.0,0.0,2022-10-01,Thomas Bramall,Vitality Stadium,Sat,15:00,"10,126",79,draw,draw,Bournemouth,Brentford,Bournemouth_Brentford,Bournemouth_Brentford_2022,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2.0,3.0,1.0,0.0,0.0,0.1,1.0,0.0,38.0,48.0,79.2,2.0,35.0,0.0,1.0,1.0,582.0,316.0,22.0,23.0,95.7,15.0,21.0,71.4,1.0,4.0,25.0,0.1,1.0,5.0,1.0,1.0,48.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,5.0,3.0,0.0,7.0,28.0,27.0,4.0,1.0,57.0,100.0,0.0,0.0,145.0,88.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.4,0.9,0.0,0.0,79.0
Chris Mepham,WAL,24,90.0,0,0,0,0,0,0,0,0,41.0,2.0,1,4.0,0.0,0.0,0.0,1.0,0.0,24.0,31.0,77.4,2.0,17.0,0.0,0.0,0.0,417.0,152.0,7.0,8.0,87.5,16.0,18.0,88.9,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2.0,0.0,0.0,1.0,1.0,100.0,0.0,4.0,0.0,3.0,2.0,0.0,12.0,28.0,13.0,0.0,0.0,41.0,0.0,0.0,0.0,81.0,39.0,0.0,0.0,0.0,0.0,22.0,0.0,0,1,1,0,0.0,0.0,0,4.0,1.0,2.0,33.3,True,Bournemouth,Brentford,9,2022-2023,CB,None,None,None,2022,1.0,Bournemouth_Brentford,Bournemouth_Brentford_2022,Bournemouth,Brentford,2022,9,Bournemouth,0.4,0.9,Brentford,0.0,0.0,2022-10-01,Thomas Bramall,Vitality Stadium,Sat,15:00,"10,126",79,draw,draw,Bournemouth,Brentford,Bournemouth_Brentford,Bournemouth_Brentford_2022,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,24.0,31.0,77.4,2.0,17.0,0.0,0.0,0.0,417.0,152.0,7.0,8.0,87.5,16.0,18.0,88.9,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,4.0,0.0,3.0,2.0,0.0,12.0,28.0,13.0,0.0,0.0,41.0,0.0,0.0,0.0,81.0,39.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3,1.0,0.4,0.9,0.0,0.0,79.0
Adam Smith,ENG,31,90.0,0,0,0,0,0,0,0,0,59.0,2.0,1,3.0,0.0,0.0,0.0,1.0,0.0,42.0,53.0,79.2,4.0,34.0,0.0,0.0,0.0,781.0,414.0,21.0,22.0,95.5,15.0,18.0,83.3,6.0,12.0,50.0,0.1,1.0,7.0,1.0,1.0,46.0,7.0,1.0,0.0,0.0,2,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,23.0,33.0,4.0,0.0,59.0,0.0,0.0,0.0,93.0,31.0,1.0,0.0,0.0,0.0,36.0,0.0,0,0,0,0,0.0,0.0,0,5.0,0.0,2.0,0.0,True,Bournemouth,Brentford,9,2022-2023,RB,None,None,None,2022,1.0,Bournemouth_Brentford,Bournemouth_Brentford_2022,Bournemouth,Brentford,2022,9,Bournemouth,0.4,0.9,Brentford,0.0,0.0,2022-10-01,Thomas Bramall,Vitality Stadium,Sat,15:00,"10,126",79,draw,draw,Bournemouth,Brentford,Bournemouth_Brentford,Bournemouth_Brentford_2022,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,42.0,53.0,79.2,4.0,34.0,0.0,0.0,0.0,781.0,414.0,21.0,22.0,95.5,15.0,18.0,83.3,6.0,12.0,50.0,0.1,1.0,7.0,1.0,1.0,46.0,7.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,23.0,33.0,4.0,0.0,59.0,0.0,0.0,0.0,93.0,31.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.4,0.9,0.0,0.0,79.0
Neto,BRA,33,90.0,0,0,0,0,0,0,0,0,37.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,35.0,68.6,0.0,20.0,0.0,0.0,0.0,727.0,596.0,8.0,8.0,100.0,6.0,6.0,100.0,10.0,21.0,47.6,0.0,0.0,1.0,0.0,0.0,20.0,15.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,81.0,55.0,0.0,0.0,0.0,0.0,11.0,0.0,0,0,1,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,Bournemouth,Brentford,9,2022-2023,GK,None,None,None,2022,1.0,Bournemouth_Brentford,Bournemouth_Brentford_2022,Bournemouth,Brentford,2022,9,Bournemouth,0.4,0.9,Brentford,0.0,0.0,2022-10-01,Thomas Bramall,Vitality Stadium,Sat,15:00,"10,126",79,draw,draw,Bournemouth,Brentford,Bournemouth_Brentford,Bournemouth_Brentford_2022,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,35.0,68.6,0.0,20.0,0.0,0.0,0.0,727.0,596.0,8.0,8.0,100.0,6.0,6.0,100.0,10.0,21.0,47.6,0.0,0.0,1.0,0.0,0.0,20.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,81.0,55.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.9,0.0,0.0,79.0
