player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Sergio Aguero,ARG,30,74.0,1,0,0,0,3,1,0,0,37.0,1.0,0,1.0,0.2,0.2,0.0,4.0,1.0,23.0,26.0,88.5,4.0,22.0,3.0,2.0,1.0,301.0,49.0,15.0,16.0,93.8,7.0,7.0,100.0,0.0,0.0,0.0,0.1,1.0,1.0,2.0,0.0,25.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,26.0,6.0,37.0,50.0,1.0,50.0,144.0,56.0,4.0,1.0,1.0,2.0,29.0,8.0,0,1,0,0,0.0,0.0,0,2.0,0.0,1.0,0.0,True,Manchester City,Manchester Utd,12,2018-2019,FW,None,None,None,2018,0.8222222222222222,Manchester_City_Manchester_Utd,Manchester_City_Manchester_Utd_2018,Manchester City,Manchester Utd,2018,12,Manchester City,1.9,1.1,Manchester Utd,3.0,1.0,2018-11-11,Anthony Taylor,Etihad Stadium,Sun,16:30,"54,316",130,Manchester City,Manchester Utd,Manchester City,Manchester Utd,Manchester_City_Manchester_Utd,Manchester City_Manchester Utd_2018,36.48648648648649,1.2162162162162162,0.0,0.0,0.0,3.6486486486486487,1.2162162162162162,0.0,0.0,45.0,1.2162162162162162,0.0,1.2162162162162162,0.24324324324324326,0.24324324324324326,0.0,4.864864864864865,1.2162162162162162,27.972972972972975,31.621621621621625,107.63513513513514,4.864864864864865,26.756756756756758,3.6486486486486487,2.4324324324324325,1.2162162162162162,366.0810810810811,59.5945945945946,18.243243243243246,19.45945945945946,114.08108108108108,8.513513513513514,8.513513513513514,121.62162162162163,0.0,0.0,0.0,0.12162162162162163,1.2162162162162162,1.2162162162162162,2.4324324324324325,0.0,30.405405405405407,1.2162162162162162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,1.2162162162162162,0.0,1.2162162162162162,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,1.2162162162162162,0.0,0.0,0.0,2.4324324324324325,12.162162162162163,31.621621621621625,7.297297297297297,45.0,60.810810810810814,1.2162162162162162,60.810810810810814,175.13513513513513,68.10810810810811,4.864864864864865,1.2162162162162162,1.2162162162162162,2.4324324324324325,35.270270270270274,9.72972972972973,0.0,1.2162162162162162,0.0,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,1.2162162162162162,0.0,1.0,2.310810810810811,1.337837837837838,3.6486486486486487,1.2162162162162162,158.10810810810813
Ilkay Gundogan,GER,28,16.0,1,0,0,0,2,1,0,0,21.0,0.0,0,0.0,0.7,0.7,0.0,0.0,0.0,14.0,15.0,93.3,1.0,18.0,3.0,0.0,0.0,227.0,29.0,8.0,8.0,100.0,5.0,6.0,83.3,1.0,1.0,100.0,0.0,0.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,7.0,2.0,21.0,0.0,0.0,0.0,105.0,52.0,1.0,0.0,0.0,2.0,19.0,1.0,0,0,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,True,Manchester City,Manchester Utd,12,2018-2019,RM,None,None,None,2018,0.17777777777777778,Manchester_City_Manchester_Utd,Manchester_City_Manchester_Utd_2018,Manchester City,Manchester Utd,2018,12,Manchester City,1.9,1.1,Manchester Utd,3.0,1.0,2018-11-11,Anthony Taylor,Etihad Stadium,Sun,16:30,"54,316",130,Manchester City,Manchester Utd,Manchester City,Manchester Utd,Manchester_City_Manchester_Utd,Manchester City_Manchester Utd_2018,157.5,5.625,0.0,0.0,0.0,11.25,5.625,0.0,0.0,118.125,0.0,0.0,0.0,3.9374999999999996,3.9374999999999996,0.0,0.0,0.0,78.75,84.375,524.8125,5.625,101.25,16.875,0.0,0.0,1276.875,163.125,45.0,45.0,562.5,28.125,33.75,468.56249999999994,5.625,5.625,562.5,0.0,0.0,5.625,5.625,0.0,84.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,0.0,0.0,0.0,78.75,39.375,11.25,118.125,0.0,0.0,0.0,590.625,292.5,5.625,0.0,0.0,11.25,106.875,5.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,5.625,0.0,562.5,1.0,10.687499999999998,6.1875,16.875,5.625,731.25
Raheem Sterling,ENG,23,90.0,0,0,0,0,3,0,0,0,60.0,1.0,0,1.0,0.1,0.1,0.1,6.0,2.0,41.0,50.0,82.0,2.0,48.0,7.0,1.0,0.0,482.0,84.0,24.0,27.0,88.9,6.0,8.0,75.0,3.0,3.0,100.0,0.2,2.0,3.0,2.0,1.0,48.0,2.0,2.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,20.0,38.0,9.0,60.0,0.0,1.0,100.0,304.0,165.0,4.0,3.0,1.0,3.0,52.0,11.0,0,2,2,0,0.0,0.0,0,6.0,0.0,0.0,0.0,True,Manchester City,Manchester Utd,12,2018-2019,LW,FW,RW,None,2018,1.0,Manchester_City_Manchester_Utd,Manchester_City_Manchester_Utd_2018,Manchester City,Manchester Utd,2018,12,Manchester City,1.9,1.1,Manchester Utd,3.0,1.0,2018-11-11,Anthony Taylor,Etihad Stadium,Sun,16:30,"54,316",130,Manchester City,Manchester Utd,Manchester City,Manchester Utd,Manchester_City_Manchester_Utd,Manchester City_Manchester Utd_2018,23.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,60.0,1.0,0.0,1.0,0.1,0.1,0.1,6.0,2.0,41.0,50.0,82.0,2.0,48.0,7.0,1.0,0.0,482.0,84.0,24.0,27.0,88.9,6.0,8.0,75.0,3.0,3.0,100.0,0.2,2.0,3.0,2.0,1.0,48.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,20.0,38.0,9.0,60.0,0.0,1.0,100.0,304.0,165.0,4.0,3.0,1.0,3.0,52.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.9,1.1,3.0,1.0,130.0
Riyad Mahrez,ALG,27,61.0,0,1,0,0,0,0,0,0,39.0,0.0,0,1.0,0.0,0.0,0.1,3.0,1.0,25.0,35.0,71.4,1.0,31.0,1.0,0.0,0.0,368.0,42.0,10.0,12.0,83.3,10.0,12.0,83.3,2.0,6.0,33.3,0.3,2.0,0.0,2.0,1.0,31.0,4.0,1.0,1.0,0.0,5,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,24.0,2.0,39.0,0.0,0.0,0.0,208.0,72.0,0.0,0.0,1.0,2.0,31.0,13.0,0,0,2,0,0.0,0.0,0,3.0,0.0,1.0,0.0,True,Manchester City,Manchester Utd,12,2018-2019,RW,None,None,None,2018,0.6777777777777778,Manchester_City_Manchester_Utd,Manchester_City_Manchester_Utd_2018,Manchester City,Manchester Utd,2018,12,Manchester City,1.9,1.1,Manchester Utd,3.0,1.0,2018-11-11,Anthony Taylor,Etihad Stadium,Sun,16:30,"54,316",130,Manchester City,Manchester Utd,Manchester City,Manchester Utd,Manchester_City_Manchester_Utd,Manchester City_Manchester Utd_2018,39.83606557377049,0.0,1.4754098360655736,0.0,0.0,0.0,0.0,0.0,0.0,57.540983606557376,0.0,0.0,1.4754098360655736,0.0,0.0,0.14754098360655737,4.426229508196721,1.4754098360655736,36.885245901639344,51.639344262295076,105.34426229508198,1.4754098360655736,45.73770491803278,1.4754098360655736,0.0,0.0,542.9508196721312,61.967213114754095,14.754098360655737,17.704918032786885,122.90163934426228,14.754098360655737,17.704918032786885,122.90163934426228,2.9508196721311473,8.852459016393443,49.1311475409836,0.44262295081967207,2.9508196721311473,0.0,2.9508196721311473,1.4754098360655736,45.73770491803278,5.9016393442622945,1.4754098360655736,1.4754098360655736,0.0,7.377049180327869,2.9508196721311473,1.4754098360655736,1.4754098360655736,0.0,0.0,0.0,2.9508196721311473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4754098360655736,0.0,0.0,0.0,0.0,1.4754098360655736,20.65573770491803,35.40983606557377,2.9508196721311473,57.540983606557376,0.0,0.0,0.0,306.88524590163934,106.22950819672131,0.0,0.0,1.4754098360655736,2.9508196721311473,45.73770491803278,19.18032786885246,0.0,0.0,2.9508196721311473,0.0,0.0,0.0,0.0,4.426229508196721,0.0,1.4754098360655736,0.0,1.0,2.80327868852459,1.6229508196721312,4.426229508196721,1.4754098360655736,191.80327868852459
Leroy Sane,GER,22,29.0,0,0,0,0,1,0,0,0,25.0,0.0,0,1.0,0.1,0.1,0.0,2.0,0.0,17.0,20.0,85.0,2.0,19.0,0.0,5.0,2.0,189.0,44.0,7.0,7.0,100.0,5.0,7.0,71.4,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,1.0,25.0,40.0,3.0,60.0,88.0,30.0,0.0,0.0,0.0,0.0,20.0,2.0,0,0,1,0,0.0,0.0,0,1.0,1.0,0.0,100.0,True,Manchester City,Manchester Utd,12,2018-2019,LW,None,None,None,2018,0.32222222222222224,Manchester_City_Manchester_Utd,Manchester_City_Manchester_Utd_2018,Manchester City,Manchester Utd,2018,12,Manchester City,1.9,1.1,Manchester Utd,3.0,1.0,2018-11-11,Anthony Taylor,Etihad Stadium,Sun,16:30,"54,316",130,Manchester City,Manchester Utd,Manchester City,Manchester Utd,Manchester_City_Manchester_Utd,Manchester City_Manchester Utd_2018,68.27586206896551,0.0,0.0,0.0,0.0,3.103448275862069,0.0,0.0,0.0,77.58620689655172,0.0,0.0,3.103448275862069,0.3103448275862069,0.3103448275862069,0.0,6.206896551724138,0.0,52.75862068965517,62.068965517241374,263.7931034482759,6.206896551724138,58.96551724137931,0.0,15.517241379310343,6.206896551724138,586.551724137931,136.55172413793102,21.72413793103448,21.72413793103448,310.34482758620686,15.517241379310343,21.72413793103448,221.58620689655172,0.0,3.103448275862069,0.0,0.0,3.103448275862069,3.103448275862069,0.0,0.0,58.96551724137931,3.103448275862069,3.103448275862069,0.0,0.0,3.103448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.103448275862069,0.0,0.0,0.0,0.0,0.0,18.620689655172413,58.96551724137931,3.103448275862069,77.58620689655172,124.13793103448275,9.310344827586206,186.20689655172413,273.10344827586204,93.10344827586206,0.0,0.0,0.0,0.0,62.068965517241374,6.206896551724138,0.0,0.0,3.103448275862069,0.0,0.0,0.0,0.0,3.103448275862069,3.103448275862069,0.0,310.34482758620686,1.0,5.896551724137931,3.413793103448276,9.310344827586206,3.103448275862069,403.44827586206895
David Silva,ESP,32,89.0,1,0,0,0,2,1,0,0,97.0,1.0,0,0.0,0.5,0.5,0.1,5.0,0.0,75.0,88.0,85.2,6.0,62.0,5.0,3.0,2.0,1080.0,168.0,40.0,44.0,90.9,29.0,30.0,96.7,3.0,8.0,37.5,0.2,2.0,7.0,2.0,0.0,81.0,7.0,2.0,1.0,0.0,7,0.0,4.0,0.0,4.0,0.0,0.0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,47.0,42.0,5.0,97.0,66.7,1.0,33.3,353.0,187.0,4.0,3.0,0.0,0.0,79.0,6.0,0,0,0,0,0.0,0.0,0,2.0,0.0,1.0,0.0,True,Manchester City,Manchester Utd,12,2018-2019,LM,None,None,None,2018,0.9888888888888889,Manchester_City_Manchester_Utd,Manchester_City_Manchester_Utd_2018,Manchester City,Manchester Utd,2018,12,Manchester City,1.9,1.1,Manchester Utd,3.0,1.0,2018-11-11,Anthony Taylor,Etihad Stadium,Sun,16:30,"54,316",130,Manchester City,Manchester Utd,Manchester City,Manchester Utd,Manchester_City_Manchester_Utd,Manchester City_Manchester Utd_2018,32.359550561797754,1.0112359550561798,0.0,0.0,0.0,2.0224719101123596,1.0112359550561798,0.0,0.0,98.08988764044943,1.0112359550561798,0.0,0.0,0.5056179775280899,0.5056179775280899,0.10112359550561797,5.056179775280898,0.0,75.84269662921348,88.98876404494382,86.15730337078652,6.067415730337078,62.69662921348314,5.056179775280898,3.033707865168539,2.0224719101123596,1092.1348314606741,169.8876404494382,40.44943820224719,44.49438202247191,91.92134831460675,29.325842696629213,30.337078651685392,97.78651685393258,3.033707865168539,8.089887640449438,37.92134831460674,0.20224719101123595,2.0224719101123596,7.078651685393258,2.0224719101123596,0.0,81.91011235955055,7.078651685393258,2.0224719101123596,1.0112359550561798,0.0,7.078651685393258,0.0,4.044943820224719,0.0,4.044943820224719,0.0,0.0,2.0224719101123596,1.0112359550561798,1.0112359550561798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0112359550561798,2.0224719101123596,0.0,0.0,8.089887640449438,47.52808988764045,42.47191011235955,5.056179775280898,98.08988764044943,67.4494382022472,1.0112359550561798,33.674157303370784,356.96629213483146,189.1011235955056,4.044943820224719,3.033707865168539,0.0,0.0,79.8876404494382,6.067415730337078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0224719101123596,0.0,1.0112359550561798,0.0,1.0,1.9213483146067414,1.1123595505617978,3.033707865168539,1.0112359550561798,131.46067415730337
Phil Foden,ENG,18,1.0,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,0.0,6.0,0.0,0.0,0.0,66.0,0.0,5.0,5.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,7.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,7.0,2.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,Manchester City,Manchester Utd,12,2018-2019,LM,None,None,None,2018,0.011111111111111112,Manchester_City_Manchester_Utd,Manchester_City_Manchester_Utd_2018,Manchester City,Manchester Utd,2018,12,Manchester City,1.9,1.1,Manchester Utd,3.0,1.0,2018-11-11,Anthony Taylor,Etihad Stadium,Sun,16:30,"54,316",130,Manchester City,Manchester Utd,Manchester City,Manchester Utd,Manchester_City_Manchester_Utd,Manchester City_Manchester Utd_2018,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,630.0,9000.0,0.0,540.0,0.0,0.0,0.0,5940.0,0.0,450.0,450.0,9000.0,90.0,90.0,9000.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,270.0,0.0,630.0,0.0,0.0,0.0,1440.0,720.0,0.0,0.0,0.0,0.0,630.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,170.99999999999997,99.0,270.0,90.0,11700.0
Fernandinho,BRA,33,90.0,0,0,0,0,4,2,0,0,98.0,2.0,3,4.0,0.1,0.1,0.0,2.0,0.0,75.0,81.0,92.6,10.0,60.0,1.0,1.0,0.0,1061.0,343.0,45.0,48.0,93.8,24.0,26.0,92.3,3.0,3.0,100.0,0.0,1.0,7.0,0.0,0.0,81.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,2.0,5.0,4.0,0.0,5.0,21.0,64.0,15.0,1.0,98.0,0.0,1.0,100.0,230.0,131.0,1.0,0.0,1.0,0.0,76.0,0.0,0,3,2,0,0.0,0.0,0,6.0,3.0,2.0,60.0,True,Manchester City,Manchester Utd,12,2018-2019,CM,None,None,None,2018,1.0,Manchester_City_Manchester_Utd,Manchester_City_Manchester_Utd_2018,Manchester City,Manchester Utd,2018,12,Manchester City,1.9,1.1,Manchester Utd,3.0,1.0,2018-11-11,Anthony Taylor,Etihad Stadium,Sun,16:30,"54,316",130,Manchester City,Manchester Utd,Manchester City,Manchester Utd,Manchester_City_Manchester_Utd,Manchester City_Manchester Utd_2018,33.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,98.0,2.0,3.0,4.0,0.1,0.1,0.0,2.0,0.0,75.0,81.0,92.6,10.0,60.0,1.0,1.0,0.0,1061.0,343.0,45.0,48.0,93.8,24.0,26.0,92.3,3.0,3.0,100.0,0.0,1.0,7.0,0.0,0.0,81.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,2.0,5.0,4.0,0.0,5.0,21.0,64.0,15.0,1.0,98.0,0.0,1.0,100.0,230.0,131.0,1.0,0.0,1.0,0.0,76.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,60.0,1.0,1.9,1.1,3.0,1.0,130.0
Bernardo Silva,POR,24,90.0,0,2,0,0,1,0,1,0,72.0,3.0,0,1.0,0.0,0.0,1.4,8.0,2.0,52.0,62.0,83.9,8.0,51.0,5.0,3.0,3.0,677.0,182.0,29.0,32.0,90.6,15.0,19.0,78.9,2.0,4.0,50.0,0.5,6.0,2.0,3.0,1.0,60.0,2.0,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2.0,0.0,1.0,1.0,2.0,50.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,11.0,30.0,32.0,5.0,72.0,100.0,0.0,0.0,292.0,158.0,4.0,1.0,2.0,1.0,52.0,5.0,0,1,1,0,0.0,0.0,0,7.0,0.0,0.0,0.0,True,Manchester City,Manchester Utd,12,2018-2019,RM,RW,None,None,2018,1.0,Manchester_City_Manchester_Utd,Manchester_City_Manchester_Utd_2018,Manchester City,Manchester Utd,2018,12,Manchester City,1.9,1.1,Manchester Utd,3.0,1.0,2018-11-11,Anthony Taylor,Etihad Stadium,Sun,16:30,"54,316",130,Manchester City,Manchester Utd,Manchester City,Manchester Utd,Manchester_City_Manchester_Utd,Manchester City_Manchester Utd_2018,24.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,72.0,3.0,0.0,1.0,0.0,0.0,1.4,8.0,2.0,52.0,62.0,83.9,8.0,51.0,5.0,3.0,3.0,677.0,182.0,29.0,32.0,90.6,15.0,19.0,78.9,2.0,4.0,50.0,0.5,6.0,2.0,3.0,1.0,60.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,50.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,11.0,30.0,32.0,5.0,72.0,100.0,0.0,0.0,292.0,158.0,4.0,1.0,2.0,1.0,52.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.9,1.1,3.0,1.0,130.0
Benjamin Mendy,FRA,24,90.0,0,0,0,0,0,0,0,0,90.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,73.0,88.0,83.0,5.0,52.0,2.0,1.0,1.0,1023.0,192.0,40.0,43.0,93.0,27.0,33.0,81.8,2.0,2.0,100.0,0.0,0.0,4.0,1.0,0.0,75.0,13.0,0.0,0.0,0.0,6,13.0,0.0,0.0,0.0,0.0,0.0,5.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,52.0,31.0,1.0,90.0,100.0,0.0,0.0,189.0,101.0,3.0,0.0,0.0,1.0,61.0,6.0,0,3,1,0,0.0,0.0,0,6.0,0.0,0.0,0.0,True,Manchester City,Manchester Utd,12,2018-2019,LB,None,None,None,2018,1.0,Manchester_City_Manchester_Utd,Manchester_City_Manchester_Utd_2018,Manchester City,Manchester Utd,2018,12,Manchester City,1.9,1.1,Manchester Utd,3.0,1.0,2018-11-11,Anthony Taylor,Etihad Stadium,Sun,16:30,"54,316",130,Manchester City,Manchester Utd,Manchester City,Manchester Utd,Manchester_City_Manchester_Utd,Manchester City_Manchester Utd_2018,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0,88.0,83.0,5.0,52.0,2.0,1.0,1.0,1023.0,192.0,40.0,43.0,93.0,27.0,33.0,81.8,2.0,2.0,100.0,0.0,0.0,4.0,1.0,0.0,75.0,13.0,0.0,0.0,0.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,52.0,31.0,1.0,90.0,100.0,0.0,0.0,189.0,101.0,3.0,0.0,0.0,1.0,61.0,6.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.9,1.1,3.0,1.0,130.0
Aymeric Laporte,ESP,24,90.0,0,0,0,0,1,0,0,0,97.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,89.0,90.0,98.9,9.0,82.0,0.0,0.0,0.0,1652.0,624.0,34.0,35.0,97.1,41.0,41.0,100.0,11.0,11.0,100.0,0.0,0.0,9.0,0.0,0.0,90.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,20.0,72.0,5.0,0.0,97.0,0.0,0.0,0.0,445.0,319.0,4.0,0.0,0.0,0.0,88.0,0.0,0,1,1,0,0.0,0.0,0,2.0,3.0,2.0,60.0,True,Manchester City,Manchester Utd,12,2018-2019,CB,None,None,None,2018,1.0,Manchester_City_Manchester_Utd,Manchester_City_Manchester_Utd_2018,Manchester City,Manchester Utd,2018,12,Manchester City,1.9,1.1,Manchester Utd,3.0,1.0,2018-11-11,Anthony Taylor,Etihad Stadium,Sun,16:30,"54,316",130,Manchester City,Manchester Utd,Manchester City,Manchester Utd,Manchester_City_Manchester_Utd,Manchester City_Manchester Utd_2018,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,97.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,90.0,98.9,9.0,82.0,0.0,0.0,0.0,1652.0,624.0,34.0,35.0,97.1,41.0,41.0,100.0,11.0,11.0,100.0,0.0,0.0,9.0,0.0,0.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,20.0,72.0,5.0,0.0,97.0,0.0,0.0,0.0,445.0,319.0,4.0,0.0,0.0,0.0,88.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,60.0,1.0,1.9,1.1,3.0,1.0,130.0
