player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Joselu,ESP,27,67.0,0,0,0,0,3,1,0,0,41.0,1.0,1,2.0,0.2,0.2,0.0,2.0,0.0,22.0,31.0,71.0,2.0,15.0,1.0,0.0,0.0,387.0,85.0,11.0,17.0,64.7,9.0,12.0,75.0,1.0,1.0,100.0,0.0,0.0,2.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,3.0,5.0,21.0,15.0,3.0,41.0,0.0,0.0,0.0,41.0,15.0,0.0,0.0,0.0,0.0,30.0,7.0,0,0,2,1,0.0,0.0,0,2.0,9.0,1.0,90.0,True,Newcastle Utd,Bournemouth,11,2017-2018,FW,None,None,None,2017,0.7444444444444445,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle_Utd_2017,Newcastle Utd,Bournemouth,2017,11,Newcastle Utd,0.7,1.5,Bournemouth,0.0,1.0,2017-11-04,Paul Tierney,St. James' Park,Sat,15:00,"52,237",114,Bournemouth,Newcastle Utd,Newcastle Utd,Bournemouth,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle Utd_2017,36.26865671641791,0.0,0.0,0.0,0.0,4.029850746268656,1.3432835820895521,0.0,0.0,55.07462686567164,1.3432835820895521,1.3432835820895521,2.6865671641791042,0.26865671641791045,0.26865671641791045,0.0,2.6865671641791042,0.0,29.55223880597015,41.64179104477612,95.3731343283582,2.6865671641791042,20.149253731343283,1.3432835820895521,0.0,0.0,519.8507462686567,114.17910447761194,14.776119402985074,22.83582089552239,86.91044776119404,12.08955223880597,16.119402985074625,100.74626865671641,1.3432835820895521,1.3432835820895521,134.32835820895522,0.0,0.0,2.6865671641791042,0.0,0.0,41.64179104477612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3432835820895521,0.0,1.3432835820895521,0.0,0.0,1.3432835820895521,0.0,1.3432835820895521,0.0,2.6865671641791042,2.6865671641791042,5.3731343283582085,0.0,4.029850746268656,6.716417910447761,28.208955223880597,20.149253731343283,4.029850746268656,55.07462686567164,0.0,0.0,0.0,55.07462686567164,20.149253731343283,0.0,0.0,0.0,0.0,40.298507462686565,9.402985074626866,0.0,0.0,2.6865671641791042,1.3432835820895521,0.0,0.0,0.0,2.6865671641791042,12.08955223880597,1.3432835820895521,120.8955223880597,1.0,0.9402985074626865,2.014925373134328,0.0,1.3432835820895521,153.13432835820896
Ayoze Perez,ESP,24,23.0,0,0,0,0,0,0,0,0,9.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,20.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,9.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,0,0,0,1,0.0,0.0,0,1.0,0.0,2.0,0.0,True,Newcastle Utd,Bournemouth,11,2017-2018,FW,None,None,None,2017,0.25555555555555554,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle_Utd_2017,Newcastle Utd,Bournemouth,2017,11,Newcastle Utd,0.7,1.5,Bournemouth,0.0,1.0,2017-11-04,Paul Tierney,St. James' Park,Sat,15:00,"52,237",114,Bournemouth,Newcastle Utd,Newcastle Utd,Bournemouth,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle Utd_2017,93.91304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.21739130434783,3.91304347826087,0.0,3.91304347826087,0.0,0.0,0.0,0.0,0.0,3.91304347826087,19.565217391304348,78.26086956521739,0.0,11.73913043478261,0.0,0.0,0.0,39.130434782608695,0.0,3.91304347826087,11.73913043478261,130.30434782608697,0.0,7.82608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.565217391304348,0.0,0.0,3.91304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91304347826087,3.91304347826087,0.0,3.91304347826087,0.0,0.0,0.0,0.0,0.0,0.0,3.91304347826087,3.91304347826087,0.0,0.0,0.0,15.65217391304348,7.82608695652174,11.73913043478261,0.0,35.21739130434783,0.0,0.0,0.0,27.39130434782609,11.73913043478261,0.0,0.0,0.0,3.91304347826087,15.65217391304348,3.91304347826087,0.0,0.0,0.0,3.91304347826087,0.0,0.0,0.0,3.91304347826087,0.0,7.82608695652174,0.0,1.0,2.739130434782609,5.869565217391305,0.0,3.91304347826087,446.0869565217392
Dwight Gayle,ENG,27,90.0,0,0,0,0,3,0,0,0,40.0,1.0,0,2.0,0.3,0.3,0.1,4.0,0.0,24.0,27.0,88.9,3.0,23.0,1.0,1.0,1.0,302.0,64.0,17.0,18.0,94.4,7.0,7.0,100.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,25.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,19.0,20.0,4.0,40.0,100.0,0.0,0.0,91.0,44.0,2.0,0.0,4.0,2.0,34.0,9.0,0,2,2,2,0.0,0.0,0,3.0,7.0,7.0,50.0,True,Newcastle Utd,Bournemouth,11,2017-2018,FW,None,None,None,2017,1.0,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle_Utd_2017,Newcastle Utd,Bournemouth,2017,11,Newcastle Utd,0.7,1.5,Bournemouth,0.0,1.0,2017-11-04,Paul Tierney,St. James' Park,Sat,15:00,"52,237",114,Bournemouth,Newcastle Utd,Newcastle Utd,Bournemouth,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle Utd_2017,27.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,40.0,1.0,0.0,2.0,0.3,0.3,0.1,4.0,0.0,24.0,27.0,88.9,3.0,23.0,1.0,1.0,1.0,302.0,64.0,17.0,18.0,94.4,7.0,7.0,100.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,19.0,20.0,4.0,40.0,100.0,0.0,0.0,91.0,44.0,2.0,0.0,4.0,2.0,34.0,9.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,7.0,7.0,50.0,1.0,0.7,1.5,0.0,1.0,114.0
Christian Atsu,GHA,25,81.0,0,0,0,0,3,1,0,0,40.0,0.0,1,2.0,0.1,0.1,0.0,2.0,0.0,21.0,28.0,75.0,4.0,28.0,8.0,2.0,1.0,265.0,72.0,15.0,16.0,93.8,5.0,9.0,55.6,0.0,2.0,0.0,0.1,0.0,2.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,19.0,18.0,2.0,40.0,50.0,1.0,50.0,263.0,158.0,4.0,2.0,2.0,1.0,30.0,8.0,0,1,3,0,0.0,0.0,0,5.0,1.0,13.0,7.1,True,Newcastle Utd,Bournemouth,11,2017-2018,LM,None,None,None,2017,0.9,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle_Utd_2017,Newcastle Utd,Bournemouth,2017,11,Newcastle Utd,0.7,1.5,Bournemouth,0.0,1.0,2017-11-04,Paul Tierney,St. James' Park,Sat,15:00,"52,237",114,Bournemouth,Newcastle Utd,Newcastle Utd,Bournemouth,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle Utd_2017,27.77777777777778,0.0,0.0,0.0,0.0,3.333333333333333,1.1111111111111112,0.0,0.0,44.44444444444444,0.0,1.1111111111111112,2.2222222222222223,0.11111111111111112,0.11111111111111112,0.0,2.2222222222222223,0.0,23.333333333333332,31.11111111111111,83.33333333333333,4.444444444444445,31.11111111111111,8.88888888888889,2.2222222222222223,1.1111111111111112,294.44444444444446,80.0,16.666666666666668,17.77777777777778,104.22222222222221,5.555555555555555,10.0,61.77777777777778,0.0,2.2222222222222223,0.0,0.11111111111111112,0.0,2.2222222222222223,2.2222222222222223,0.0,31.11111111111111,0.0,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.0,1.1111111111111112,3.333333333333333,21.11111111111111,20.0,2.2222222222222223,44.44444444444444,55.55555555555556,1.1111111111111112,55.55555555555556,292.22222222222223,175.55555555555554,4.444444444444445,2.2222222222222223,2.2222222222222223,1.1111111111111112,33.333333333333336,8.88888888888889,0.0,1.1111111111111112,3.333333333333333,0.0,0.0,0.0,0.0,5.555555555555555,1.1111111111111112,14.444444444444445,7.888888888888888,1.0,0.7777777777777777,1.6666666666666665,0.0,1.1111111111111112,126.66666666666666
Jacob Murphy,ENG,22,9.0,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,2.0,1.0,1.0,0.0,23.0,10.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,6.0,0.0,1.0,100.0,46.0,29.0,1.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0.0,0.0,0,1.0,1.0,1.0,50.0,True,Newcastle Utd,Bournemouth,11,2017-2018,LM,None,None,None,2017,0.1,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle_Utd_2017,Newcastle Utd,Bournemouth,2017,11,Newcastle Utd,0.7,1.5,Bournemouth,0.0,1.0,2017-11-04,Paul Tierney,St. James' Park,Sat,15:00,"52,237",114,Bournemouth,Newcastle Utd,Newcastle Utd,Bournemouth,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle Utd_2017,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,667.0,0.0,20.0,10.0,10.0,0.0,230.0,100.0,20.0,20.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,40.0,10.0,10.0,0.0,60.0,0.0,10.0,1000.0,460.0,290.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,500.0,1.0,6.999999999999999,15.0,0.0,10.0,1140.0
Jonjo Shelvey,ENG,25,90.0,0,0,0,0,2,0,1,0,66.0,6.0,1,0.0,0.0,0.0,0.1,4.0,0.0,37.0,58.0,63.8,10.0,26.0,0.0,3.0,3.0,926.0,469.0,7.0,10.0,70.0,19.0,24.0,79.2,10.0,21.0,47.6,0.2,3.0,13.0,0.0,0.0,46.0,11.0,6.0,0.0,1.0,6,0.0,5.0,3.0,2.0,0.0,1.0,2.0,2,3.0,3.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,12.0,41.0,14.0,1.0,66.0,100.0,0.0,0.0,100.0,10.0,0.0,0.0,2.0,1.0,36.0,3.0,0,2,0,0,0.0,0.0,0,8.0,0.0,0.0,0.0,True,Newcastle Utd,Bournemouth,11,2017-2018,CM,None,None,None,2017,1.0,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle_Utd_2017,Newcastle Utd,Bournemouth,2017,11,Newcastle Utd,0.7,1.5,Bournemouth,0.0,1.0,2017-11-04,Paul Tierney,St. James' Park,Sat,15:00,"52,237",114,Bournemouth,Newcastle Utd,Newcastle Utd,Bournemouth,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle Utd_2017,25.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,66.0,6.0,1.0,0.0,0.0,0.0,0.1,4.0,0.0,37.0,58.0,63.8,10.0,26.0,0.0,3.0,3.0,926.0,469.0,7.0,10.0,70.0,19.0,24.0,79.2,10.0,21.0,47.6,0.2,3.0,13.0,0.0,0.0,46.0,11.0,6.0,0.0,1.0,6.0,0.0,5.0,3.0,2.0,0.0,1.0,2.0,2.0,3.0,3.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,12.0,41.0,14.0,1.0,66.0,100.0,0.0,0.0,100.0,10.0,0.0,0.0,2.0,1.0,36.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.7,1.5,0.0,1.0,114.0
Isaac Hayden,ENG,22,90.0,0,0,0,0,1,0,0,0,54.0,2.0,2,1.0,0.0,0.0,0.2,3.0,0.0,34.0,46.0,73.9,4.0,13.0,0.0,0.0,0.0,416.0,154.0,26.0,31.0,83.9,8.0,12.0,66.7,0.0,0.0,0.0,0.3,2.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,3.0,11.0,27.0,16.0,2.0,54.0,0.0,0.0,0.0,56.0,20.0,0.0,0.0,0.0,1.0,31.0,3.0,0,2,1,0,0.0,0.0,0,7.0,3.0,4.0,42.9,True,Newcastle Utd,Bournemouth,11,2017-2018,CM,None,None,None,2017,1.0,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle_Utd_2017,Newcastle Utd,Bournemouth,2017,11,Newcastle Utd,0.7,1.5,Bournemouth,0.0,1.0,2017-11-04,Paul Tierney,St. James' Park,Sat,15:00,"52,237",114,Bournemouth,Newcastle Utd,Newcastle Utd,Bournemouth,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle Utd_2017,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,2.0,2.0,1.0,0.0,0.0,0.2,3.0,0.0,34.0,46.0,73.9,4.0,13.0,0.0,0.0,0.0,416.0,154.0,26.0,31.0,83.9,8.0,12.0,66.7,0.0,0.0,0.0,0.3,2.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,3.0,11.0,27.0,16.0,2.0,54.0,0.0,0.0,0.0,56.0,20.0,0.0,0.0,0.0,1.0,31.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,42.9,1.0,0.7,1.5,0.0,1.0,114.0
Matt Ritchie,SCO,28,90.0,0,0,0,0,2,1,0,0,53.0,2.0,1,2.0,0.1,0.1,0.2,5.0,0.0,30.0,45.0,66.7,3.0,21.0,2.0,0.0,0.0,625.0,266.0,15.0,17.0,88.2,7.0,12.0,58.3,8.0,15.0,53.3,0.3,4.0,2.0,2.0,2.0,37.0,7.0,0.0,0.0,1.0,10,1.0,6.0,2.0,3.0,0.0,1.0,0.0,1,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,5.0,11.0,21.0,22.0,1.0,53.0,0.0,0.0,0.0,99.0,53.0,1.0,1.0,1.0,0.0,29.0,3.0,0,0,1,0,0.0,0.0,0,5.0,2.0,2.0,50.0,True,Newcastle Utd,Bournemouth,11,2017-2018,RM,None,None,None,2017,1.0,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle_Utd_2017,Newcastle Utd,Bournemouth,2017,11,Newcastle Utd,0.7,1.5,Bournemouth,0.0,1.0,2017-11-04,Paul Tierney,St. James' Park,Sat,15:00,"52,237",114,Bournemouth,Newcastle Utd,Newcastle Utd,Bournemouth,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle Utd_2017,28.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,53.0,2.0,1.0,2.0,0.1,0.1,0.2,5.0,0.0,30.0,45.0,66.7,3.0,21.0,2.0,0.0,0.0,625.0,266.0,15.0,17.0,88.2,7.0,12.0,58.3,8.0,15.0,53.3,0.3,4.0,2.0,2.0,2.0,37.0,7.0,0.0,0.0,1.0,10.0,1.0,6.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,5.0,11.0,21.0,22.0,1.0,53.0,0.0,0.0,0.0,99.0,53.0,1.0,1.0,1.0,0.0,29.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,50.0,1.0,0.7,1.5,0.0,1.0,114.0
Javier Manquillo,ESP,23,90.0,0,0,0,0,0,0,0,0,37.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,21.0,31.0,67.7,6.0,14.0,1.0,0.0,0.0,451.0,175.0,6.0,8.0,75.0,12.0,16.0,75.0,3.0,6.0,50.0,0.0,0.0,3.0,0.0,0.0,26.0,5.0,0.0,0.0,1.0,1,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,5.0,11.0,12.0,14.0,0.0,37.0,0.0,0.0,0.0,57.0,31.0,1.0,0.0,0.0,0.0,19.0,1.0,0,4,1,0,0.0,0.0,0,1.0,0.0,1.0,0.0,True,Newcastle Utd,Bournemouth,11,2017-2018,LB,None,None,None,2017,1.0,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle_Utd_2017,Newcastle Utd,Bournemouth,2017,11,Newcastle Utd,0.7,1.5,Bournemouth,0.0,1.0,2017-11-04,Paul Tierney,St. James' Park,Sat,15:00,"52,237",114,Bournemouth,Newcastle Utd,Newcastle Utd,Bournemouth,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle Utd_2017,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,31.0,67.7,6.0,14.0,1.0,0.0,0.0,451.0,175.0,6.0,8.0,75.0,12.0,16.0,75.0,3.0,6.0,50.0,0.0,0.0,3.0,0.0,0.0,26.0,5.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,5.0,11.0,12.0,14.0,0.0,37.0,0.0,0.0,0.0,57.0,31.0,1.0,0.0,0.0,0.0,19.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7,1.5,0.0,1.0,114.0
Florian Lejeune,FRA,26,90.0,0,0,0,0,0,0,1,0,53.0,2.0,2,1.0,0.0,0.0,0.0,0.0,0.0,30.0,44.0,68.2,2.0,21.0,1.0,3.0,3.0,675.0,287.0,8.0,10.0,80.0,16.0,19.0,84.2,6.0,13.0,46.2,0.0,0.0,3.0,0.0,0.0,40.0,3.0,3.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,4.0,5.0,0.0,6.0,31.0,24.0,0.0,0.0,53.0,100.0,0.0,0.0,127.0,64.0,0.0,0.0,1.0,1.0,22.0,0.0,0,0,2,1,0.0,0.0,0,7.0,4.0,3.0,57.1,True,Newcastle Utd,Bournemouth,11,2017-2018,CB,None,None,None,2017,1.0,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle_Utd_2017,Newcastle Utd,Bournemouth,2017,11,Newcastle Utd,0.7,1.5,Bournemouth,0.0,1.0,2017-11-04,Paul Tierney,St. James' Park,Sat,15:00,"52,237",114,Bournemouth,Newcastle Utd,Newcastle Utd,Bournemouth,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle Utd_2017,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,44.0,68.2,2.0,21.0,1.0,3.0,3.0,675.0,287.0,8.0,10.0,80.0,16.0,19.0,84.2,6.0,13.0,46.2,0.0,0.0,3.0,0.0,0.0,40.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,4.0,5.0,0.0,6.0,31.0,24.0,0.0,0.0,53.0,100.0,0.0,0.0,127.0,64.0,0.0,0.0,1.0,1.0,22.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,4.0,3.0,57.1,1.0,0.7,1.5,0.0,1.0,114.0
Jamaal Lascelles,ENG,23,54.0,0,0,0,0,1,1,0,0,26.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,82.6,1.0,11.0,0.0,0.0,0.0,390.0,89.0,5.0,5.0,100.0,12.0,13.0,92.3,2.0,5.0,40.0,0.1,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,12.0,12.0,2.0,1.0,26.0,0.0,0.0,0.0,28.0,15.0,0.0,0.0,0.0,1.0,17.0,0.0,0,0,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,True,Newcastle Utd,Bournemouth,11,2017-2018,CB,None,None,None,2017,0.6,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle_Utd_2017,Newcastle Utd,Bournemouth,2017,11,Newcastle Utd,0.7,1.5,Bournemouth,0.0,1.0,2017-11-04,Paul Tierney,St. James' Park,Sat,15:00,"52,237",114,Bournemouth,Newcastle Utd,Newcastle Utd,Bournemouth,Bournemouth_Newcastle_Utd,Bournemouth_Newcastle Utd_2017,38.333333333333336,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,43.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.666666666666668,38.333333333333336,137.66666666666666,1.6666666666666667,18.333333333333336,0.0,0.0,0.0,650.0,148.33333333333334,8.333333333333334,8.333333333333334,166.66666666666669,20.0,21.666666666666668,153.83333333333334,3.3333333333333335,8.333333333333334,66.66666666666667,0.16666666666666669,0.0,0.0,1.6666666666666667,0.0,38.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,1.6666666666666667,20.0,20.0,3.3333333333333335,1.6666666666666667,43.333333333333336,0.0,0.0,0.0,46.66666666666667,25.0,0.0,0.0,0.0,1.6666666666666667,28.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,166.66666666666669,1.0,1.1666666666666667,2.5,0.0,1.6666666666666667,190.0
