player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Neal Maupay,FRA,26,83.0,0,0,0,0,0,0,0,0,26.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,73.3,0.0,8.0,0.0,2.0,0.0,158.0,8.0,7.0,9.0,77.8,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,17.0,8.0,2.0,26.0,0.0,2.0,100.0,20.0,9.0,0.0,0.0,5.0,0.0,17.0,1.0,0,0,1,1,0.0,0.0,0,1.0,1.0,3.0,25.0,True,2022-2023,FW,None,None,None,0.9222222222222223,Everton_Manchester_Utd,Everton_Manchester_Utd_2022,0.6,1.4,1.0,2.0,2022-10-09,David Coote,Goodison Park,Sun,19:00,"39,258",93,Manchester Utd,Everton,28.19277108433735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.19277108433735,1.0843373493975903,1.0843373493975903,0.0,0.0,0.0,0.0,0.0,0.0,11.927710843373493,16.265060240963855,79.48192771084337,0.0,8.674698795180722,0.0,2.1686746987951806,0.0,171.32530120481925,8.674698795180722,7.590361445783132,9.759036144578312,84.36144578313252,4.337349397590361,4.337349397590361,108.43373493975903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.012048192771083,3.2530120481927707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1686746987951806,0.0,0.0,1.0843373493975903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1686746987951806,0.0,0.0,0.0,1.0843373493975903,18.433734939759034,8.674698795180722,2.1686746987951806,28.19277108433735,0.0,2.1686746987951806,108.43373493975903,21.686746987951807,9.759036144578312,0.0,0.0,5.421686746987952,0.0,18.433734939759034,1.0843373493975903,0.0,0.0,1.0843373493975903,1.0843373493975903,0.0,0.0,0.0,1.0843373493975903,1.0843373493975903,3.2530120481927707,27.10843373493976,1.0,0.6506024096385542,1.5180722891566263,1.0843373493975903,2.1686746987951806,100.8433734939759
Salomon Rondon,VEN,33,7.0,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,True,2022-2023,FW,None,None,None,0.07777777777777778,Everton_Manchester_Utd,Everton_Manchester_Utd_2022,0.6,1.4,1.0,2.0,2022-10-09,David Coote,Goodison Park,Sun,19:00,"39,258",93,Manchester Utd,Everton,424.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,12.857142857142858,1285.7142857142858,0.0,12.857142857142858,0.0,0.0,0.0,77.14285714285714,0.0,12.857142857142858,12.857142857142858,1285.7142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,12.857142857142858,12.857142857142858,25.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.714285714285715,12.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,1.0,7.7142857142857135,18.0,12.857142857142858,25.714285714285715,1195.7142857142858
Demarai Gray,JAM,26,90.0,0,0,0,0,1,0,0,0,40.0,1.0,0,2.0,0.0,0.0,0.2,3.0,0.0,18.0,29.0,62.1,0.0,22.0,2.0,6.0,2.0,335.0,85.0,6.0,6.0,100.0,11.0,17.0,64.7,1.0,4.0,25.0,0.2,2.0,1.0,2.0,2.0,23.0,6.0,3.0,0.0,0.0,11,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,14.0,25.0,3.0,40.0,33.3,3.0,50.0,157.0,55.0,3.0,0.0,1.0,2.0,25.0,3.0,0,0,3,0,0.0,0.0,0,3.0,0.0,1.0,0.0,True,2022-2023,LW,LM,RW,None,1.0,Everton_Manchester_Utd,Everton_Manchester_Utd_2022,0.6,1.4,1.0,2.0,2022-10-09,David Coote,Goodison Park,Sun,19:00,"39,258",93,Manchester Utd,Everton,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,1.0,0.0,2.0,0.0,0.0,0.2,3.0,0.0,18.0,29.0,62.1,0.0,22.0,2.0,6.0,2.0,335.0,85.0,6.0,6.0,100.0,11.0,17.0,64.7,1.0,4.0,25.0,0.2,2.0,1.0,2.0,2.0,23.0,6.0,3.0,0.0,0.0,11.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,14.0,25.0,3.0,40.0,33.3,3.0,50.0,157.0,55.0,3.0,0.0,1.0,2.0,25.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.6,1.4,1.0,2.0,93.0
Anthony Gordon,ENG,21,66.0,0,0,0,0,0,0,1,0,20.0,2.0,1,2.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,0.0,10.0,1.0,3.0,2.0,109.0,30.0,4.0,4.0,100.0,4.0,4.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,10.0,6.0,1.0,20.0,66.7,1.0,33.3,118.0,26.0,1.0,0.0,2.0,0.0,12.0,2.0,0,1,0,0,0.0,0.0,0,1.0,1.0,3.0,25.0,True,2022-2023,RW,None,None,None,0.7333333333333333,Everton_Manchester_Utd,Everton_Manchester_Utd_2022,0.6,1.4,1.0,2.0,2022-10-09,David Coote,Goodison Park,Sun,19:00,"39,258",93,Manchester Utd,Everton,28.636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.0,27.272727272727273,2.7272727272727275,1.3636363636363638,2.7272727272727275,0.0,0.0,0.0,0.0,0.0,10.90909090909091,15.000000000000002,99.13636363636364,0.0,13.636363636363637,1.3636363636363638,4.090909090909091,2.7272727272727275,148.63636363636365,40.909090909090914,5.454545454545455,5.454545454545455,136.36363636363637,5.454545454545455,5.454545454545455,136.36363636363637,0.0,1.3636363636363638,0.0,0.0,0.0,0.0,0.0,0.0,15.000000000000002,0.0,0.0,0.0,0.0,1.3636363636363638,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,1.3636363636363638,1.3636363636363638,1.3636363636363638,0.0,0.0,1.3636363636363638,0.0,1.3636363636363638,0.0,2.7272727272727275,4.090909090909091,0.0,0.0,0.0,5.454545454545455,13.636363636363637,8.181818181818182,1.3636363636363638,27.272727272727273,90.95454545454547,1.3636363636363638,45.40909090909091,160.9090909090909,35.45454545454546,1.3636363636363638,0.0,2.7272727272727275,0.0,16.363636363636363,2.7272727272727275,0.0,1.3636363636363638,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,1.3636363636363638,4.090909090909091,34.09090909090909,1.0,0.8181818181818182,1.9090909090909092,1.3636363636363638,2.7272727272727275,126.81818181818183
Dwight McNeil,ENG,22,24.0,0,0,0,0,0,0,0,0,19.0,0.0,1,1.0,0.0,0.0,0.1,4.0,0.0,11.0,17.0,64.7,0.0,7.0,0.0,0.0,0.0,185.0,40.0,7.0,8.0,87.5,2.0,3.0,66.7,2.0,6.0,33.3,0.1,1.0,1.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,5,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,10.0,1.0,19.0,0.0,0.0,0.0,33.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2022-2023,RM,LW,None,None,0.26666666666666666,Everton_Manchester_Utd,Everton_Manchester_Utd_2022,0.6,1.4,1.0,2.0,2022-10-09,David Coote,Goodison Park,Sun,19:00,"39,258",93,Manchester Utd,Everton,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.25,0.0,3.75,3.75,0.0,0.0,0.375,15.0,0.0,41.25,63.75,242.625,0.0,26.25,0.0,0.0,0.0,693.75,150.0,26.25,30.0,328.125,7.5,11.25,250.125,7.5,22.5,124.87499999999999,0.375,3.75,3.75,0.0,0.0,48.75,15.0,0.0,0.0,0.0,18.75,3.75,11.25,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,3.75,0.0,3.75,3.75,0.0,0.0,0.0,0.0,33.75,37.5,3.75,71.25,0.0,0.0,0.0,123.75,7.5,0.0,0.0,0.0,0.0,37.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.25,5.25,3.75,7.5,348.75
Amadou Onana,BEL,21,90.0,0,0,0,0,3,0,1,0,47.0,1.0,2,1.0,0.2,0.2,0.0,0.0,0.0,25.0,34.0,73.5,2.0,27.0,1.0,3.0,1.0,388.0,68.0,14.0,16.0,87.5,9.0,11.0,81.8,2.0,6.0,33.3,0.0,0.0,5.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,30.0,12.0,2.0,47.0,33.3,2.0,66.7,152.0,91.0,1.0,0.0,3.0,0.0,35.0,1.0,0,3,3,0,0.0,0.0,0,8.0,3.0,3.0,50.0,True,2022-2023,LM,CM,None,None,1.0,Everton_Manchester_Utd,Everton_Manchester_Utd_2022,0.6,1.4,1.0,2.0,2022-10-09,David Coote,Goodison Park,Sun,19:00,"39,258",93,Manchester Utd,Everton,21.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,47.0,1.0,2.0,1.0,0.2,0.2,0.0,0.0,0.0,25.0,34.0,73.5,2.0,27.0,1.0,3.0,1.0,388.0,68.0,14.0,16.0,87.5,9.0,11.0,81.8,2.0,6.0,33.3,0.0,0.0,5.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,30.0,12.0,2.0,47.0,33.3,2.0,66.7,152.0,91.0,1.0,0.0,3.0,0.0,35.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,50.0,1.0,0.6,1.4,1.0,2.0,93.0
Idrissa Gana Gueye,SEN,33,75.0,0,0,0,0,0,0,0,0,35.0,0.0,2,3.0,0.0,0.0,0.0,0.0,0.0,23.0,28.0,82.1,2.0,15.0,2.0,0.0,0.0,285.0,97.0,17.0,18.0,94.4,6.0,7.0,85.7,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,27.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,2.0,16.0,13.0,6.0,0.0,35.0,0.0,0.0,0.0,106.0,66.0,1.0,0.0,1.0,1.0,14.0,0.0,0,0,1,0,0.0,0.0,0,11.0,0.0,2.0,0.0,True,2022-2023,CM,None,None,None,0.8333333333333334,Everton_Manchester_Utd,Everton_Manchester_Utd_2022,0.6,1.4,1.0,2.0,2022-10-09,David Coote,Goodison Park,Sun,19:00,"39,258",93,Manchester Utd,Everton,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,2.4,3.5999999999999996,0.0,0.0,0.0,0.0,0.0,27.599999999999998,33.6,98.51999999999998,2.4,18.0,2.4,0.0,0.0,342.0,116.39999999999999,20.4,21.599999999999998,113.28,7.199999999999999,8.4,102.84,0.0,2.4,0.0,0.0,0.0,2.4,0.0,0.0,32.4,1.2,1.2,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,2.4,0.0,2.4,0.0,3.5999999999999996,2.4,0.0,1.2,2.4,19.2,15.6,7.199999999999999,0.0,42.0,0.0,0.0,0.0,127.19999999999999,79.2,1.2,0.0,1.2,1.2,16.8,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,13.2,0.0,2.4,0.0,1.0,0.72,1.6799999999999997,1.2,2.4,111.6
Dominic Calvert-Lewin,ENG,25,15.0,0,0,0,0,1,0,0,0,4.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,2.0,2.0,100.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,True,2022-2023,FW,None,None,None,0.16666666666666666,Everton_Manchester_Utd,Everton_Manchester_Utd_2022,0.6,1.4,1.0,2.0,2022-10-09,David Coote,Goodison Park,Sun,19:00,"39,258",93,Manchester Utd,Everton,150.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0,0.0,0.0,12.0,12.0,600.0,0.0,18.0,0.0,0.0,0.0,102.0,0.0,12.0,12.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,24.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,6.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,600.0,1.0,3.6,8.4,6.0,12.0,558.0
Alex Iwobi,NGA,26,90.0,1,0,0,0,2,1,0,0,61.0,1.0,2,0.0,0.1,0.1,0.1,2.0,0.0,34.0,52.0,65.4,3.0,36.0,1.0,4.0,1.0,461.0,119.0,23.0,27.0,85.2,11.0,20.0,55.0,0.0,3.0,0.0,0.2,2.0,1.0,2.0,0.0,50.0,2.0,0.0,0.0,0.0,6,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,11.0,27.0,26.0,2.0,61.0,25.0,3.0,75.0,192.0,72.0,1.0,0.0,2.0,0.0,35.0,7.0,0,0,0,0,0.0,0.0,0,13.0,0.0,0.0,0.0,True,2022-2023,RM,RB,None,None,1.0,Everton_Manchester_Utd,Everton_Manchester_Utd_2022,0.6,1.4,1.0,2.0,2022-10-09,David Coote,Goodison Park,Sun,19:00,"39,258",93,Manchester Utd,Everton,26.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,61.0,1.0,2.0,0.0,0.1,0.1,0.1,2.0,0.0,34.0,52.0,65.4,3.0,36.0,1.0,4.0,1.0,461.0,119.0,23.0,27.0,85.2,11.0,20.0,55.0,0.0,3.0,0.0,0.2,2.0,1.0,2.0,0.0,50.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,11.0,27.0,26.0,2.0,61.0,25.0,3.0,75.0,192.0,72.0,1.0,0.0,2.0,0.0,35.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.6,1.4,1.0,2.0,93.0
Vitaliy Mykolenko,UKR,23,90.0,0,0,0,0,0,0,0,0,51.0,1.0,1,3.0,0.0,0.0,0.0,3.0,0.0,38.0,46.0,82.6,7.0,28.0,3.0,1.0,0.0,643.0,296.0,20.0,22.0,90.9,12.0,14.0,85.7,6.0,10.0,60.0,0.1,1.0,3.0,3.0,0.0,40.0,6.0,2.0,0.0,0.0,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,18.0,23.0,13.0,1.0,51.0,0.0,1.0,100.0,174.0,113.0,2.0,0.0,0.0,0.0,27.0,1.0,0,0,0,0,0.0,0.0,0,9.0,2.0,0.0,100.0,True,2022-2023,LB,None,None,None,1.0,Everton_Manchester_Utd,Everton_Manchester_Utd_2022,0.6,1.4,1.0,2.0,2022-10-09,David Coote,Goodison Park,Sun,19:00,"39,258",93,Manchester Utd,Everton,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,38.0,46.0,82.6,7.0,28.0,3.0,1.0,0.0,643.0,296.0,20.0,22.0,90.9,12.0,14.0,85.7,6.0,10.0,60.0,0.1,1.0,3.0,3.0,0.0,40.0,6.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,18.0,23.0,13.0,1.0,51.0,0.0,1.0,100.0,174.0,113.0,2.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,100.0,1.0,0.6,1.4,1.0,2.0,93.0
James Tarkowski,ENG,29,90.0,0,0,0,0,1,0,0,0,66.0,0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,41.0,53.0,77.4,3.0,32.0,0.0,1.0,1.0,956.0,294.0,5.0,9.0,55.6,27.0,30.0,90.0,8.0,12.0,66.7,0.0,0.0,2.0,1.0,0.0,53.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,11.0,39.0,23.0,4.0,2.0,66.0,100.0,0.0,0.0,202.0,134.0,0.0,0.0,0.0,0.0,41.0,1.0,0,1,1,0,0.0,0.0,0,6.0,4.0,0.0,100.0,True,2022-2023,CB,None,None,None,1.0,Everton_Manchester_Utd,Everton_Manchester_Utd_2022,0.6,1.4,1.0,2.0,2022-10-09,David Coote,Goodison Park,Sun,19:00,"39,258",93,Manchester Utd,Everton,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,41.0,53.0,77.4,3.0,32.0,0.0,1.0,1.0,956.0,294.0,5.0,9.0,55.6,27.0,30.0,90.0,8.0,12.0,66.7,0.0,0.0,2.0,1.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,11.0,39.0,23.0,4.0,2.0,66.0,100.0,0.0,0.0,202.0,134.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,100.0,1.0,0.6,1.4,1.0,2.0,93.0
Conor Coady,ENG,29,90.0,0,0,0,0,0,0,0,0,57.0,0.0,2,0.0,0.0,0.0,0.0,2.0,0.0,42.0,53.0,79.2,1.0,41.0,0.0,0.0,0.0,764.0,323.0,15.0,16.0,93.8,25.0,28.0,89.3,2.0,8.0,25.0,0.0,1.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,13.0,37.0,18.0,2.0,2.0,57.0,0.0,0.0,0.0,312.0,190.0,0.0,0.0,0.0,0.0,43.0,0.0,0,0,1,0,0.0,0.0,0,6.0,0.0,1.0,0.0,True,2022-2023,CB,None,None,None,1.0,Everton_Manchester_Utd,Everton_Manchester_Utd_2022,0.6,1.4,1.0,2.0,2022-10-09,David Coote,Goodison Park,Sun,19:00,"39,258",93,Manchester Utd,Everton,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,42.0,53.0,79.2,1.0,41.0,0.0,0.0,0.0,764.0,323.0,15.0,16.0,93.8,25.0,28.0,89.3,2.0,8.0,25.0,0.0,1.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,13.0,37.0,18.0,2.0,2.0,57.0,0.0,0.0,0.0,312.0,190.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.6,1.4,1.0,2.0,93.0
