player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Jordan Ayew,GHA,27,85.0,1,0,0,0,3,1,0,0,28.0,2.0,0,0.0,0.2,0.2,0.1,3.0,0.0,17.0,19.0,89.5,4.0,17.0,2.0,3.0,1.0,229.0,42.0,11.0,12.0,91.7,5.0,5.0,100.0,0.0,1.0,0.0,0.1,1.0,0.0,3.0,0.0,19.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,20.0,6.0,28.0,33.3,2.0,66.7,134.0,68.0,1.0,0.0,2.0,1.0,20.0,10.0,0,1,0,0,0.0,0.0,0,3.0,0.0,1.0,0.0,True,Crystal Palace,Aston Villa,4,2019-2020,FW,None,None,None,2019,0.9444444444444444,Aston_Villa_Crystal_Palace,Aston_Villa_Crystal_Palace_2019,Crystal Palace,Aston Villa,2019,4,Crystal Palace,1.4,0.4,Aston Villa,1.0,0.0,2019-08-31,Kevin Friend,Selhurst Park,Sat,15:00,"25,248",35,Crystal Palace,Aston Villa,Crystal Palace,Aston Villa,Aston_Villa_Crystal_Palace,Aston Villa_Crystal Palace_2019,28.58823529411765,1.0588235294117647,0.0,0.0,0.0,3.1764705882352944,1.0588235294117647,0.0,0.0,29.647058823529413,2.1176470588235294,0.0,0.0,0.21176470588235297,0.21176470588235297,0.10588235294117648,3.1764705882352944,0.0,18.0,20.11764705882353,94.76470588235294,4.235294117647059,18.0,2.1176470588235294,3.1764705882352944,1.0588235294117647,242.47058823529412,44.470588235294116,11.647058823529411,12.705882352941178,97.09411764705882,5.294117647058823,5.294117647058823,105.88235294117648,0.0,1.0588235294117647,0.0,0.10588235294117648,1.0588235294117647,0.0,3.1764705882352944,0.0,20.11764705882353,0.0,0.0,0.0,1.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1176470588235294,0.0,2.1176470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1176470588235294,0.0,0.0,0.0,0.0,10.588235294117647,21.176470588235293,6.352941176470589,29.647058823529413,35.258823529411764,2.1176470588235294,70.62352941176471,141.88235294117646,72.0,1.0588235294117647,0.0,2.1176470588235294,1.0588235294117647,21.176470588235293,10.588235294117647,0.0,1.0588235294117647,0.0,0.0,0.0,0.0,0.0,3.1764705882352944,0.0,1.0588235294117647,0.0,1.0,1.4823529411764704,0.42352941176470593,1.0588235294117647,0.0,37.05882352941177
Christian Benteke,BEL,28,5.0,0,0,0,0,1,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,1.0,0.0,0.0,8.0,3.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,38.0,29.0,1.0,0.0,0.0,2.0,3.0,0.0,0,0,0,1,0.0,0.0,0,0.0,1.0,2.0,33.3,True,Crystal Palace,Aston Villa,4,2019-2020,FW,None,None,None,2019,0.05555555555555555,Aston_Villa_Crystal_Palace,Aston_Villa_Crystal_Palace_2019,Crystal Palace,Aston Villa,2019,4,Crystal Palace,1.4,0.4,Aston Villa,1.0,0.0,2019-08-31,Kevin Friend,Selhurst Park,Sat,15:00,"25,248",35,Crystal Palace,Aston Villa,Crystal Palace,Aston Villa,Aston_Villa_Crystal_Palace,Aston Villa_Crystal Palace_2019,504.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,1800.0,18.0,36.0,18.0,0.0,0.0,144.0,54.0,18.0,18.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,36.0,0.0,54.0,0.0,0.0,0.0,684.0,522.0,18.0,0.0,0.0,36.0,54.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,36.0,599.4,1.0,25.2,7.200000000000001,18.0,0.0,630.0
Jeffrey Schlupp,GHA,26,83.0,0,0,0,0,3,1,0,0,43.0,4.0,0,1.0,0.1,0.1,0.3,7.0,1.0,21.0,28.0,75.0,6.0,19.0,2.0,2.0,0.0,363.0,109.0,12.0,13.0,92.3,8.0,9.0,88.9,1.0,2.0,50.0,0.1,2.0,3.0,1.0,0.0,25.0,2.0,1.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1,3.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,4.0,2.0,0.0,1.0,9.0,17.0,17.0,4.0,43.0,0.0,2.0,100.0,109.0,50.0,2.0,1.0,2.0,1.0,31.0,7.0,0,1,6,0,0.0,0.0,0,3.0,0.0,2.0,0.0,True,Crystal Palace,Aston Villa,4,2019-2020,LW,None,None,None,2019,0.9222222222222223,Aston_Villa_Crystal_Palace,Aston_Villa_Crystal_Palace_2019,Crystal Palace,Aston Villa,2019,4,Crystal Palace,1.4,0.4,Aston Villa,1.0,0.0,2019-08-31,Kevin Friend,Selhurst Park,Sat,15:00,"25,248",35,Crystal Palace,Aston Villa,Crystal Palace,Aston Villa,Aston_Villa_Crystal_Palace,Aston Villa_Crystal Palace_2019,28.19277108433735,0.0,0.0,0.0,0.0,3.2530120481927707,1.0843373493975903,0.0,0.0,46.626506024096386,4.337349397590361,0.0,1.0843373493975903,0.10843373493975904,0.10843373493975904,0.3253012048192771,7.590361445783132,1.0843373493975903,22.771084337349397,30.361445783132528,81.32530120481927,6.506024096385541,20.602409638554217,2.1686746987951806,2.1686746987951806,0.0,393.6144578313253,118.19277108433734,13.012048192771083,14.096385542168674,100.08433734939759,8.674698795180722,9.759036144578312,96.39759036144578,1.0843373493975903,2.1686746987951806,54.21686746987952,0.10843373493975904,2.1686746987951806,3.2530120481927707,1.0843373493975903,0.0,27.10843373493976,2.1686746987951806,1.0843373493975903,0.0,1.0843373493975903,2.1686746987951806,1.0843373493975903,0.0,0.0,0.0,0.0,1.0843373493975903,3.2530120481927707,1.0843373493975903,3.2530120481927707,1.0843373493975903,0.0,0.0,2.1686746987951806,0.0,2.1686746987951806,1.0843373493975903,0.0,4.337349397590361,2.1686746987951806,0.0,1.0843373493975903,9.759036144578312,18.433734939759034,18.433734939759034,4.337349397590361,46.626506024096386,0.0,2.1686746987951806,108.43373493975903,118.19277108433734,54.21686746987952,2.1686746987951806,1.0843373493975903,2.1686746987951806,1.0843373493975903,33.614457831325296,7.590361445783132,0.0,1.0843373493975903,6.506024096385541,0.0,0.0,0.0,0.0,3.2530120481927707,0.0,2.1686746987951806,0.0,1.0,1.5180722891566263,0.43373493975903615,1.0843373493975903,0.0,37.95180722891566
Andros Townsend,ENG,28,7.0,0,0,0,0,0,0,0,0,10.0,3.0,1,1.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,60.0,0.0,3.0,1.0,0.0,0.0,42.0,7.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,10.0,0.0,0.0,0.0,54.0,45.0,1.0,0.0,0.0,0.0,4.0,0.0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,Crystal Palace,Aston Villa,4,2019-2020,LW,None,None,None,2019,0.07777777777777778,Aston_Villa_Crystal_Palace,Aston_Villa_Crystal_Palace_2019,Crystal Palace,Aston Villa,2019,4,Crystal Palace,1.4,0.4,Aston Villa,1.0,0.0,2019-08-31,Kevin Friend,Selhurst Park,Sat,15:00,"25,248",35,Crystal Palace,Aston Villa,Crystal Palace,Aston Villa,Aston_Villa_Crystal_Palace,Aston Villa_Crystal Palace_2019,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.57142857142856,38.57142857142857,12.857142857142858,12.857142857142858,0.0,0.0,0.0,12.857142857142858,0.0,38.57142857142857,64.28571428571428,771.4285714285714,0.0,38.57142857142857,12.857142857142858,0.0,0.0,540.0,90.0,25.714285714285715,25.714285714285715,1285.7142857142858,12.857142857142858,12.857142857142858,1285.7142857142858,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,51.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,12.857142857142858,12.857142857142858,25.714285714285715,0.0,0.0,25.714285714285715,0.0,25.714285714285715,0.0,12.857142857142858,51.42857142857143,0.0,0.0,0.0,38.57142857142857,64.28571428571428,38.57142857142857,0.0,128.57142857142856,0.0,0.0,0.0,694.2857142857142,578.5714285714286,12.857142857142858,0.0,0.0,0.0,51.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.714285714285715,0.0,0.0,0.0,1.0,18.0,5.142857142857143,12.857142857142858,0.0,450.0
Wilfried Zaha,CIV,26,90.0,0,0,0,0,2,0,0,0,53.0,2.0,1,0.0,0.1,0.1,0.1,6.0,0.0,33.0,40.0,82.5,7.0,28.0,7.0,6.0,3.0,490.0,164.0,11.0,13.0,84.6,19.0,22.0,86.4,0.0,1.0,0.0,0.1,1.0,2.0,4.0,0.0,38.0,2.0,0.0,0.0,0.0,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,20.0,30.0,9.0,53.0,50.0,3.0,50.0,277.0,182.0,4.0,5.0,2.0,3.0,39.0,11.0,0,4,3,0,0.0,0.0,0,7.0,0.0,0.0,0.0,True,Crystal Palace,Aston Villa,4,2019-2020,RW,None,None,None,2019,1.0,Aston_Villa_Crystal_Palace,Aston_Villa_Crystal_Palace_2019,Crystal Palace,Aston Villa,2019,4,Crystal Palace,1.4,0.4,Aston Villa,1.0,0.0,2019-08-31,Kevin Friend,Selhurst Park,Sat,15:00,"25,248",35,Crystal Palace,Aston Villa,Crystal Palace,Aston Villa,Aston_Villa_Crystal_Palace,Aston Villa_Crystal Palace_2019,26.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,53.0,2.0,1.0,0.0,0.1,0.1,0.1,6.0,0.0,33.0,40.0,82.5,7.0,28.0,7.0,6.0,3.0,490.0,164.0,11.0,13.0,84.6,19.0,22.0,86.4,0.0,1.0,0.0,0.1,1.0,2.0,4.0,0.0,38.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,20.0,30.0,9.0,53.0,50.0,3.0,50.0,277.0,182.0,4.0,5.0,2.0,3.0,39.0,11.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.4,0.4,1.0,0.0,35.0
Cheikhou Kouyate,SEN,29,90.0,0,0,0,0,6,1,1,0,41.0,1.0,1,0.0,0.4,0.4,0.0,4.0,0.0,20.0,30.0,66.7,2.0,15.0,2.0,0.0,0.0,314.0,66.0,11.0,15.0,73.3,6.0,9.0,66.7,2.0,4.0,50.0,0.0,1.0,3.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,16.0,18.0,9.0,41.0,0.0,0.0,0.0,77.0,55.0,0.0,0.0,1.0,0.0,25.0,8.0,0,3,1,0,0.0,0.0,0,2.0,4.0,0.0,100.0,True,Crystal Palace,Aston Villa,4,2019-2020,LM,None,None,None,2019,1.0,Aston_Villa_Crystal_Palace,Aston_Villa_Crystal_Palace_2019,Crystal Palace,Aston Villa,2019,4,Crystal Palace,1.4,0.4,Aston Villa,1.0,0.0,2019-08-31,Kevin Friend,Selhurst Park,Sat,15:00,"25,248",35,Crystal Palace,Aston Villa,Crystal Palace,Aston Villa,Aston_Villa_Crystal_Palace,Aston Villa_Crystal Palace_2019,29.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,41.0,1.0,1.0,0.0,0.4,0.4,0.0,4.0,0.0,20.0,30.0,66.7,2.0,15.0,2.0,0.0,0.0,314.0,66.0,11.0,15.0,73.3,6.0,9.0,66.7,2.0,4.0,50.0,0.0,1.0,3.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,16.0,18.0,9.0,41.0,0.0,0.0,0.0,77.0,55.0,0.0,0.0,1.0,0.0,25.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,100.0,1.0,1.4,0.4,1.0,0.0,35.0
Luka Milivojevic,SRB,28,90.0,0,0,0,0,2,2,1,0,87.0,0.0,0,0.0,0.1,0.1,0.4,10.0,1.0,66.0,85.0,77.6,9.0,41.0,0.0,0.0,0.0,1424.0,613.0,22.0,22.0,100.0,30.0,35.0,85.7,13.0,26.0,50.0,0.4,6.0,11.0,2.0,0.0,62.0,23.0,10.0,0.0,2.0,19,0.0,13.0,6.0,5.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,13.0,41.0,34.0,1.0,87.0,0.0,0.0,0.0,223.0,128.0,1.0,0.0,0.0,1.0,55.0,1.0,0,3,0,1,0.0,0.0,0,4.0,0.0,1.0,0.0,True,Crystal Palace,Aston Villa,4,2019-2020,CM,None,None,None,2019,1.0,Aston_Villa_Crystal_Palace,Aston_Villa_Crystal_Palace_2019,Crystal Palace,Aston Villa,2019,4,Crystal Palace,1.4,0.4,Aston Villa,1.0,0.0,2019-08-31,Kevin Friend,Selhurst Park,Sat,15:00,"25,248",35,Crystal Palace,Aston Villa,Crystal Palace,Aston Villa,Aston_Villa_Crystal_Palace,Aston Villa_Crystal Palace_2019,28.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,87.0,0.0,0.0,0.0,0.1,0.1,0.4,10.0,1.0,66.0,85.0,77.6,9.0,41.0,0.0,0.0,0.0,1424.0,613.0,22.0,22.0,100.0,30.0,35.0,85.7,13.0,26.0,50.0,0.4,6.0,11.0,2.0,0.0,62.0,23.0,10.0,0.0,2.0,19.0,0.0,13.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,13.0,41.0,34.0,1.0,87.0,0.0,0.0,0.0,223.0,128.0,1.0,0.0,0.0,1.0,55.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1.4,0.4,1.0,0.0,35.0
James McArthur,SCO,31,90.0,0,0,0,0,2,0,0,0,46.0,4.0,1,1.0,0.4,0.4,0.1,2.0,0.0,24.0,32.0,75.0,5.0,24.0,1.0,1.0,1.0,380.0,158.0,11.0,13.0,84.6,8.0,11.0,72.7,3.0,6.0,50.0,0.1,2.0,2.0,0.0,0.0,31.0,1.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,9.0,20.0,17.0,8.0,46.0,100.0,0.0,0.0,137.0,43.0,1.0,0.0,4.0,1.0,33.0,9.0,0,1,2,0,0.0,0.0,0,3.0,1.0,1.0,50.0,True,Crystal Palace,Aston Villa,4,2019-2020,RM,None,None,None,2019,1.0,Aston_Villa_Crystal_Palace,Aston_Villa_Crystal_Palace_2019,Crystal Palace,Aston Villa,2019,4,Crystal Palace,1.4,0.4,Aston Villa,1.0,0.0,2019-08-31,Kevin Friend,Selhurst Park,Sat,15:00,"25,248",35,Crystal Palace,Aston Villa,Crystal Palace,Aston Villa,Aston_Villa_Crystal_Palace,Aston Villa_Crystal Palace_2019,31.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,46.0,4.0,1.0,1.0,0.4,0.4,0.1,2.0,0.0,24.0,32.0,75.0,5.0,24.0,1.0,1.0,1.0,380.0,158.0,11.0,13.0,84.6,8.0,11.0,72.7,3.0,6.0,50.0,0.1,2.0,2.0,0.0,0.0,31.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,9.0,20.0,17.0,8.0,46.0,100.0,0.0,0.0,137.0,43.0,1.0,0.0,4.0,1.0,33.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0,1.0,1.4,0.4,1.0,0.0,35.0
Patrick van Aanholt,NED,29,90.0,0,0,0,0,2,0,0,0,69.0,2.0,0,1.0,0.1,0.1,0.0,4.0,0.0,43.0,57.0,75.4,6.0,32.0,2.0,2.0,0.0,702.0,225.0,25.0,29.0,86.2,16.0,23.0,69.6,2.0,2.0,100.0,0.1,1.0,2.0,4.0,1.0,51.0,6.0,0.0,0.0,0.0,3,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,2.0,3.0,0.0,3.0,18.0,24.0,27.0,3.0,69.0,0.0,2.0,100.0,201.0,89.0,0.0,0.0,1.0,1.0,42.0,8.0,0,0,0,0,0.0,0.0,0,5.0,1.0,0.0,100.0,True,Crystal Palace,Aston Villa,4,2019-2020,LB,None,None,None,2019,1.0,Aston_Villa_Crystal_Palace,Aston_Villa_Crystal_Palace_2019,Crystal Palace,Aston Villa,2019,4,Crystal Palace,1.4,0.4,Aston Villa,1.0,0.0,2019-08-31,Kevin Friend,Selhurst Park,Sat,15:00,"25,248",35,Crystal Palace,Aston Villa,Crystal Palace,Aston Villa,Aston_Villa_Crystal_Palace,Aston Villa_Crystal Palace_2019,29.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,69.0,2.0,0.0,1.0,0.1,0.1,0.0,4.0,0.0,43.0,57.0,75.4,6.0,32.0,2.0,2.0,0.0,702.0,225.0,25.0,29.0,86.2,16.0,23.0,69.6,2.0,2.0,100.0,0.1,1.0,2.0,4.0,1.0,51.0,6.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,2.0,3.0,0.0,3.0,18.0,24.0,27.0,3.0,69.0,0.0,2.0,100.0,201.0,89.0,0.0,0.0,1.0,1.0,42.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0,1.0,1.4,0.4,1.0,0.0,35.0
Gary Cahill,ENG,33,90.0,0,0,0,0,1,0,0,0,71.0,0.0,0,3.0,0.1,0.1,0.0,1.0,0.0,48.0,54.0,88.9,5.0,42.0,1.0,0.0,0.0,918.0,387.0,20.0,21.0,95.2,23.0,25.0,92.0,5.0,8.0,62.5,0.0,0.0,4.0,1.0,0.0,53.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,8.0,0.0,8.0,41.0,24.0,6.0,4.0,71.0,0.0,0.0,0.0,235.0,159.0,0.0,0.0,3.0,0.0,50.0,1.0,0,1,0,0,0.0,0.0,0,3.0,3.0,3.0,50.0,True,Crystal Palace,Aston Villa,4,2019-2020,CB,None,None,None,2019,1.0,Aston_Villa_Crystal_Palace,Aston_Villa_Crystal_Palace_2019,Crystal Palace,Aston Villa,2019,4,Crystal Palace,1.4,0.4,Aston Villa,1.0,0.0,2019-08-31,Kevin Friend,Selhurst Park,Sat,15:00,"25,248",35,Crystal Palace,Aston Villa,Crystal Palace,Aston Villa,Aston_Villa_Crystal_Palace,Aston Villa_Crystal Palace_2019,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,0.0,0.0,3.0,0.1,0.1,0.0,1.0,0.0,48.0,54.0,88.9,5.0,42.0,1.0,0.0,0.0,918.0,387.0,20.0,21.0,95.2,23.0,25.0,92.0,5.0,8.0,62.5,0.0,0.0,4.0,1.0,0.0,53.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,8.0,0.0,8.0,41.0,24.0,6.0,4.0,71.0,0.0,0.0,0.0,235.0,159.0,0.0,0.0,3.0,0.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,50.0,1.0,1.4,0.4,1.0,0.0,35.0
Martin Kelly,ENG,29,78.0,0,0,0,0,0,0,0,0,32.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,100.0,1.0,14.0,0.0,0.0,0.0,490.0,185.0,5.0,5.0,100.0,17.0,17.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,16.0,16.0,0.0,0.0,32.0,0.0,0.0,0.0,61.0,44.0,0.0,0.0,1.0,0.0,21.0,0.0,0,1,0,0,0.0,0.0,0,3.0,1.0,1.0,50.0,True,Crystal Palace,Aston Villa,4,2019-2020,CB,None,None,None,2019,0.8666666666666667,Aston_Villa_Crystal_Palace,Aston_Villa_Crystal_Palace_2019,Crystal Palace,Aston Villa,2019,4,Crystal Palace,1.4,0.4,Aston Villa,1.0,0.0,2019-08-31,Kevin Friend,Selhurst Park,Sat,15:00,"25,248",35,Crystal Palace,Aston Villa,Crystal Palace,Aston Villa,Aston_Villa_Crystal_Palace,Aston Villa_Crystal Palace_2019,33.46153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.92307692307692,0.0,2.3076923076923075,0.0,0.0,0.0,0.0,0.0,0.0,27.69230769230769,27.69230769230769,115.38461538461539,1.1538461538461537,16.153846153846153,0.0,0.0,0.0,565.3846153846154,213.46153846153845,5.769230769230769,5.769230769230769,115.38461538461539,19.615384615384613,19.615384615384613,115.38461538461539,1.1538461538461537,1.1538461538461537,115.38461538461539,0.0,0.0,0.0,0.0,0.0,27.69230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3076923076923075,4.615384615384615,0.0,4.615384615384615,18.46153846153846,18.46153846153846,0.0,0.0,36.92307692307692,0.0,0.0,0.0,70.38461538461539,50.76923076923077,0.0,0.0,1.1538461538461537,0.0,24.23076923076923,0.0,0.0,1.1538461538461537,0.0,0.0,0.0,0.0,0.0,3.4615384615384612,1.1538461538461537,1.1538461538461537,57.69230769230769,1.0,1.6153846153846152,0.46153846153846156,1.1538461538461537,0.0,40.38461538461538
