player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Odsonne Edouard,FRA,23,84.0,0,0,0,0,2,0,0,0,34.0,0.0,0,1.0,0.2,0.2,0.1,4.0,0.0,15.0,19.0,78.9,1.0,20.0,2.0,2.0,2.0,152.0,38.0,13.0,16.0,81.3,1.0,2.0,50.0,0.0,0.0,0.0,0.1,2.0,2.0,1.0,0.0,17.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,23.0,6.0,34.0,100.0,0.0,0.0,68.0,33.0,0.0,2.0,5.0,3.0,23.0,10.0,0,1,0,0,0.0,0.0,0,3.0,1.0,2.0,33.3,True,2021-2022,FW,None,None,None,0.9333333333333333,Crystal_Palace_Leicester_City,Crystal_Palace_Leicester_City_2021,1.5,1.2,2.0,2.0,2021-10-03,Anthony Taylor,Selhurst Park,Sun,14:00,"25,000",73,draw,draw,24.642857142857142,0.0,0.0,0.0,0.0,2.142857142857143,0.0,0.0,0.0,36.42857142857143,0.0,0.0,1.0714285714285714,0.2142857142857143,0.2142857142857143,0.10714285714285715,4.285714285714286,0.0,16.07142857142857,20.357142857142858,84.53571428571429,1.0714285714285714,21.428571428571427,2.142857142857143,2.142857142857143,2.142857142857143,162.85714285714286,40.714285714285715,13.928571428571429,17.142857142857142,87.10714285714285,1.0714285714285714,2.142857142857143,53.57142857142857,0.0,0.0,0.0,0.10714285714285715,2.142857142857143,2.142857142857143,1.0714285714285714,0.0,18.214285714285715,2.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143,0.0,2.142857142857143,0.0,1.0714285714285714,0.0,0.0,0.0,0.0,1.0714285714285714,10.714285714285714,24.642857142857142,6.428571428571429,36.42857142857143,107.14285714285714,0.0,0.0,72.85714285714286,35.357142857142854,0.0,2.142857142857143,5.357142857142857,3.2142857142857144,24.642857142857142,10.714285714285714,0.0,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,1.0714285714285714,2.142857142857143,35.67857142857142,1.0,1.6071428571428572,1.2857142857142856,2.142857142857143,2.142857142857143,78.21428571428571
Christian Benteke,BEL,30,6.0,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,50.0,1.0,50.0,37.0,27.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0.0,0.0,0,1.0,0.0,2.0,0.0,True,2021-2022,FW,None,None,None,0.06666666666666667,Crystal_Palace_Leicester_City,Crystal_Palace_Leicester_City_2021,1.5,1.2,2.0,2.0,2021-10-03,Anthony Taylor,Selhurst Park,Sun,14:00,"25,000",73,draw,draw,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,1500.0,0.0,30.0,15.0,30.0,15.0,75.0,30.0,15.0,15.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,30.0,750.0,15.0,750.0,555.0,405.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.0,0.0,1.0,22.5,18.0,30.0,30.0,1095.0
Wilfried Zaha,CIV,28,90.0,0,0,0,0,3,1,0,0,57.0,1.0,0,2.0,0.3,0.3,0.2,7.0,0.0,34.0,40.0,85.0,7.0,41.0,5.0,7.0,5.0,503.0,167.0,20.0,22.0,90.9,9.0,12.0,75.0,3.0,3.0,100.0,0.2,3.0,2.0,5.0,1.0,40.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,25.0,28.0,1.0,57.0,71.4,2.0,28.6,269.0,116.0,4.0,0.0,4.0,9.0,43.0,8.0,0,2,2,0,0.0,0.0,0,8.0,0.0,1.0,0.0,True,2021-2022,LW,None,None,None,1.0,Crystal_Palace_Leicester_City,Crystal_Palace_Leicester_City_2021,1.5,1.2,2.0,2.0,2021-10-03,Anthony Taylor,Selhurst Park,Sun,14:00,"25,000",73,draw,draw,28.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,57.0,1.0,0.0,2.0,0.3,0.3,0.2,7.0,0.0,34.0,40.0,85.0,7.0,41.0,5.0,7.0,5.0,503.0,167.0,20.0,22.0,90.9,9.0,12.0,75.0,3.0,3.0,100.0,0.2,3.0,2.0,5.0,1.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,25.0,28.0,1.0,57.0,71.4,2.0,28.6,269.0,116.0,4.0,0.0,4.0,9.0,43.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,1.5,1.2,2.0,2.0,73.0
Jordan Ayew,GHA,30,52.0,0,0,0,0,1,0,0,0,28.0,1.0,0,2.0,0.0,0.0,0.0,1.0,0.0,15.0,21.0,71.4,0.0,17.0,3.0,0.0,0.0,221.0,2.0,8.0,9.0,88.9,4.0,6.0,66.7,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,10.0,16.0,7.0,28.0,0.0,0.0,0.0,116.0,38.0,0.0,3.0,1.0,5.0,19.0,6.0,0,1,1,1,0.0,0.0,0,3.0,0.0,1.0,0.0,True,2021-2022,RW,None,None,None,0.5777777777777777,Crystal_Palace_Leicester_City,Crystal_Palace_Leicester_City_2021,1.5,1.2,2.0,2.0,2021-10-03,Anthony Taylor,Selhurst Park,Sun,14:00,"25,000",73,draw,draw,51.92307692307693,0.0,0.0,0.0,0.0,1.7307692307692308,0.0,0.0,0.0,48.46153846153847,1.7307692307692308,0.0,3.4615384615384617,0.0,0.0,0.0,1.7307692307692308,0.0,25.961538461538463,36.34615384615385,123.5769230769231,0.0,29.423076923076927,5.1923076923076925,0.0,0.0,382.50000000000006,3.4615384615384617,13.846153846153847,15.576923076923078,153.86538461538464,6.923076923076923,10.384615384615385,115.44230769230771,3.4615384615384617,5.1923076923076925,115.44230769230771,0.0,1.7307692307692308,0.0,0.0,0.0,36.34615384615385,0.0,0.0,0.0,1.7307692307692308,5.1923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7307692307692308,0.0,1.7307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,3.4615384615384617,1.7307692307692308,0.0,0.0,0.0,3.4615384615384617,17.30769230769231,27.692307692307693,12.115384615384617,48.46153846153847,0.0,0.0,0.0,200.7692307692308,65.76923076923077,0.0,5.1923076923076925,1.7307692307692308,8.653846153846155,32.88461538461539,10.384615384615385,0.0,1.7307692307692308,1.7307692307692308,1.7307692307692308,0.0,0.0,0.0,5.1923076923076925,0.0,1.7307692307692308,0.0,1.0,2.5961538461538463,2.076923076923077,3.4615384615384617,3.4615384615384617,126.34615384615385
Michael Olise,FRA,19,38.0,1,0,0,0,3,1,0,0,27.0,0.0,0,0.0,0.4,0.4,0.2,4.0,1.0,16.0,22.0,72.7,3.0,16.0,2.0,0.0,0.0,247.0,122.0,8.0,8.0,100.0,4.0,9.0,44.4,2.0,3.0,66.7,0.1,2.0,2.0,2.0,0.0,19.0,3.0,1.0,0.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,13.0,5.0,27.0,0.0,0.0,0.0,102.0,52.0,0.0,0.0,0.0,1.0,18.0,3.0,0,0,1,0,0.0,0.0,0,1.0,2.0,0.0,100.0,True,2021-2022,RW,None,None,None,0.4222222222222222,Crystal_Palace_Leicester_City,Crystal_Palace_Leicester_City_2021,1.5,1.2,2.0,2.0,2021-10-03,Anthony Taylor,Selhurst Park,Sun,14:00,"25,000",73,draw,draw,45.0,2.3684210526315788,0.0,0.0,0.0,7.105263157894737,2.3684210526315788,0.0,0.0,63.94736842105263,0.0,0.0,0.0,0.9473684210526316,0.9473684210526316,0.4736842105263158,9.473684210526315,2.3684210526315788,37.89473684210526,52.10526315789474,172.1842105263158,7.105263157894737,37.89473684210526,4.7368421052631575,0.0,0.0,585.0,288.94736842105266,18.94736842105263,18.94736842105263,236.8421052631579,9.473684210526315,21.31578947368421,105.1578947368421,4.7368421052631575,7.105263157894737,157.97368421052633,0.2368421052631579,4.7368421052631575,4.7368421052631575,4.7368421052631575,0.0,45.0,7.105263157894737,2.3684210526315788,0.0,2.3684210526315788,9.473684210526315,2.3684210526315788,2.3684210526315788,2.3684210526315788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.105263157894737,26.05263157894737,30.789473684210527,11.842105263157896,63.94736842105263,0.0,0.0,0.0,241.57894736842104,123.15789473684211,0.0,0.0,0.0,2.3684210526315788,42.63157894736842,7.105263157894737,0.0,0.0,2.3684210526315788,0.0,0.0,0.0,0.0,2.3684210526315788,4.7368421052631575,0.0,236.8421052631579,1.0,3.5526315789473686,2.8421052631578947,4.7368421052631575,4.7368421052631575,172.89473684210526
James McArthur,SCO,33,90.0,0,0,0,0,0,0,1,0,76.0,5.0,0,1.0,0.0,0.0,0.1,4.0,0.0,48.0,67.0,71.6,7.0,47.0,3.0,1.0,1.0,722.0,172.0,23.0,26.0,88.5,21.0,25.0,84.0,2.0,8.0,25.0,0.1,1.0,7.0,3.0,1.0,61.0,6.0,2.0,0.0,0.0,2,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0.0,4.0,1.0,2.0,5.0,40.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,55.0,19.0,3.0,76.0,100.0,0.0,0.0,243.0,144.0,2.0,2.0,2.0,2.0,45.0,4.0,0,3,2,0,0.0,0.0,0,13.0,0.0,6.0,0.0,True,2021-2022,LM,None,None,None,1.0,Crystal_Palace_Leicester_City,Crystal_Palace_Leicester_City_2021,1.5,1.2,2.0,2.0,2021-10-03,Anthony Taylor,Selhurst Park,Sun,14:00,"25,000",73,draw,draw,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0,5.0,0.0,1.0,0.0,0.0,0.1,4.0,0.0,48.0,67.0,71.6,7.0,47.0,3.0,1.0,1.0,722.0,172.0,23.0,26.0,88.5,21.0,25.0,84.0,2.0,8.0,25.0,0.1,1.0,7.0,3.0,1.0,61.0,6.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,1.0,2.0,5.0,40.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,55.0,19.0,3.0,76.0,100.0,0.0,0.0,243.0,144.0,2.0,2.0,2.0,2.0,45.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,6.0,0.0,1.0,1.5,1.2,2.0,2.0,73.0
Luka Milivojevic,SRB,30,90.0,0,0,0,0,0,0,0,0,65.0,0.0,1,2.0,0.0,0.0,0.1,4.0,0.0,50.0,61.0,82.0,10.0,41.0,2.0,1.0,1.0,773.0,304.0,26.0,30.0,86.7,23.0,28.0,82.1,0.0,2.0,0.0,0.1,2.0,8.0,2.0,0.0,57.0,4.0,4.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,46.0,9.0,0.0,65.0,100.0,0.0,0.0,208.0,135.0,2.0,0.0,0.0,0.0,45.0,1.0,0,2,2,0,0.0,0.0,0,9.0,0.0,0.0,0.0,True,2021-2022,CM,None,None,None,1.0,Crystal_Palace_Leicester_City,Crystal_Palace_Leicester_City_2021,1.5,1.2,2.0,2.0,2021-10-03,Anthony Taylor,Selhurst Park,Sun,14:00,"25,000",73,draw,draw,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,1.0,2.0,0.0,0.0,0.1,4.0,0.0,50.0,61.0,82.0,10.0,41.0,2.0,1.0,1.0,773.0,304.0,26.0,30.0,86.7,23.0,28.0,82.1,0.0,2.0,0.0,0.1,2.0,8.0,2.0,0.0,57.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,46.0,9.0,0.0,65.0,100.0,0.0,0.0,208.0,135.0,2.0,0.0,0.0,0.0,45.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,1.5,1.2,2.0,2.0,73.0
Conor Gallagher,ENG,21,70.0,0,0,0,0,4,1,0,0,39.0,2.0,0,0.0,0.2,0.2,0.0,1.0,0.0,22.0,29.0,75.9,5.0,29.0,1.0,4.0,3.0,316.0,107.0,12.0,13.0,92.3,7.0,11.0,63.6,1.0,1.0,100.0,0.0,0.0,4.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,21.0,15.0,3.0,39.0,75.0,1.0,25.0,136.0,49.0,2.0,0.0,3.0,4.0,29.0,7.0,0,3,0,1,0.0,0.0,0,6.0,0.0,0.0,0.0,True,2021-2022,RM,None,None,None,0.7777777777777778,Crystal_Palace_Leicester_City,Crystal_Palace_Leicester_City_2021,1.5,1.2,2.0,2.0,2021-10-03,Anthony Taylor,Selhurst Park,Sun,14:00,"25,000",73,draw,draw,27.0,0.0,0.0,0.0,0.0,5.142857142857142,1.2857142857142856,0.0,0.0,50.14285714285714,2.571428571428571,0.0,0.0,0.2571428571428572,0.2571428571428572,0.0,1.2857142857142856,0.0,28.285714285714285,37.285714285714285,97.58571428571429,6.428571428571429,37.285714285714285,1.2857142857142856,5.142857142857142,3.857142857142857,406.2857142857143,137.57142857142856,15.428571428571429,16.714285714285715,118.67142857142856,9.0,14.142857142857142,81.77142857142857,1.2857142857142856,1.2857142857142856,128.57142857142856,0.0,0.0,5.142857142857142,0.0,0.0,37.285714285714285,0.0,0.0,0.0,1.2857142857142856,2.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142856,1.2857142857142856,1.2857142857142856,1.2857142857142856,0.0,0.0,2.571428571428571,0.0,2.571428571428571,0.0,0.0,2.571428571428571,0.0,0.0,0.0,3.857142857142857,27.0,19.285714285714285,3.857142857142857,50.14285714285714,96.42857142857143,1.2857142857142856,32.14285714285714,174.85714285714286,63.0,2.571428571428571,0.0,3.857142857142857,5.142857142857142,37.285714285714285,9.0,0.0,3.857142857142857,0.0,1.2857142857142856,0.0,0.0,0.0,7.714285714285714,0.0,0.0,0.0,1.0,1.9285714285714286,1.5428571428571427,2.571428571428571,2.571428571428571,93.85714285714286
Jeffrey Schlupp,GHA,28,20.0,1,0,0,0,4,1,0,0,12.0,0.0,0,0.0,0.4,0.4,0.0,1.0,1.0,3.0,6.0,50.0,0.0,7.0,0.0,1.0,0.0,25.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,6.0,12.0,0.0,1.0,100.0,29.0,3.0,0.0,0.0,1.0,0.0,10.0,3.0,0,0,0,0,0.0,0.0,0,1.0,2.0,0.0,100.0,True,2021-2022,RM,None,None,None,0.2222222222222222,Crystal_Palace_Leicester_City,Crystal_Palace_Leicester_City_2021,1.5,1.2,2.0,2.0,2021-10-03,Anthony Taylor,Selhurst Park,Sun,14:00,"25,000",73,draw,draw,126.0,4.5,0.0,0.0,0.0,18.0,4.5,0.0,0.0,54.0,0.0,0.0,0.0,1.8000000000000003,1.8000000000000003,0.0,4.5,4.5,13.5,27.0,225.0,0.0,31.5,0.0,4.5,0.0,112.5,0.0,9.0,13.5,300.15000000000003,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,45.0,27.0,54.0,0.0,4.5,450.0,130.5,13.5,0.0,0.0,4.5,0.0,45.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,9.0,0.0,450.0,1.0,6.75,5.4,9.0,9.0,328.5
Tyrick Mitchell,ENG,22,90.0,0,0,0,0,0,0,0,0,71.0,5.0,0,3.0,0.0,0.0,0.1,1.0,0.0,51.0,60.0,85.0,5.0,33.0,2.0,0.0,0.0,738.0,222.0,28.0,31.0,90.3,18.0,20.0,90.0,2.0,5.0,40.0,0.0,1.0,2.0,1.0,1.0,49.0,11.0,0.0,0.0,0.0,2,11.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,2.0,15.0,41.0,16.0,1.0,71.0,0.0,0.0,0.0,107.0,36.0,1.0,0.0,2.0,0.0,39.0,4.0,0,0,0,0,0.0,0.0,0,3.0,1.0,1.0,50.0,True,2021-2022,LB,None,None,None,1.0,Crystal_Palace_Leicester_City,Crystal_Palace_Leicester_City_2021,1.5,1.2,2.0,2.0,2021-10-03,Anthony Taylor,Selhurst Park,Sun,14:00,"25,000",73,draw,draw,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,5.0,0.0,3.0,0.0,0.0,0.1,1.0,0.0,51.0,60.0,85.0,5.0,33.0,2.0,0.0,0.0,738.0,222.0,28.0,31.0,90.3,18.0,20.0,90.0,2.0,5.0,40.0,0.0,1.0,2.0,1.0,1.0,49.0,11.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,2.0,15.0,41.0,16.0,1.0,71.0,0.0,0.0,0.0,107.0,36.0,1.0,0.0,2.0,0.0,39.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0,1.0,1.5,1.2,2.0,2.0,73.0
Marc Guehi,ENG,21,90.0,0,0,0,0,0,0,0,0,101.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,95.0,81.1,3.0,75.0,1.0,1.0,1.0,1361.0,413.0,27.0,34.0,79.4,47.0,52.0,90.4,3.0,8.0,37.5,0.0,0.0,1.0,0.0,0.0,94.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,57.0,44.0,0.0,0.0,101.0,100.0,0.0,0.0,396.0,244.0,0.0,0.0,1.0,0.0,80.0,0.0,0,1,0,0,0.0,0.0,0,6.0,4.0,1.0,80.0,True,2021-2022,CB,None,None,None,1.0,Crystal_Palace_Leicester_City,Crystal_Palace_Leicester_City_2021,1.5,1.2,2.0,2.0,2021-10-03,Anthony Taylor,Selhurst Park,Sun,14:00,"25,000",73,draw,draw,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,95.0,81.1,3.0,75.0,1.0,1.0,1.0,1361.0,413.0,27.0,34.0,79.4,47.0,52.0,90.4,3.0,8.0,37.5,0.0,0.0,1.0,0.0,0.0,94.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,57.0,44.0,0.0,0.0,101.0,100.0,0.0,0.0,396.0,244.0,0.0,0.0,1.0,0.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,80.0,1.0,1.5,1.2,2.0,2.0,73.0
Joachim Andersen,DEN,25,90.0,0,0,0,0,0,0,1,0,100.0,0.0,2,1.0,0.0,0.0,0.0,2.0,0.0,73.0,94.0,77.7,4.0,67.0,2.0,0.0,0.0,1680.0,468.0,16.0,21.0,76.2,47.0,52.0,90.4,10.0,21.0,47.6,0.0,1.0,4.0,0.0,0.0,89.0,5.0,3.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,22.0,55.0,45.0,0.0,0.0,100.0,0.0,0.0,0.0,323.0,149.0,0.0,0.0,0.0,1.0,69.0,0.0,0,1,1,0,0.0,0.0,0,7.0,3.0,1.0,75.0,True,2021-2022,CB,None,None,None,1.0,Crystal_Palace_Leicester_City,Crystal_Palace_Leicester_City_2021,1.5,1.2,2.0,2.0,2021-10-03,Anthony Taylor,Selhurst Park,Sun,14:00,"25,000",73,draw,draw,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,73.0,94.0,77.7,4.0,67.0,2.0,0.0,0.0,1680.0,468.0,16.0,21.0,76.2,47.0,52.0,90.4,10.0,21.0,47.6,0.0,1.0,4.0,0.0,0.0,89.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,22.0,55.0,45.0,0.0,0.0,100.0,0.0,0.0,0.0,323.0,149.0,0.0,0.0,0.0,1.0,69.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,75.0,1.0,1.5,1.2,2.0,2.0,73.0
