player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Anthony Martial,FRA,24,90.0,0,0,0,0,1,0,0,0,43.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,26.0,33.0,78.8,5.0,23.0,1.0,3.0,0.0,265.0,76.0,17.0,17.0,100.0,5.0,8.0,62.5,0.0,0.0,0.0,0.1,0.0,1.0,2.0,0.0,31.0,2.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,9.0,32.0,9.0,43.0,0.0,3.0,100.0,76.0,35.0,0.0,1.0,5.0,3.0,32.0,9.0,0,0,1,0,0.0,0.0,0,0.0,0.0,3.0,0.0,True,Manchester Utd,Crystal Palace,2,2020-2021,FW,None,None,None,2020,1.0,Crystal_Palace_Manchester_Utd,Crystal_Palace_Manchester_Utd_2020,Manchester Utd,Crystal Palace,2020,2,Manchester Utd,1.2,1.6,Crystal Palace,1.0,3.0,2020-09-19,Martin Atkinson,Old Trafford,Sat,17:30,0,11,Crystal Palace,Manchester Utd,Manchester Utd,Crystal Palace,Crystal_Palace_Manchester_Utd,Crystal Palace_Manchester Utd_2020,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,26.0,33.0,78.8,5.0,23.0,1.0,3.0,0.0,265.0,76.0,17.0,17.0,100.0,5.0,8.0,62.5,0.0,0.0,0.0,0.1,0.0,1.0,2.0,0.0,31.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,9.0,32.0,9.0,43.0,0.0,3.0,100.0,76.0,35.0,0.0,1.0,5.0,3.0,32.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.2,1.6,1.0,3.0,11.0
Marcus Rashford,ENG,22,90.0,0,0,0,0,1,0,0,0,61.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,45.0,53.0,84.9,3.0,32.0,2.0,4.0,2.0,608.0,78.0,26.0,30.0,86.7,14.0,15.0,93.3,2.0,2.0,100.0,0.1,2.0,0.0,1.0,0.0,53.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,15.0,42.0,1.0,61.0,50.0,2.0,50.0,194.0,101.0,3.0,0.0,1.0,1.0,49.0,12.0,0,1,2,0,0.0,0.0,0,4.0,0.0,2.0,0.0,True,Manchester Utd,Crystal Palace,2,2020-2021,LW,AM,None,None,2020,1.0,Crystal_Palace_Manchester_Utd,Crystal_Palace_Manchester_Utd_2020,Manchester Utd,Crystal Palace,2020,2,Manchester Utd,1.2,1.6,Crystal Palace,1.0,3.0,2020-09-19,Martin Atkinson,Old Trafford,Sat,17:30,0,11,Crystal Palace,Manchester Utd,Manchester Utd,Crystal Palace,Crystal_Palace_Manchester_Utd,Crystal Palace_Manchester Utd_2020,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,45.0,53.0,84.9,3.0,32.0,2.0,4.0,2.0,608.0,78.0,26.0,30.0,86.7,14.0,15.0,93.3,2.0,2.0,100.0,0.1,2.0,0.0,1.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,15.0,42.0,1.0,61.0,50.0,2.0,50.0,194.0,101.0,3.0,0.0,1.0,1.0,49.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,1.2,1.6,1.0,3.0,11.0
Daniel James,WAL,22,45.0,0,0,0,0,1,0,0,0,32.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,29.0,79.3,3.0,20.0,2.0,1.0,0.0,315.0,78.0,13.0,15.0,86.7,8.0,10.0,80.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,22.0,3.0,32.0,0.0,1.0,100.0,120.0,68.0,0.0,0.0,0.0,0.0,28.0,7.0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,Manchester Utd,Crystal Palace,2,2020-2021,RW,None,None,None,2020,0.5,Crystal_Palace_Manchester_Utd,Crystal_Palace_Manchester_Utd_2020,Manchester Utd,Crystal Palace,2020,2,Manchester Utd,1.2,1.6,Crystal Palace,1.0,3.0,2020-09-19,Martin Atkinson,Old Trafford,Sat,17:30,0,11,Crystal Palace,Manchester Utd,Manchester Utd,Crystal Palace,Crystal_Palace_Manchester_Utd,Crystal Palace_Manchester Utd_2020,44.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,46.0,58.0,158.6,6.0,40.0,4.0,2.0,0.0,630.0,156.0,26.0,30.0,173.4,16.0,20.0,160.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,56.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,14.0,44.0,6.0,64.0,0.0,2.0,200.0,240.0,136.0,0.0,0.0,0.0,0.0,56.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.4,3.2,2.0,6.0,22.0
Mason Greenwood,ENG,18,45.0,0,0,0,0,3,0,0,0,28.0,0.0,0,0.0,0.3,0.3,0.0,1.0,0.0,20.0,23.0,87.0,2.0,18.0,3.0,0.0,0.0,350.0,67.0,8.0,10.0,80.0,9.0,10.0,90.0,2.0,2.0,100.0,0.1,0.0,1.0,1.0,0.0,20.0,3.0,1.0,0.0,1.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,19.0,3.0,28.0,0.0,0.0,0.0,161.0,86.0,1.0,0.0,0.0,1.0,24.0,13.0,0,0,1,0,0.0,0.0,0,1.0,0.0,1.0,0.0,True,Manchester Utd,Crystal Palace,2,2020-2021,RW,AM,None,None,2020,0.5,Crystal_Palace_Manchester_Utd,Crystal_Palace_Manchester_Utd_2020,Manchester Utd,Crystal Palace,2020,2,Manchester Utd,1.2,1.6,Crystal Palace,1.0,3.0,2020-09-19,Martin Atkinson,Old Trafford,Sat,17:30,0,11,Crystal Palace,Manchester Utd,Manchester Utd,Crystal Palace,Crystal_Palace_Manchester_Utd,Crystal Palace_Manchester Utd_2020,36.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.6,0.6,0.0,2.0,0.0,40.0,46.0,174.0,4.0,36.0,6.0,0.0,0.0,700.0,134.0,16.0,20.0,160.0,18.0,20.0,180.0,4.0,4.0,200.0,0.2,0.0,2.0,2.0,0.0,40.0,6.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,38.0,6.0,56.0,0.0,0.0,0.0,322.0,172.0,2.0,0.0,0.0,2.0,48.0,26.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.4,3.2,2.0,6.0,22.0
Bruno Fernandes,POR,26,90.0,0,0,0,0,3,1,0,0,120.0,2.0,0,2.0,0.1,0.1,0.2,9.0,1.0,79.0,109.0,72.5,23.0,61.0,4.0,0.0,0.0,1544.0,500.0,31.0,33.0,93.9,34.0,42.0,81.0,13.0,23.0,56.5,0.2,5.0,12.0,7.0,1.0,97.0,12.0,2.0,0.0,2.0,12,3.0,6.0,1.0,4.0,0.0,0.0,7.0,1,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,5.0,55.0,60.0,1.0,120.0,0.0,0.0,0.0,333.0,176.0,4.0,0.0,2.0,2.0,91.0,5.0,0,1,1,0,0.0,0.0,0,8.0,0.0,0.0,0.0,True,Manchester Utd,Crystal Palace,2,2020-2021,AM,DM,None,None,2020,1.0,Crystal_Palace_Manchester_Utd,Crystal_Palace_Manchester_Utd_2020,Manchester Utd,Crystal Palace,2020,2,Manchester Utd,1.2,1.6,Crystal Palace,1.0,3.0,2020-09-19,Martin Atkinson,Old Trafford,Sat,17:30,0,11,Crystal Palace,Manchester Utd,Manchester Utd,Crystal Palace,Crystal_Palace_Manchester_Utd,Crystal Palace_Manchester Utd_2020,26.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,120.0,2.0,0.0,2.0,0.1,0.1,0.2,9.0,1.0,79.0,109.0,72.5,23.0,61.0,4.0,0.0,0.0,1544.0,500.0,31.0,33.0,93.9,34.0,42.0,81.0,13.0,23.0,56.5,0.2,5.0,12.0,7.0,1.0,97.0,12.0,2.0,0.0,2.0,12.0,3.0,6.0,1.0,4.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,5.0,55.0,60.0,1.0,120.0,0.0,0.0,0.0,333.0,176.0,4.0,0.0,2.0,2.0,91.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.2,1.6,1.0,3.0,11.0
Scott McTominay,SCO,23,90.0,0,0,0,0,2,0,0,0,79.0,5.0,1,3.0,0.1,0.1,0.2,3.0,0.0,63.0,69.0,91.3,11.0,46.0,3.0,1.0,1.0,1234.0,258.0,20.0,25.0,80.0,35.0,35.0,100.0,7.0,7.0,100.0,0.1,3.0,4.0,1.0,0.0,66.0,3.0,1.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.0,1.0,0.0,2.0,3.0,66.7,1.0,1.0,2.0,6.0,1.0,0.0,3.0,18.0,37.0,24.0,5.0,79.0,100.0,0.0,0.0,243.0,148.0,0.0,3.0,3.0,0.0,58.0,1.0,0,3,2,0,0.0,0.0,0,8.0,3.0,0.0,100.0,True,Manchester Utd,Crystal Palace,2,2020-2021,DM,RB,None,None,2020,1.0,Crystal_Palace_Manchester_Utd,Crystal_Palace_Manchester_Utd_2020,Manchester Utd,Crystal Palace,2020,2,Manchester Utd,1.2,1.6,Crystal Palace,1.0,3.0,2020-09-19,Martin Atkinson,Old Trafford,Sat,17:30,0,11,Crystal Palace,Manchester Utd,Manchester Utd,Crystal Palace,Crystal_Palace_Manchester_Utd,Crystal Palace_Manchester Utd_2020,23.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,79.0,5.0,1.0,3.0,0.1,0.1,0.2,3.0,0.0,63.0,69.0,91.3,11.0,46.0,3.0,1.0,1.0,1234.0,258.0,20.0,25.0,80.0,35.0,35.0,100.0,7.0,7.0,100.0,0.1,3.0,4.0,1.0,0.0,66.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,2.0,3.0,66.7,1.0,1.0,2.0,6.0,1.0,0.0,3.0,18.0,37.0,24.0,5.0,79.0,100.0,0.0,0.0,243.0,148.0,0.0,3.0,3.0,0.0,58.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,100.0,1.0,1.2,1.6,1.0,3.0,11.0
Paul Pogba,FRA,27,66.0,0,0,0,0,2,2,0,0,65.0,1.0,0,3.0,0.1,0.1,0.0,3.0,0.0,40.0,53.0,75.5,5.0,30.0,2.0,3.0,2.0,818.0,204.0,17.0,24.0,70.8,13.0,14.0,92.9,8.0,8.0,100.0,0.1,0.0,10.0,0.0,0.0,53.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,14.0,34.0,17.0,1.0,65.0,66.7,1.0,33.3,145.0,67.0,0.0,0.0,1.0,3.0,42.0,2.0,0,3,0,0,0.0,0.0,0,4.0,2.0,3.0,40.0,True,Manchester Utd,Crystal Palace,2,2020-2021,DM,None,None,None,2020,0.7333333333333333,Crystal_Palace_Manchester_Utd,Crystal_Palace_Manchester_Utd_2020,Manchester Utd,Crystal Palace,2020,2,Manchester Utd,1.2,1.6,Crystal Palace,1.0,3.0,2020-09-19,Martin Atkinson,Old Trafford,Sat,17:30,0,11,Crystal Palace,Manchester Utd,Manchester Utd,Crystal Palace,Crystal_Palace_Manchester_Utd,Crystal Palace_Manchester Utd_2020,36.81818181818182,0.0,0.0,0.0,0.0,2.7272727272727275,2.7272727272727275,0.0,0.0,88.63636363636364,1.3636363636363638,0.0,4.090909090909091,0.13636363636363638,0.13636363636363638,0.0,4.090909090909091,0.0,54.54545454545455,72.27272727272728,102.95454545454547,6.818181818181818,40.909090909090914,2.7272727272727275,4.090909090909091,2.7272727272727275,1115.4545454545455,278.1818181818182,23.181818181818183,32.72727272727273,96.54545454545455,17.72727272727273,19.090909090909093,126.6818181818182,10.90909090909091,10.90909090909091,136.36363636363637,0.13636363636363638,0.0,13.636363636363637,0.0,0.0,72.27272727272728,0.0,0.0,0.0,2.7272727272727275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.090909090909091,1.3636363636363638,1.3636363636363638,0.0,0.0,1.3636363636363638,2.7272727272727275,68.18181818181819,1.3636363636363638,1.3636363636363638,2.7272727272727275,1.3636363636363638,1.3636363636363638,0.0,4.090909090909091,19.090909090909093,46.36363636363637,23.181818181818183,1.3636363636363638,88.63636363636364,90.95454545454547,1.3636363636363638,45.40909090909091,197.72727272727275,91.36363636363637,0.0,0.0,1.3636363636363638,4.090909090909091,57.27272727272727,2.7272727272727275,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,5.454545454545455,2.7272727272727275,4.090909090909091,54.54545454545455,1.0,1.6363636363636365,2.181818181818182,1.3636363636363638,4.090909090909091,15.000000000000002
Donny van de Beek,NED,23,24.0,1,0,0,0,1,1,0,0,28.0,1.0,0,0.0,0.3,0.3,0.0,1.0,0.0,18.0,23.0,78.3,1.0,10.0,0.0,0.0,0.0,186.0,33.0,11.0,15.0,73.3,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,20.0,4.0,28.0,0.0,0.0,0.0,22.0,3.0,1.0,0.0,0.0,2.0,23.0,7.0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,True,Manchester Utd,Crystal Palace,2,2020-2021,DM,AM,None,None,2020,0.26666666666666666,Crystal_Palace_Manchester_Utd,Crystal_Palace_Manchester_Utd_2020,Manchester Utd,Crystal Palace,2020,2,Manchester Utd,1.2,1.6,Crystal Palace,1.0,3.0,2020-09-19,Martin Atkinson,Old Trafford,Sat,17:30,0,11,Crystal Palace,Manchester Utd,Manchester Utd,Crystal Palace,Crystal_Palace_Manchester_Utd,Crystal Palace_Manchester Utd_2020,86.25,3.75,0.0,0.0,0.0,3.75,3.75,0.0,0.0,105.0,3.75,0.0,0.0,1.125,1.125,0.0,3.75,0.0,67.5,86.25,293.625,3.75,37.5,0.0,0.0,0.0,697.5,123.75,41.25,56.25,274.875,15.0,18.75,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5,3.75,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,3.75,26.25,75.0,15.0,105.0,0.0,0.0,0.0,82.5,11.25,3.75,0.0,0.0,7.5,86.25,26.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,3.75,0.0,1.0,4.5,6.0,3.75,11.25,41.25
Luke Shaw,ENG,25,90.0,0,0,0,0,0,0,0,0,100.0,1.0,1,2.0,0.0,0.0,0.0,1.0,0.0,68.0,89.0,76.4,9.0,49.0,5.0,5.0,4.0,998.0,337.0,36.0,41.0,87.8,23.0,28.0,82.1,5.0,9.0,55.6,0.0,0.0,8.0,1.0,0.0,77.0,12.0,0.0,0.0,0.0,4,11.0,1.0,0.0,1.0,0.0,0.0,5.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,10.0,43.0,47.0,1.0,100.0,80.0,1.0,20.0,346.0,200.0,3.0,0.0,1.0,0.0,65.0,12.0,0,0,0,0,0.0,0.0,0,3.0,1.0,1.0,50.0,True,Manchester Utd,Crystal Palace,2,2020-2021,LB,None,None,None,2020,1.0,Crystal_Palace_Manchester_Utd,Crystal_Palace_Manchester_Utd_2020,Manchester Utd,Crystal Palace,2020,2,Manchester Utd,1.2,1.6,Crystal Palace,1.0,3.0,2020-09-19,Martin Atkinson,Old Trafford,Sat,17:30,0,11,Crystal Palace,Manchester Utd,Manchester Utd,Crystal Palace,Crystal_Palace_Manchester_Utd,Crystal Palace_Manchester Utd_2020,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,68.0,89.0,76.4,9.0,49.0,5.0,5.0,4.0,998.0,337.0,36.0,41.0,87.8,23.0,28.0,82.1,5.0,9.0,55.6,0.0,0.0,8.0,1.0,0.0,77.0,12.0,0.0,0.0,0.0,4.0,11.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,10.0,43.0,47.0,1.0,100.0,80.0,1.0,20.0,346.0,200.0,3.0,0.0,1.0,0.0,65.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0,1.0,1.2,1.6,1.0,3.0,11.0
Harry Maguire,ENG,27,90.0,0,0,0,0,1,0,1,0,102.0,1.0,4,0.0,0.0,0.0,0.0,1.0,0.0,84.0,93.0,90.3,10.0,61.0,0.0,0.0,0.0,1727.0,496.0,20.0,25.0,80.0,52.0,53.0,98.1,9.0,11.0,81.8,0.0,0.0,10.0,2.0,0.0,87.0,6.0,4.0,0.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,30.0,61.0,12.0,1.0,102.0,0.0,0.0,0.0,316.0,175.0,3.0,0.0,1.0,0.0,69.0,0.0,0,2,2,0,0.0,0.0,0,11.0,3.0,1.0,75.0,True,Manchester Utd,Crystal Palace,2,2020-2021,CB,None,None,None,2020,1.0,Crystal_Palace_Manchester_Utd,Crystal_Palace_Manchester_Utd_2020,Manchester Utd,Crystal Palace,2020,2,Manchester Utd,1.2,1.6,Crystal Palace,1.0,3.0,2020-09-19,Martin Atkinson,Old Trafford,Sat,17:30,0,11,Crystal Palace,Manchester Utd,Manchester Utd,Crystal Palace,Crystal_Palace_Manchester_Utd,Crystal Palace_Manchester Utd_2020,27.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,102.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,84.0,93.0,90.3,10.0,61.0,0.0,0.0,0.0,1727.0,496.0,20.0,25.0,80.0,52.0,53.0,98.1,9.0,11.0,81.8,0.0,0.0,10.0,2.0,0.0,87.0,6.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,30.0,61.0,12.0,1.0,102.0,0.0,0.0,0.0,316.0,175.0,3.0,0.0,1.0,0.0,69.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,75.0,1.0,1.2,1.6,1.0,3.0,11.0
Victor Lindelof,SWE,26,90.0,0,0,0,0,1,0,0,0,99.0,0.0,0,2.0,0.1,0.1,0.0,1.0,1.0,82.0,85.0,96.5,5.0,60.0,3.0,0.0,0.0,1555.0,599.0,26.0,27.0,96.3,48.0,49.0,98.0,7.0,8.0,87.5,0.0,0.0,8.0,0.0,0.0,84.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,9.0,37.0,58.0,4.0,1.0,99.0,0.0,0.0,0.0,361.0,185.0,1.0,0.0,1.0,0.0,70.0,0.0,0,2,1,0,0.0,1.0,0,5.0,1.0,1.0,50.0,True,Manchester Utd,Crystal Palace,2,2020-2021,CB,None,None,None,2020,1.0,Crystal_Palace_Manchester_Utd,Crystal_Palace_Manchester_Utd_2020,Manchester Utd,Crystal Palace,2020,2,Manchester Utd,1.2,1.6,Crystal Palace,1.0,3.0,2020-09-19,Martin Atkinson,Old Trafford,Sat,17:30,0,11,Crystal Palace,Manchester Utd,Manchester Utd,Crystal Palace,Crystal_Palace_Manchester_Utd,Crystal Palace_Manchester Utd_2020,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,99.0,0.0,0.0,2.0,0.1,0.1,0.0,1.0,1.0,82.0,85.0,96.5,5.0,60.0,3.0,0.0,0.0,1555.0,599.0,26.0,27.0,96.3,48.0,49.0,98.0,7.0,8.0,87.5,0.0,0.0,8.0,0.0,0.0,84.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,9.0,37.0,58.0,4.0,1.0,99.0,0.0,0.0,0.0,361.0,185.0,1.0,0.0,1.0,0.0,70.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,50.0,1.0,1.2,1.6,1.0,3.0,11.0
