player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Mame Biram Diouf,SEN,30,61.0,0,0,0,0,1,0,0,0,17.0,1.0,0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,10.0,60.0,1.0,12.0,2.0,0.0,0.0,82.0,19.0,4.0,6.0,66.7,2.0,2.0,100.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,9.0,2.0,17.0,0.0,0.0,0.0,66.0,48.0,2.0,0.0,3.0,0.0,11.0,5.0,0,2,1,0,0.0,0.0,0,2.0,2.0,6.0,25.0,True,Stoke City,West Ham,18,2017-2018,FW,None,None,None,2017,0.6777777777777778,Stoke_City_West_Ham,Stoke_City_West_Ham_2017,Stoke City,West Ham,2017,18,Stoke City,1.1,3.1,West Ham,0.0,3.0,2017-12-16,Graham Scott,Bill Stokeld Stadium,Sat,16:00,"29,265",192,West Ham,Stoke City,Stoke City,West Ham,Stoke_City_West_Ham,Stoke City_West Ham_2017,44.26229508196721,0.0,0.0,0.0,0.0,1.4754098360655736,0.0,0.0,0.0,25.08196721311475,1.4754098360655736,0.0,0.0,0.0,0.0,0.0,4.426229508196721,0.0,8.852459016393443,14.754098360655737,88.52459016393442,1.4754098360655736,17.704918032786885,2.9508196721311473,0.0,0.0,120.98360655737704,28.0327868852459,5.9016393442622945,8.852459016393443,98.40983606557377,2.9508196721311473,2.9508196721311473,147.54098360655738,0.0,1.4754098360655736,0.0,0.0,1.4754098360655736,1.4754098360655736,0.0,0.0,14.754098360655737,0.0,0.0,0.0,0.0,1.4754098360655736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4754098360655736,0.0,0.0,1.4754098360655736,0.0,1.4754098360655736,0.0,0.0,1.4754098360655736,0.0,0.0,0.0,1.4754098360655736,10.327868852459016,13.278688524590164,2.9508196721311473,25.08196721311475,0.0,0.0,0.0,97.37704918032786,70.81967213114754,2.9508196721311473,0.0,4.426229508196721,0.0,16.229508196721312,7.377049180327869,0.0,2.9508196721311473,1.4754098360655736,0.0,0.0,0.0,0.0,2.9508196721311473,2.9508196721311473,8.852459016393443,36.885245901639344,1.0,1.6229508196721312,4.573770491803279,0.0,4.426229508196721,283.27868852459017
Saido Berahino,BDI,24,29.0,0,0,0,0,1,0,0,0,15.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,12.0,83.3,3.0,10.0,0.0,0.0,0.0,177.0,19.0,4.0,4.0,100.0,5.0,5.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,1.0,15.0,0.0,0.0,0.0,52.0,30.0,1.0,0.0,2.0,0.0,9.0,2.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,Stoke City,West Ham,18,2017-2018,FW,None,None,None,2017,0.32222222222222224,Stoke_City_West_Ham,Stoke_City_West_Ham_2017,Stoke City,West Ham,2017,18,Stoke City,1.1,3.1,West Ham,0.0,3.0,2017-12-16,Graham Scott,Bill Stokeld Stadium,Sat,16:00,"29,265",192,West Ham,Stoke City,Stoke City,West Ham,Stoke_City_West_Ham,Stoke City_West Ham_2017,74.48275862068965,0.0,0.0,0.0,0.0,3.103448275862069,0.0,0.0,0.0,46.55172413793103,0.0,0.0,0.0,0.0,0.0,0.0,3.103448275862069,0.0,31.034482758620687,37.241379310344826,258.5172413793103,9.310344827586206,31.034482758620687,0.0,0.0,0.0,549.3103448275862,58.96551724137931,12.413793103448276,12.413793103448276,310.34482758620686,15.517241379310343,15.517241379310343,310.34482758620686,3.103448275862069,3.103448275862069,310.34482758620686,0.0,0.0,0.0,0.0,0.0,31.034482758620687,6.206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.413793103448276,34.137931034482754,3.103448275862069,46.55172413793103,0.0,0.0,0.0,161.3793103448276,93.10344827586206,3.103448275862069,0.0,6.206896551724138,0.0,27.93103448275862,6.206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.103448275862069,0.0,0.0,0.0,1.0,3.413793103448276,9.620689655172413,0.0,9.310344827586206,595.8620689655172
Peter Crouch,ENG,36,90.0,0,0,0,0,0,0,0,0,37.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,34.0,61.8,1.0,19.0,1.0,0.0,0.0,197.0,45.0,20.0,28.0,71.4,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,7.0,37.0,0.0,0.0,0.0,65.0,45.0,2.0,0.0,2.0,0.0,30.0,10.0,0,0,1,0,0.0,0.0,0,1.0,9.0,6.0,60.0,True,Stoke City,West Ham,18,2017-2018,FW,None,None,None,2017,1.0,Stoke_City_West_Ham,Stoke_City_West_Ham_2017,Stoke City,West Ham,2017,18,Stoke City,1.1,3.1,West Ham,0.0,3.0,2017-12-16,Graham Scott,Bill Stokeld Stadium,Sat,16:00,"29,265",192,West Ham,Stoke City,Stoke City,West Ham,Stoke_City_West_Ham,Stoke City_West Ham_2017,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,34.0,61.8,1.0,19.0,1.0,0.0,0.0,197.0,45.0,20.0,28.0,71.4,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,7.0,37.0,0.0,0.0,0.0,65.0,45.0,2.0,0.0,2.0,0.0,30.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,6.0,60.0,1.0,1.1,3.1,0.0,3.0,192.0
Ramadan Sobhi,EGY,20,90.0,0,0,0,0,2,0,0,0,52.0,4.0,0,2.0,0.1,0.1,0.1,7.0,0.0,32.0,38.0,84.2,3.0,39.0,9.0,6.0,4.0,416.0,112.0,23.0,23.0,100.0,6.0,7.0,85.7,1.0,3.0,33.3,0.1,3.0,2.0,3.0,1.0,38.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,1.0,3.0,0.0,3.0,3.0,100.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,8.0,17.0,29.0,3.0,52.0,66.7,2.0,33.3,352.0,218.0,4.0,2.0,1.0,1.0,35.0,12.0,0,2,2,0,0.0,0.0,0,7.0,0.0,3.0,0.0,True,Stoke City,West Ham,18,2017-2018,LM,RM,None,None,2017,1.0,Stoke_City_West_Ham,Stoke_City_West_Ham_2017,Stoke City,West Ham,2017,18,Stoke City,1.1,3.1,West Ham,0.0,3.0,2017-12-16,Graham Scott,Bill Stokeld Stadium,Sat,16:00,"29,265",192,West Ham,Stoke City,Stoke City,West Ham,Stoke_City_West_Ham,Stoke City_West Ham_2017,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,52.0,4.0,0.0,2.0,0.1,0.1,0.1,7.0,0.0,32.0,38.0,84.2,3.0,39.0,9.0,6.0,4.0,416.0,112.0,23.0,23.0,100.0,6.0,7.0,85.7,1.0,3.0,33.3,0.1,3.0,2.0,3.0,1.0,38.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,3.0,3.0,100.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,8.0,17.0,29.0,3.0,52.0,66.7,2.0,33.3,352.0,218.0,4.0,2.0,1.0,1.0,35.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,1.0,1.1,3.1,0.0,3.0,192.0
Joe Allen,WAL,27,90.0,0,0,0,0,2,0,0,0,71.0,4.0,5,0.0,0.0,0.0,0.1,4.0,0.0,56.0,62.0,90.3,8.0,48.0,1.0,1.0,1.0,994.0,362.0,19.0,21.0,90.5,29.0,29.0,100.0,4.0,6.0,66.7,0.0,2.0,3.0,0.0,0.0,61.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,2.0,1.0,2.0,7.0,28.6,5.0,0.0,0.0,9.0,0.0,0.0,1.0,9.0,41.0,23.0,0.0,71.0,100.0,0.0,0.0,215.0,67.0,0.0,0.0,2.0,1.0,50.0,3.0,0,0,1,0,0.0,0.0,0,7.0,0.0,1.0,0.0,True,Stoke City,West Ham,18,2017-2018,CM,None,None,None,2017,1.0,Stoke_City_West_Ham,Stoke_City_West_Ham_2017,Stoke City,West Ham,2017,18,Stoke City,1.1,3.1,West Ham,0.0,3.0,2017-12-16,Graham Scott,Bill Stokeld Stadium,Sat,16:00,"29,265",192,West Ham,Stoke City,Stoke City,West Ham,Stoke_City_West_Ham,Stoke City_West Ham_2017,27.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,71.0,4.0,5.0,0.0,0.0,0.0,0.1,4.0,0.0,56.0,62.0,90.3,8.0,48.0,1.0,1.0,1.0,994.0,362.0,19.0,21.0,90.5,29.0,29.0,100.0,4.0,6.0,66.7,0.0,2.0,3.0,0.0,0.0,61.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,2.0,7.0,28.6,5.0,0.0,0.0,9.0,0.0,0.0,1.0,9.0,41.0,23.0,0.0,71.0,100.0,0.0,0.0,215.0,67.0,0.0,0.0,2.0,1.0,50.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,1.1,3.1,0.0,3.0,192.0
Darren Fletcher,SCO,33,61.0,0,0,0,0,0,0,0,0,50.0,2.0,0,1.0,0.0,0.0,0.1,4.0,0.0,36.0,43.0,83.7,5.0,34.0,1.0,0.0,0.0,811.0,265.0,11.0,12.0,91.7,17.0,20.0,85.0,8.0,11.0,72.7,0.1,2.0,1.0,1.0,1.0,42.0,1.0,0.0,0.0,2.0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,3.0,7.0,36.0,7.0,0.0,50.0,0.0,0.0,0.0,165.0,56.0,0.0,0.0,1.0,0.0,34.0,4.0,0,0,0,0,0.0,0.0,0,5.0,0.0,1.0,0.0,True,Stoke City,West Ham,18,2017-2018,CM,None,None,None,2017,0.6777777777777778,Stoke_City_West_Ham,Stoke_City_West_Ham_2017,Stoke City,West Ham,2017,18,Stoke City,1.1,3.1,West Ham,0.0,3.0,2017-12-16,Graham Scott,Bill Stokeld Stadium,Sat,16:00,"29,265",192,West Ham,Stoke City,Stoke City,West Ham,Stoke_City_West_Ham,Stoke City_West Ham_2017,48.68852459016393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.77049180327869,2.9508196721311473,0.0,1.4754098360655736,0.0,0.0,0.14754098360655737,5.9016393442622945,0.0,53.114754098360656,63.44262295081967,123.49180327868852,7.377049180327869,50.1639344262295,1.4754098360655736,0.0,0.0,1196.5573770491803,390.983606557377,16.229508196721312,17.704918032786885,135.29508196721312,25.08196721311475,29.508196721311474,125.40983606557377,11.803278688524589,16.229508196721312,107.26229508196721,0.14754098360655737,2.9508196721311473,1.4754098360655736,1.4754098360655736,1.4754098360655736,61.967213114754095,1.4754098360655736,0.0,0.0,2.9508196721311473,2.9508196721311473,0.0,1.4754098360655736,1.4754098360655736,0.0,0.0,0.0,0.0,1.4754098360655736,0.0,2.9508196721311473,0.0,0.0,0.0,0.0,0.0,0.0,1.4754098360655736,2.9508196721311473,4.426229508196721,0.0,4.426229508196721,10.327868852459016,53.114754098360656,10.327868852459016,0.0,73.77049180327869,0.0,0.0,0.0,243.44262295081967,82.62295081967213,0.0,0.0,1.4754098360655736,0.0,50.1639344262295,5.9016393442622945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.377049180327869,0.0,1.4754098360655736,0.0,1.0,1.6229508196721312,4.573770491803279,0.0,4.426229508196721,283.27868852459017
Charlie Adam,SCO,32,29.0,0,0,0,0,1,0,0,0,38.0,0.0,1,0.0,0.1,0.1,0.4,2.0,0.0,26.0,36.0,72.2,6.0,29.0,0.0,0.0,0.0,636.0,265.0,6.0,8.0,75.0,10.0,11.0,90.9,10.0,15.0,66.7,0.3,2.0,4.0,2.0,1.0,33.0,3.0,1.0,0.0,0.0,5,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,23.0,13.0,1.0,38.0,0.0,0.0,0.0,128.0,61.0,3.0,0.0,0.0,0.0,27.0,0.0,0,0,0,0,0.0,0.0,0,4.0,0.0,0.0,0.0,True,Stoke City,West Ham,18,2017-2018,CM,None,None,None,2017,0.32222222222222224,Stoke_City_West_Ham,Stoke_City_West_Ham_2017,Stoke City,West Ham,2017,18,Stoke City,1.1,3.1,West Ham,0.0,3.0,2017-12-16,Graham Scott,Bill Stokeld Stadium,Sat,16:00,"29,265",192,West Ham,Stoke City,Stoke City,West Ham,Stoke_City_West_Ham,Stoke City_West Ham_2017,99.3103448275862,0.0,0.0,0.0,0.0,3.103448275862069,0.0,0.0,0.0,117.93103448275862,0.0,3.103448275862069,0.0,0.3103448275862069,0.3103448275862069,1.2413793103448276,6.206896551724138,0.0,80.6896551724138,111.72413793103448,224.06896551724137,18.620689655172413,90.0,0.0,0.0,0.0,1973.7931034482758,822.4137931034483,18.620689655172413,24.82758620689655,232.75862068965515,31.034482758620687,34.137931034482754,282.1034482758621,31.034482758620687,46.55172413793103,207.0,0.9310344827586206,6.206896551724138,12.413793103448276,6.206896551724138,3.103448275862069,102.41379310344827,9.310344827586206,3.103448275862069,0.0,0.0,15.517241379310343,3.103448275862069,3.103448275862069,0.0,3.103448275862069,0.0,0.0,6.206896551724138,0.0,0.0,0.0,0.0,0.0,3.103448275862069,0.0,3.103448275862069,0.0,0.0,3.103448275862069,0.0,0.0,0.0,12.413793103448276,71.37931034482759,40.3448275862069,3.103448275862069,117.93103448275862,0.0,0.0,0.0,397.2413793103448,189.3103448275862,9.310344827586206,0.0,0.0,0.0,83.79310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.413793103448276,0.0,0.0,0.0,1.0,3.413793103448276,9.620689655172413,0.0,9.310344827586206,595.8620689655172
Xherdan Shaqiri,SUI,26,90.0,0,0,0,0,6,0,0,0,71.0,2.0,0,0.0,0.2,0.2,0.3,7.0,0.0,39.0,61.0,63.9,4.0,57.0,4.0,1.0,1.0,724.0,243.0,15.0,18.0,83.3,18.0,23.0,78.3,5.0,16.0,31.3,0.5,4.0,3.0,2.0,2.0,48.0,13.0,6.0,0.0,1.0,12,0.0,5.0,0.0,5.0,0.0,0.0,2.0,2,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,32.0,38.0,4.0,71.0,100.0,0.0,0.0,311.0,193.0,7.0,1.0,3.0,2.0,55.0,9.0,0,0,4,0,0.0,0.0,0,4.0,0.0,0.0,0.0,True,Stoke City,West Ham,18,2017-2018,RM,LM,None,None,2017,1.0,Stoke_City_West_Ham,Stoke_City_West_Ham_2017,Stoke City,West Ham,2017,18,Stoke City,1.1,3.1,West Ham,0.0,3.0,2017-12-16,Graham Scott,Bill Stokeld Stadium,Sat,16:00,"29,265",192,West Ham,Stoke City,Stoke City,West Ham,Stoke_City_West_Ham,Stoke City_West Ham_2017,26.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,71.0,2.0,0.0,0.0,0.2,0.2,0.3,7.0,0.0,39.0,61.0,63.9,4.0,57.0,4.0,1.0,1.0,724.0,243.0,15.0,18.0,83.3,18.0,23.0,78.3,5.0,16.0,31.3,0.5,4.0,3.0,2.0,2.0,48.0,13.0,6.0,0.0,1.0,12.0,0.0,5.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,32.0,38.0,4.0,71.0,100.0,0.0,0.0,311.0,193.0,7.0,1.0,3.0,2.0,55.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.1,3.1,0.0,3.0,192.0
Erik Pieters,NED,29,62.0,0,0,0,0,0,0,0,0,49.0,4.0,2,1.0,0.0,0.0,0.0,1.0,0.0,25.0,38.0,65.8,8.0,21.0,1.0,1.0,0.0,466.0,264.0,11.0,14.0,78.6,11.0,14.0,78.6,3.0,6.0,50.0,0.0,0.0,8.0,2.0,0.0,31.0,7.0,0.0,0.0,0.0,1,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3,0.0,4.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,10.0,35.0,4.0,0.0,49.0,0.0,1.0,100.0,110.0,71.0,0.0,0.0,0.0,0.0,16.0,1.0,0,1,1,0,0.0,1.0,0,7.0,1.0,0.0,100.0,True,Stoke City,West Ham,18,2017-2018,LB,None,None,None,2017,0.6888888888888889,Stoke_City_West_Ham,Stoke_City_West_Ham_2017,Stoke City,West Ham,2017,18,Stoke City,1.1,3.1,West Ham,0.0,3.0,2017-12-16,Graham Scott,Bill Stokeld Stadium,Sat,16:00,"29,265",192,West Ham,Stoke City,Stoke City,West Ham,Stoke_City_West_Ham,Stoke City_West Ham_2017,42.096774193548384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12903225806451,5.806451612903226,2.903225806451613,1.4516129032258065,0.0,0.0,0.0,1.4516129032258065,0.0,36.29032258064516,55.16129032258065,95.51612903225806,11.612903225806452,30.483870967741936,1.4516129032258065,1.4516129032258065,0.0,676.4516129032259,383.2258064516129,15.967741935483872,20.322580645161292,114.09677419354838,15.967741935483872,20.322580645161292,114.09677419354838,4.354838709677419,8.709677419354838,72.58064516129032,0.0,0.0,11.612903225806452,2.903225806451613,0.0,45.0,10.161290322580646,0.0,0.0,0.0,1.4516129032258065,10.161290322580646,0.0,0.0,0.0,0.0,0.0,2.903225806451613,4.354838709677419,0.0,5.806451612903226,0.0,1.4516129032258065,1.4516129032258065,145.16129032258064,0.0,0.0,1.4516129032258065,8.709677419354838,1.4516129032258065,1.4516129032258065,1.4516129032258065,14.516129032258064,50.806451612903224,5.806451612903226,0.0,71.12903225806451,0.0,1.4516129032258065,145.16129032258064,159.67741935483872,103.06451612903226,0.0,0.0,0.0,0.0,23.225806451612904,1.4516129032258065,0.0,1.4516129032258065,1.4516129032258065,0.0,0.0,1.4516129032258065,0.0,10.161290322580646,1.4516129032258065,0.0,145.16129032258064,1.0,1.5967741935483872,4.5,0.0,4.354838709677419,278.7096774193548
Josh Tymon,ENG,18,28.0,0,0,0,0,0,0,0,0,21.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,70.6,1.0,13.0,3.0,0.0,0.0,153.0,45.0,6.0,6.0,100.0,5.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,8.0,11.0,0.0,21.0,0.0,0.0,0.0,87.0,49.0,2.0,0.0,3.0,0.0,12.0,1.0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,Stoke City,West Ham,18,2017-2018,LB,None,None,None,2017,0.3111111111111111,Stoke_City_West_Ham,Stoke_City_West_Ham_2017,Stoke City,West Ham,2017,18,Stoke City,1.1,3.1,West Ham,0.0,3.0,2017-12-16,Graham Scott,Bill Stokeld Stadium,Sat,16:00,"29,265",192,West Ham,Stoke City,Stoke City,West Ham,Stoke_City_West_Ham,Stoke City_West Ham_2017,57.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,3.2142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.57142857142857,54.64285714285714,226.92857142857142,3.2142857142857144,41.785714285714285,9.642857142857142,0.0,0.0,491.7857142857143,144.64285714285714,19.285714285714285,19.285714285714285,321.42857142857144,16.07142857142857,32.14285714285714,160.71428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.214285714285715,6.428571428571429,0.0,0.0,0.0,12.857142857142858,6.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,3.2142857142857144,0.0,0.0,0.0,3.2142857142857144,0.0,3.2142857142857144,0.0,0.0,3.2142857142857144,0.0,0.0,6.428571428571429,6.428571428571429,25.714285714285715,35.357142857142854,0.0,67.5,0.0,0.0,0.0,279.6428571428571,157.5,6.428571428571429,0.0,9.642857142857142,0.0,38.57142857142857,3.2142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,0.0,1.0,3.535714285714286,9.964285714285715,0.0,9.642857142857142,617.1428571428571
Kevin Wimmer,AUT,25,90.0,0,0,0,0,0,0,1,0,47.0,2.0,1,2.0,0.0,0.0,0.0,0.0,0.0,35.0,42.0,83.3,3.0,22.0,0.0,0.0,0.0,594.0,328.0,22.0,24.0,91.7,8.0,9.0,88.9,5.0,8.0,62.5,0.0,0.0,3.0,0.0,0.0,39.0,3.0,2.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,3.0,2.0,0.0,4.0,22.0,25.0,1.0,1.0,47.0,0.0,0.0,0.0,98.0,57.0,0.0,0.0,0.0,0.0,24.0,0.0,0,3,1,0,0.0,0.0,0,4.0,1.0,1.0,50.0,True,Stoke City,West Ham,18,2017-2018,CB,None,None,None,2017,1.0,Stoke_City_West_Ham,Stoke_City_West_Ham_2017,Stoke City,West Ham,2017,18,Stoke City,1.1,3.1,West Ham,0.0,3.0,2017-12-16,Graham Scott,Bill Stokeld Stadium,Sat,16:00,"29,265",192,West Ham,Stoke City,Stoke City,West Ham,Stoke_City_West_Ham,Stoke City_West Ham_2017,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,42.0,83.3,3.0,22.0,0.0,0.0,0.0,594.0,328.0,22.0,24.0,91.7,8.0,9.0,88.9,5.0,8.0,62.5,0.0,0.0,3.0,0.0,0.0,39.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,3.0,2.0,0.0,4.0,22.0,25.0,1.0,1.0,47.0,0.0,0.0,0.0,98.0,57.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0,1.0,1.1,3.1,0.0,3.0,192.0
