player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Danny Ings,ENG,29,90.0,0,1,0,0,1,1,1,0,25.0,1.0,0,2.0,0.2,0.2,0.1,2.0,1.0,8.0,14.0,57.1,2.0,9.0,2.0,2.0,1.0,103.0,31.0,5.0,8.0,62.5,2.0,3.0,66.7,0.0,0.0,0.0,0.1,1.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,12.0,11.0,6.0,25.0,50.0,1.0,50.0,49.0,31.0,1.0,0.0,3.0,0.0,15.0,1.0,0,1,0,0,0.0,0.0,0,1.0,2.0,1.0,66.7,True,2021-2022,FW,None,None,None,1.0,Aston_Villa_Brentford,Aston_Villa_Brentford_2021,0.7,0.9,1.0,1.0,2021-08-28,Peter Bankes,Villa Park,Sat,15:00,"42,045",25,draw,draw,29.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,25.0,1.0,0.0,2.0,0.2,0.2,0.1,2.0,1.0,8.0,14.0,57.1,2.0,9.0,2.0,2.0,1.0,103.0,31.0,5.0,8.0,62.5,2.0,3.0,66.7,0.0,0.0,0.0,0.1,1.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,12.0,11.0,6.0,25.0,50.0,1.0,50.0,49.0,31.0,1.0,0.0,3.0,0.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,66.7,1.0,0.7,0.9,1.0,1.0,25.0
Anwar El Ghazi,NED,26,90.0,0,0,0,0,1,0,1,0,50.0,1.0,0,4.0,0.0,0.0,0.2,5.0,1.0,26.0,31.0,83.9,4.0,32.0,3.0,5.0,3.0,364.0,159.0,19.0,22.0,86.4,5.0,6.0,83.3,2.0,3.0,66.7,0.2,2.0,0.0,3.0,2.0,30.0,1.0,0.0,1.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,3.0,19.0,28.0,1.0,50.0,60.0,2.0,40.0,205.0,74.0,1.0,0.0,7.0,3.0,39.0,10.0,0,5,4,1,0.0,0.0,0,6.0,3.0,2.0,60.0,True,2021-2022,LM,None,None,None,1.0,Aston_Villa_Brentford,Aston_Villa_Brentford_2021,0.7,0.9,1.0,1.0,2021-08-28,Peter Bankes,Villa Park,Sat,15:00,"42,045",25,draw,draw,26.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,1.0,0.0,4.0,0.0,0.0,0.2,5.0,1.0,26.0,31.0,83.9,4.0,32.0,3.0,5.0,3.0,364.0,159.0,19.0,22.0,86.4,5.0,6.0,83.3,2.0,3.0,66.7,0.2,2.0,0.0,3.0,2.0,30.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,3.0,19.0,28.0,1.0,50.0,60.0,2.0,40.0,205.0,74.0,1.0,0.0,7.0,3.0,39.0,10.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,6.0,3.0,2.0,60.0,1.0,0.7,0.9,1.0,1.0,25.0
Ashley Young,ENG,36,78.0,0,0,0,0,0,0,0,0,24.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,22.0,63.6,1.0,14.0,1.0,0.0,0.0,179.0,55.0,10.0,10.0,100.0,4.0,6.0,66.7,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,14.0,4.0,0.0,24.0,0.0,0.0,0.0,53.0,27.0,0.0,0.0,0.0,1.0,16.0,2.0,0,0,2,0,0.0,0.0,0,3.0,0.0,0.0,0.0,True,2021-2022,CM,None,None,None,0.8666666666666667,Aston_Villa_Brentford,Aston_Villa_Brentford_2021,0.7,0.9,1.0,1.0,2021-08-28,Peter Bankes,Villa Park,Sat,15:00,"42,045",25,draw,draw,41.53846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.69230769230769,1.1538461538461537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.153846153846153,25.384615384615383,73.38461538461539,1.1538461538461537,16.153846153846153,1.1538461538461537,0.0,0.0,206.53846153846152,63.46153846153846,11.538461538461538,11.538461538461538,115.38461538461539,4.615384615384615,6.9230769230769225,76.96153846153847,0.0,3.4615384615384612,0.0,0.0,0.0,1.1538461538461537,0.0,0.0,23.076923076923077,2.3076923076923075,0.0,0.0,0.0,1.1538461538461537,1.1538461538461537,0.0,0.0,0.0,0.0,0.0,1.1538461538461537,1.1538461538461537,1.1538461538461537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1538461538461537,1.1538461538461537,0.0,0.0,8.076923076923077,16.153846153846153,4.615384615384615,0.0,27.69230769230769,0.0,0.0,0.0,61.15384615384615,31.153846153846153,0.0,0.0,0.0,1.1538461538461537,18.46153846153846,2.3076923076923075,0.0,0.0,2.3076923076923075,0.0,0.0,0.0,0.0,3.4615384615384612,0.0,0.0,0.0,1.0,0.8076923076923076,1.0384615384615385,1.1538461538461537,1.1538461538461537,28.846153846153847
Ollie Watkins,ENG,25,12.0,0,0,0,0,2,2,0,0,7.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,4.0,5.0,80.0,1.0,5.0,1.0,0.0,0.0,88.0,16.0,1.0,1.0,100.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,7.0,0.0,0.0,0.0,40.0,26.0,1.0,0.0,0.0,0.0,7.0,2.0,0,1,0,0,0.0,0.0,0,0.0,1.0,2.0,33.3,True,2021-2022,FW,None,None,None,0.13333333333333333,Aston_Villa_Brentford,Aston_Villa_Brentford_2021,0.7,0.9,1.0,1.0,2021-08-28,Peter Bankes,Villa Park,Sat,15:00,"42,045",25,draw,draw,187.5,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,52.5,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,30.0,37.5,600.0,7.5,37.5,7.5,0.0,0.0,660.0,120.0,7.5,7.5,750.0,15.0,22.5,500.25,7.5,7.5,750.0,0.0,0.0,7.5,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,30.0,15.0,52.5,0.0,0.0,0.0,300.0,195.0,7.5,0.0,0.0,0.0,52.5,15.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,15.0,249.74999999999997,1.0,5.25,6.75,7.5,7.5,187.5
Carney Chukwuemeka,ENG,17,62.0,0,0,0,0,0,0,0,0,20.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,76.5,1.0,12.0,1.0,1.0,1.0,181.0,10.0,9.0,10.0,90.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,11.0,6.0,0.0,20.0,100.0,0.0,0.0,87.0,35.0,0.0,0.0,1.0,1.0,15.0,0.0,0,0,1,0,0.0,0.0,0,0.0,2.0,3.0,40.0,True,2021-2022,CM,None,None,None,0.6888888888888889,Aston_Villa_Brentford,Aston_Villa_Brentford_2021,0.7,0.9,1.0,1.0,2021-08-28,Peter Bankes,Villa Park,Sat,15:00,"42,045",25,draw,draw,24.677419354838708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.032258064516128,1.4516129032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.870967741935484,24.677419354838708,111.04838709677419,1.4516129032258065,17.419354838709676,1.4516129032258065,1.4516129032258065,1.4516129032258065,262.741935483871,14.516129032258064,13.064516129032258,14.516129032258064,130.6451612903226,4.354838709677419,4.354838709677419,145.16129032258064,1.4516129032258065,1.4516129032258065,145.16129032258064,0.0,0.0,1.4516129032258065,0.0,0.0,23.225806451612904,1.4516129032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4516129032258065,0.0,1.4516129032258065,0.0,0.0,0.0,1.4516129032258065,0.0,1.4516129032258065,0.0,0.0,1.4516129032258065,0.0,0.0,0.0,4.354838709677419,15.967741935483872,8.709677419354838,0.0,29.032258064516128,145.16129032258064,0.0,0.0,126.29032258064517,50.806451612903224,0.0,0.0,1.4516129032258065,1.4516129032258065,21.774193548387096,0.0,0.0,0.0,1.4516129032258065,0.0,0.0,0.0,0.0,0.0,2.903225806451613,4.354838709677419,58.064516129032256,1.0,1.0161290322580645,1.3064516129032258,1.4516129032258065,1.4516129032258065,36.29032258064516
Marvelous Nakamba,ZIM,27,28.0,0,0,0,0,0,0,0,0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,88.9,1.0,6.0,0.0,0.0,0.0,146.0,46.0,3.0,3.0,100.0,5.0,6.0,83.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,9.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2021-2022,CM,DM,None,None,0.3111111111111111,Aston_Villa_Brentford,Aston_Villa_Brentford_2021,0.7,0.9,1.0,1.0,2021-08-28,Peter Bankes,Villa Park,Sat,15:00,"42,045",25,draw,draw,86.78571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.928571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.714285714285715,28.928571428571427,285.75,3.2142857142857144,19.285714285714285,0.0,0.0,0.0,469.2857142857143,147.85714285714286,9.642857142857142,9.642857142857142,321.42857142857144,16.07142857142857,19.285714285714285,267.75,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,0.0,0.0,28.928571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,19.285714285714285,3.2142857142857144,0.0,28.928571428571427,0.0,0.0,0.0,38.57142857142857,16.07142857142857,0.0,0.0,0.0,0.0,19.285714285714285,0.0,0.0,0.0,3.2142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.25,2.892857142857143,3.2142857142857144,3.2142857142857144,80.35714285714286
Emi Buendia,ARG,24,90.0,1,0,0,0,1,1,0,0,46.0,4.0,0,1.0,0.1,0.1,0.1,2.0,0.0,20.0,35.0,57.1,3.0,24.0,3.0,3.0,3.0,381.0,154.0,12.0,14.0,85.7,3.0,7.0,42.9,5.0,13.0,38.5,0.2,2.0,2.0,1.0,1.0,30.0,5.0,2.0,2.0,1.0,8,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1,1.0,1.0,2.0,1.0,3.0,33.3,2.0,0.0,1.0,4.0,1.0,0.0,3.0,11.0,17.0,19.0,1.0,46.0,100.0,0.0,0.0,146.0,69.0,2.0,0.0,1.0,6.0,27.0,6.0,0,0,2,0,0.0,0.0,0,9.0,1.0,1.0,50.0,True,2021-2022,RM,None,None,None,1.0,Aston_Villa_Brentford,Aston_Villa_Brentford_2021,0.7,0.9,1.0,1.0,2021-08-28,Peter Bankes,Villa Park,Sat,15:00,"42,045",25,draw,draw,24.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,46.0,4.0,0.0,1.0,0.1,0.1,0.1,2.0,0.0,20.0,35.0,57.1,3.0,24.0,3.0,3.0,3.0,381.0,154.0,12.0,14.0,85.7,3.0,7.0,42.9,5.0,13.0,38.5,0.2,2.0,2.0,1.0,1.0,30.0,5.0,2.0,2.0,1.0,8.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,33.3,2.0,0.0,1.0,4.0,1.0,0.0,3.0,11.0,17.0,19.0,1.0,46.0,100.0,0.0,0.0,146.0,69.0,2.0,0.0,1.0,6.0,27.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,50.0,1.0,0.7,0.9,1.0,1.0,25.0
Douglas Luiz,BRA,23,90.0,0,0,0,0,0,0,0,0,46.0,0.0,1,2.0,0.0,0.0,0.0,1.0,0.0,31.0,38.0,81.6,1.0,25.0,1.0,0.0,0.0,553.0,67.0,14.0,18.0,77.8,15.0,16.0,93.8,2.0,4.0,50.0,0.0,1.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,17.0,23.0,6.0,2.0,46.0,0.0,0.0,0.0,110.0,31.0,0.0,1.0,2.0,0.0,27.0,3.0,0,4,1,0,0.0,0.0,0,8.0,2.0,2.0,50.0,True,2021-2022,DM,CM,None,None,1.0,Aston_Villa_Brentford,Aston_Villa_Brentford_2021,0.7,0.9,1.0,1.0,2021-08-28,Peter Bankes,Villa Park,Sat,15:00,"42,045",25,draw,draw,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,31.0,38.0,81.6,1.0,25.0,1.0,0.0,0.0,553.0,67.0,14.0,18.0,77.8,15.0,16.0,93.8,2.0,4.0,50.0,0.0,1.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,17.0,23.0,6.0,2.0,46.0,0.0,0.0,0.0,110.0,31.0,0.0,1.0,2.0,0.0,27.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,50.0,1.0,0.7,0.9,1.0,1.0,25.0
Matt Targett,ENG,25,90.0,0,0,0,0,0,0,0,0,90.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,50.0,79.0,63.3,8.0,48.0,2.0,1.0,0.0,838.0,457.0,28.0,34.0,82.4,16.0,20.0,80.0,5.0,21.0,23.8,0.0,0.0,9.0,0.0,0.0,61.0,17.0,5.0,0.0,1.0,5,12.0,0.0,0.0,0.0,0.0,1.0,3.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,26.0,48.0,17.0,0.0,90.0,0.0,1.0,100.0,218.0,132.0,1.0,0.0,0.0,0.0,54.0,4.0,0,0,0,0,0.0,0.0,0,5.0,0.0,1.0,0.0,True,2021-2022,LB,None,None,None,1.0,Aston_Villa_Brentford,Aston_Villa_Brentford_2021,0.7,0.9,1.0,1.0,2021-08-28,Peter Bankes,Villa Park,Sat,15:00,"42,045",25,draw,draw,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,79.0,63.3,8.0,48.0,2.0,1.0,0.0,838.0,457.0,28.0,34.0,82.4,16.0,20.0,80.0,5.0,21.0,23.8,0.0,0.0,9.0,0.0,0.0,61.0,17.0,5.0,0.0,1.0,5.0,12.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,26.0,48.0,17.0,0.0,90.0,0.0,1.0,100.0,218.0,132.0,1.0,0.0,0.0,0.0,54.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.7,0.9,1.0,1.0,25.0
Axel Tuanzebe,ENG,23,90.0,0,0,0,0,1,1,0,0,44.0,0.0,1,2.0,0.1,0.1,0.0,0.0,0.0,28.0,36.0,77.8,1.0,27.0,0.0,0.0,0.0,457.0,180.0,11.0,12.0,91.7,14.0,16.0,87.5,1.0,6.0,16.7,0.0,0.0,0.0,0.0,0.0,35.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,6.0,25.0,16.0,3.0,1.0,44.0,0.0,0.0,0.0,100.0,25.0,0.0,0.0,1.0,0.0,26.0,0.0,0,0,2,0,0.0,0.0,0,6.0,5.0,1.0,83.3,True,2021-2022,CB,None,None,None,1.0,Aston_Villa_Brentford,Aston_Villa_Brentford_2021,0.7,0.9,1.0,1.0,2021-08-28,Peter Bankes,Villa Park,Sat,15:00,"42,045",25,draw,draw,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.0,0.0,1.0,2.0,0.1,0.1,0.0,0.0,0.0,28.0,36.0,77.8,1.0,27.0,0.0,0.0,0.0,457.0,180.0,11.0,12.0,91.7,14.0,16.0,87.5,1.0,6.0,16.7,0.0,0.0,0.0,0.0,0.0,35.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,6.0,25.0,16.0,3.0,1.0,44.0,0.0,0.0,0.0,100.0,25.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,83.3,1.0,0.7,0.9,1.0,1.0,25.0
Ezri Konsa,ENG,23,88.0,0,0,0,0,1,0,0,0,34.0,0.0,0,1.0,0.2,0.2,0.0,1.0,0.0,24.0,29.0,82.8,1.0,18.0,0.0,0.0,0.0,486.0,156.0,6.0,8.0,75.0,15.0,15.0,100.0,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,8.0,19.0,15.0,2.0,2.0,34.0,0.0,0.0,0.0,60.0,14.0,0.0,0.0,0.0,0.0,20.0,0.0,0,1,0,0,0.0,0.0,0,3.0,2.0,3.0,40.0,True,2021-2022,CB,None,None,None,0.9777777777777777,Aston_Villa_Brentford,Aston_Villa_Brentford_2021,0.7,0.9,1.0,1.0,2021-08-28,Peter Bankes,Villa Park,Sat,15:00,"42,045",25,draw,draw,23.522727272727273,0.0,0.0,0.0,0.0,1.0227272727272727,0.0,0.0,0.0,34.77272727272727,0.0,0.0,1.0227272727272727,0.20454545454545456,0.20454545454545456,0.0,1.0227272727272727,0.0,24.545454545454547,29.65909090909091,84.68181818181819,1.0227272727272727,18.40909090909091,0.0,0.0,0.0,497.04545454545456,159.54545454545456,6.136363636363637,8.181818181818182,76.70454545454545,15.340909090909092,15.340909090909092,102.27272727272728,3.0681818181818183,6.136363636363637,51.13636363636364,0.0,0.0,0.0,0.0,0.0,27.613636363636363,2.0454545454545454,2.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0227272727272727,0.0,0.0,4.090909090909091,0.0,8.181818181818182,19.431818181818183,15.340909090909092,2.0454545454545454,2.0454545454545454,34.77272727272727,0.0,0.0,0.0,61.36363636363637,14.318181818181818,0.0,0.0,0.0,0.0,20.454545454545457,0.0,0.0,1.0227272727272727,0.0,0.0,0.0,0.0,0.0,3.0681818181818183,2.0454545454545454,3.0681818181818183,40.909090909090914,1.0,0.7159090909090909,0.9204545454545455,1.0227272727272727,1.0227272727272727,25.56818181818182
Kortney Hause,ENG,26,2.0,0,0,0,0,0,0,0,0,11.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,77.8,0.0,3.0,0.0,0.0,0.0,139.0,86.0,2.0,3.0,66.7,4.0,4.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,4.0,0.0,0.0,11.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0,0,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,True,2021-2022,CB,None,None,None,0.022222222222222223,Aston_Villa_Brentford,Aston_Villa_Brentford_2021,0.7,0.9,1.0,1.0,2021-08-28,Peter Bankes,Villa Park,Sat,15:00,"42,045",25,draw,draw,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,405.0,3500.9999999999995,0.0,135.0,0.0,0.0,0.0,6255.0,3870.0,90.0,135.0,3001.5,180.0,180.0,4500.0,45.0,90.0,2250.0,0.0,0.0,0.0,0.0,0.0,360.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,45.0,45.0,4500.0,0.0,0.0,0.0,45.0,0.0,0.0,90.0,360.0,180.0,0.0,0.0,495.0,0.0,0.0,0.0,720.0,45.0,0.0,0.0,45.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,4500.0,1.0,31.499999999999996,40.5,45.0,45.0,1125.0
