player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Gabriel Jesus,BRA,20,56.0,2,0,0,0,4,3,0,0,16.0,1.0,0,0.0,0.8,0.8,0.0,1.0,0.0,4.0,7.0,57.1,0.0,11.0,1.0,0.0,0.0,68.0,5.0,1.0,2.0,50.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,13.0,6.0,16.0,0.0,0.0,0.0,55.0,25.0,0.0,1.0,2.0,2.0,11.0,1.0,0,2,1,2,0.0,0.0,0,3.0,1.0,0.0,100.0,True,Manchester City,Liverpool,4,2017-2018,FW,None,None,None,2017,0.6222222222222222,Liverpool_Manchester_City,Liverpool_Manchester_City_2017,Manchester City,Liverpool,2017,4,Manchester City,2.4,0.7,Liverpool,5.0,0.0,2017-09-09,Jonathan Moss,Etihad Stadium,Sat,12:30,"54,172",33,Manchester City,Liverpool,Manchester City,Liverpool,Liverpool_Manchester_City,Liverpool_Manchester City_2017,32.14285714285714,3.2142857142857144,0.0,0.0,0.0,6.428571428571429,4.821428571428571,0.0,0.0,25.714285714285715,1.6071428571428572,0.0,0.0,1.2857142857142858,1.2857142857142858,0.0,1.6071428571428572,0.0,6.428571428571429,11.25,91.76785714285714,0.0,17.678571428571427,1.6071428571428572,0.0,0.0,109.28571428571428,8.035714285714285,1.6071428571428572,3.2142857142857144,80.35714285714286,4.821428571428571,6.428571428571429,120.53571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.642857142857142,1.6071428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6071428571428572,0.0,1.6071428571428572,0.0,1.6071428571428572,0.0,0.0,1.6071428571428572,0.0,0.0,0.0,0.0,4.821428571428571,20.892857142857142,9.642857142857142,25.714285714285715,0.0,0.0,0.0,88.39285714285714,40.17857142857143,0.0,1.6071428571428572,3.2142857142857144,3.2142857142857144,17.678571428571427,1.6071428571428572,0.0,3.2142857142857144,1.6071428571428572,3.2142857142857144,0.0,0.0,0.0,4.821428571428571,1.6071428571428572,0.0,160.71428571428572,1.0,3.8571428571428568,1.125,8.035714285714285,0.0,53.035714285714285
Leroy Sane,GER,21,34.0,2,0,0,0,2,2,0,0,21.0,0.0,0,1.0,0.3,0.3,0.5,3.0,1.0,14.0,16.0,87.5,3.0,15.0,0.0,0.0,0.0,213.0,39.0,8.0,9.0,88.9,6.0,6.0,100.0,0.0,0.0,0.0,0.4,2.0,1.0,1.0,0.0,13.0,2.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,3.0,21.0,0.0,0.0,0.0,31.0,9.0,0.0,0.0,2.0,1.0,19.0,5.0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,Manchester City,Liverpool,4,2017-2018,LW,None,None,None,2017,0.37777777777777777,Liverpool_Manchester_City,Liverpool_Manchester_City_2017,Manchester City,Liverpool,2017,4,Manchester City,2.4,0.7,Liverpool,5.0,0.0,2017-09-09,Jonathan Moss,Etihad Stadium,Sat,12:30,"54,172",33,Manchester City,Liverpool,Manchester City,Liverpool,Liverpool_Manchester_City,Liverpool_Manchester City_2017,55.588235294117645,5.294117647058823,0.0,0.0,0.0,5.294117647058823,5.294117647058823,0.0,0.0,55.588235294117645,0.0,0.0,2.6470588235294117,0.7941176470588235,0.7941176470588235,1.3235294117647058,7.9411764705882355,2.6470588235294117,37.05882352941177,42.35294117647059,231.61764705882354,7.9411764705882355,39.705882352941174,0.0,0.0,0.0,563.8235294117648,103.23529411764706,21.176470588235293,23.823529411764707,235.32352941176472,15.882352941176471,15.882352941176471,264.70588235294116,0.0,0.0,0.0,1.0588235294117647,5.294117647058823,2.6470588235294117,2.6470588235294117,0.0,34.411764705882355,5.294117647058823,2.6470588235294117,0.0,0.0,0.0,0.0,2.6470588235294117,0.0,0.0,0.0,2.6470588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6470588235294117,0.0,0.0,0.0,0.0,0.0,23.823529411764707,31.764705882352942,7.9411764705882355,55.588235294117645,0.0,0.0,0.0,82.05882352941177,23.823529411764707,0.0,0.0,5.294117647058823,2.6470588235294117,50.294117647058826,13.23529411764706,0.0,2.6470588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.352941176470588,1.852941176470588,13.23529411764706,0.0,87.3529411764706
Sergio Aguero,ARG,29,90.0,1,1,0,0,3,2,0,0,35.0,0.0,0,3.0,1.0,1.0,0.4,4.0,2.0,20.0,20.0,100.0,2.0,25.0,2.0,5.0,1.0,240.0,23.0,15.0,15.0,100.0,5.0,5.0,100.0,0.0,0.0,0.0,0.1,3.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,18.0,14.0,6.0,35.0,20.0,4.0,80.0,148.0,39.0,0.0,2.0,2.0,2.0,26.0,7.0,0,1,2,1,0.0,0.0,0,2.0,0.0,0.0,0.0,True,Manchester City,Liverpool,4,2017-2018,FW,None,None,None,2017,1.0,Liverpool_Manchester_City,Liverpool_Manchester_City_2017,Manchester City,Liverpool,2017,4,Manchester City,2.4,0.7,Liverpool,5.0,0.0,2017-09-09,Jonathan Moss,Etihad Stadium,Sat,12:30,"54,172",33,Manchester City,Liverpool,Manchester City,Liverpool,Liverpool_Manchester_City,Liverpool_Manchester City_2017,29.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,35.0,0.0,0.0,3.0,1.0,1.0,0.4,4.0,2.0,20.0,20.0,100.0,2.0,25.0,2.0,5.0,1.0,240.0,23.0,15.0,15.0,100.0,5.0,5.0,100.0,0.0,0.0,0.0,0.1,3.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,18.0,14.0,6.0,35.0,20.0,4.0,80.0,148.0,39.0,0.0,2.0,2.0,2.0,26.0,7.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.4,0.7,5.0,0.0,33.0
Benjamin Mendy,FRA,23,90.0,0,1,0,0,0,0,0,0,77.0,2.0,1,2.0,0.0,0.0,0.3,3.0,3.0,48.0,64.0,75.0,9.0,46.0,4.0,5.0,2.0,846.0,225.0,21.0,25.0,84.0,20.0,27.0,74.1,4.0,6.0,66.7,0.1,1.0,5.0,2.0,1.0,50.0,13.0,2.0,0.0,1.0,7,11.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1.0,0.0,1.0,2.0,3.0,66.7,1.0,0.0,2.0,3.0,2.0,0.0,2.0,9.0,38.0,31.0,2.0,77.0,40.0,3.0,60.0,123.0,81.0,3.0,1.0,2.0,0.0,50.0,16.0,0,1,0,0,0.0,0.0,0,4.0,0.0,0.0,0.0,True,Manchester City,Liverpool,4,2017-2018,LB,LW,None,None,2017,1.0,Liverpool_Manchester_City,Liverpool_Manchester_City_2017,Manchester City,Liverpool,2017,4,Manchester City,2.4,0.7,Liverpool,5.0,0.0,2017-09-09,Jonathan Moss,Etihad Stadium,Sat,12:30,"54,172",33,Manchester City,Liverpool,Manchester City,Liverpool,Liverpool_Manchester_City,Liverpool_Manchester City_2017,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,2.0,1.0,2.0,0.0,0.0,0.3,3.0,3.0,48.0,64.0,75.0,9.0,46.0,4.0,5.0,2.0,846.0,225.0,21.0,25.0,84.0,20.0,27.0,74.1,4.0,6.0,66.7,0.1,1.0,5.0,2.0,1.0,50.0,13.0,2.0,0.0,1.0,7.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,66.7,1.0,0.0,2.0,3.0,2.0,0.0,2.0,9.0,38.0,31.0,2.0,77.0,40.0,3.0,60.0,123.0,81.0,3.0,1.0,2.0,0.0,50.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.4,0.7,5.0,0.0,33.0
Kyle Walker,ENG,27,90.0,0,1,0,0,0,0,0,0,87.0,1.0,0,0.0,0.0,0.0,0.0,4.0,1.0,67.0,84.0,79.8,4.0,61.0,4.0,1.0,1.0,1173.0,217.0,29.0,31.0,93.5,35.0,39.0,89.7,3.0,11.0,27.3,0.0,1.0,4.0,0.0,0.0,74.0,10.0,0.0,0.0,0.0,3,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0,55.0,19.0,1.0,87.0,100.0,0.0,0.0,214.0,83.0,3.0,0.0,1.0,0.0,67.0,15.0,0,0,1,0,0.0,0.0,0,8.0,4.0,1.0,80.0,True,Manchester City,Liverpool,4,2017-2018,RB,RW,None,None,2017,1.0,Liverpool_Manchester_City,Liverpool_Manchester_City_2017,Manchester City,Liverpool,2017,4,Manchester City,2.4,0.7,Liverpool,5.0,0.0,2017-09-09,Jonathan Moss,Etihad Stadium,Sat,12:30,"54,172",33,Manchester City,Liverpool,Manchester City,Liverpool,Liverpool_Manchester_City,Liverpool_Manchester City_2017,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,67.0,84.0,79.8,4.0,61.0,4.0,1.0,1.0,1173.0,217.0,29.0,31.0,93.5,35.0,39.0,89.7,3.0,11.0,27.3,0.0,1.0,4.0,0.0,0.0,74.0,10.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0,55.0,19.0,1.0,87.0,100.0,0.0,0.0,214.0,83.0,3.0,0.0,1.0,0.0,67.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,80.0,1.0,2.4,0.7,5.0,0.0,33.0
David Silva,ESP,31,90.0,0,0,0,0,0,0,0,0,108.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,96.0,104.0,92.3,13.0,90.0,6.0,1.0,0.0,1392.0,257.0,54.0,57.0,94.7,38.0,41.0,92.7,2.0,2.0,100.0,0.2,0.0,8.0,1.0,0.0,100.0,4.0,0.0,1.0,0.0,1,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,82.0,24.0,2.0,108.0,0.0,1.0,100.0,491.0,232.0,4.0,2.0,0.0,0.0,91.0,7.0,0,1,0,2,0.0,0.0,0,9.0,1.0,2.0,33.3,True,Manchester City,Liverpool,4,2017-2018,CM,AM,RM,None,2017,1.0,Liverpool_Manchester_City,Liverpool_Manchester_City_2017,Manchester City,Liverpool,2017,4,Manchester City,2.4,0.7,Liverpool,5.0,0.0,2017-09-09,Jonathan Moss,Etihad Stadium,Sat,12:30,"54,172",33,Manchester City,Liverpool,Manchester City,Liverpool,Liverpool_Manchester_City,Liverpool_Manchester City_2017,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,96.0,104.0,92.3,13.0,90.0,6.0,1.0,0.0,1392.0,257.0,54.0,57.0,94.7,38.0,41.0,92.7,2.0,2.0,100.0,0.2,0.0,8.0,1.0,0.0,100.0,4.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,82.0,24.0,2.0,108.0,0.0,1.0,100.0,491.0,232.0,4.0,2.0,0.0,0.0,91.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,9.0,1.0,2.0,33.3,1.0,2.4,0.7,5.0,0.0,33.0
Kevin De Bruyne,BEL,26,90.0,0,2,0,0,2,1,0,0,69.0,2.0,0,1.0,0.1,0.1,0.9,5.0,2.0,46.0,62.0,74.2,10.0,55.0,4.0,0.0,0.0,887.0,289.0,18.0,22.0,81.8,21.0,27.0,77.8,5.0,7.0,71.4,0.5,3.0,3.0,5.0,2.0,54.0,6.0,3.0,3.0,0.0,8,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1,1.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,32.0,33.0,2.0,69.0,0.0,0.0,0.0,227.0,141.0,3.0,1.0,2.0,1.0,57.0,11.0,0,0,3,0,0.0,0.0,0,6.0,0.0,0.0,0.0,True,Manchester City,Liverpool,4,2017-2018,CM,RW,LM,None,2017,1.0,Liverpool_Manchester_City,Liverpool_Manchester_City_2017,Manchester City,Liverpool,2017,4,Manchester City,2.4,0.7,Liverpool,5.0,0.0,2017-09-09,Jonathan Moss,Etihad Stadium,Sat,12:30,"54,172",33,Manchester City,Liverpool,Manchester City,Liverpool,Liverpool_Manchester_City,Liverpool_Manchester City_2017,26.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,69.0,2.0,0.0,1.0,0.1,0.1,0.9,5.0,2.0,46.0,62.0,74.2,10.0,55.0,4.0,0.0,0.0,887.0,289.0,18.0,22.0,81.8,21.0,27.0,77.8,5.0,7.0,71.4,0.5,3.0,3.0,5.0,2.0,54.0,6.0,3.0,3.0,0.0,8.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,32.0,33.0,2.0,69.0,0.0,0.0,0.0,227.0,141.0,3.0,1.0,2.0,1.0,57.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,2.4,0.7,5.0,0.0,33.0
Fernandinho,BRA,32,90.0,0,0,0,0,1,1,1,0,93.0,1.0,4,1.0,0.0,0.0,0.0,1.0,1.0,78.0,87.0,89.7,9.0,73.0,3.0,0.0,0.0,1262.0,368.0,34.0,36.0,94.4,40.0,43.0,93.0,2.0,4.0,50.0,0.2,0.0,4.0,0.0,0.0,86.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,5.0,1.0,0.0,4.0,16.0,73.0,5.0,0.0,93.0,0.0,0.0,0.0,293.0,184.0,0.0,0.0,0.0,1.0,72.0,1.0,0,2,0,0,0.0,0.0,0,6.0,1.0,0.0,100.0,True,Manchester City,Liverpool,4,2017-2018,DM,CM,None,None,2017,1.0,Liverpool_Manchester_City,Liverpool_Manchester_City_2017,Manchester City,Liverpool,2017,4,Manchester City,2.4,0.7,Liverpool,5.0,0.0,2017-09-09,Jonathan Moss,Etihad Stadium,Sat,12:30,"54,172",33,Manchester City,Liverpool,Manchester City,Liverpool,Liverpool_Manchester_City,Liverpool_Manchester City_2017,32.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,93.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,78.0,87.0,89.7,9.0,73.0,3.0,0.0,0.0,1262.0,368.0,34.0,36.0,94.4,40.0,43.0,93.0,2.0,4.0,50.0,0.2,0.0,4.0,0.0,0.0,86.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,5.0,1.0,0.0,4.0,16.0,73.0,5.0,0.0,93.0,0.0,0.0,0.0,293.0,184.0,0.0,0.0,0.0,1.0,72.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0,1.0,2.4,0.7,5.0,0.0,33.0
Nicolas Otamendi,ARG,29,70.0,0,0,0,0,0,0,1,0,71.0,3.0,1,1.0,0.0,0.0,0.0,0.0,0.0,56.0,62.0,90.3,1.0,55.0,0.0,0.0,0.0,1096.0,311.0,17.0,19.0,89.5,36.0,38.0,94.7,3.0,5.0,60.0,0.0,0.0,5.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,2.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,4.0,4.0,0.0,4.0,26.0,45.0,0.0,0.0,71.0,0.0,0.0,0.0,265.0,138.0,0.0,0.0,0.0,0.0,53.0,0.0,0,1,0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,True,Manchester City,Liverpool,4,2017-2018,CB,None,None,None,2017,0.7777777777777778,Liverpool_Manchester_City,Liverpool_Manchester_City_2017,Manchester City,Liverpool,2017,4,Manchester City,2.4,0.7,Liverpool,5.0,0.0,2017-09-09,Jonathan Moss,Etihad Stadium,Sat,12:30,"54,172",33,Manchester City,Liverpool,Manchester City,Liverpool,Liverpool_Manchester_City,Liverpool_Manchester City_2017,37.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142856,0.0,91.28571428571428,3.857142857142857,1.2857142857142856,1.2857142857142856,0.0,0.0,0.0,0.0,0.0,72.0,79.71428571428571,116.1,1.2857142857142856,70.71428571428571,0.0,0.0,0.0,1409.142857142857,399.85714285714283,21.857142857142858,24.428571428571427,115.07142857142857,46.285714285714285,48.857142857142854,121.75714285714285,3.857142857142857,6.428571428571429,77.14285714285714,0.0,0.0,6.428571428571429,0.0,0.0,79.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.857142857142857,1.2857142857142856,2.571428571428571,0.0,1.2857142857142856,3.857142857142857,42.81428571428571,2.571428571428571,1.2857142857142856,0.0,5.142857142857142,5.142857142857142,0.0,5.142857142857142,33.42857142857143,57.857142857142854,0.0,0.0,91.28571428571428,0.0,0.0,0.0,340.7142857142857,177.42857142857142,0.0,0.0,0.0,0.0,68.14285714285714,0.0,0.0,1.2857142857142856,0.0,0.0,0.0,0.0,0.0,3.857142857142857,0.0,0.0,0.0,1.0,3.0857142857142854,0.8999999999999999,6.428571428571429,0.0,42.42857142857143
Eliaquim Mangala,FRA,26,20.0,0,0,0,0,0,0,0,0,26.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,100.0,0.0,22.0,0.0,0.0,0.0,439.0,165.0,10.0,10.0,100.0,13.0,13.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,22.0,0.0,0.0,26.0,0.0,0.0,0.0,65.0,38.0,0.0,0.0,0.0,0.0,22.0,0.0,0,0,0,0,0.0,0.0,0,1.0,1.0,1.0,50.0,True,Manchester City,Liverpool,4,2017-2018,CB,None,None,None,2017,0.2222222222222222,Liverpool_Manchester_City,Liverpool_Manchester_City_2017,Manchester City,Liverpool,2017,4,Manchester City,2.4,0.7,Liverpool,5.0,0.0,2017-09-09,Jonathan Moss,Etihad Stadium,Sat,12:30,"54,172",33,Manchester City,Liverpool,Manchester City,Liverpool,Liverpool_Manchester_City,Liverpool_Manchester City_2017,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5,112.5,450.0,0.0,99.0,0.0,0.0,0.0,1975.5,742.5,45.0,45.0,450.0,58.5,58.5,450.0,9.0,9.0,450.0,0.0,0.0,0.0,0.0,0.0,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,4.5,0.0,0.0,0.0,4.5,0.0,0.0,18.0,99.0,0.0,0.0,117.0,0.0,0.0,0.0,292.5,171.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,225.0,1.0,10.8,3.15,22.5,0.0,148.5
John Stones,ENG,23,90.0,0,0,0,0,1,1,0,0,110.0,2.0,3,0.0,0.1,0.1,0.0,0.0,0.0,98.0,101.0,97.0,4.0,81.0,1.0,0.0,0.0,1710.0,617.0,44.0,44.0,100.0,45.0,46.0,97.8,8.0,10.0,80.0,0.0,0.0,1.0,0.0,0.0,100.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,4.0,43.0,65.0,2.0,1.0,110.0,0.0,0.0,0.0,354.0,215.0,0.0,0.0,0.0,0.0,92.0,0.0,0,0,1,0,0.0,0.0,0,7.0,1.0,0.0,100.0,True,Manchester City,Liverpool,4,2017-2018,CB,None,None,None,2017,1.0,Liverpool_Manchester_City,Liverpool_Manchester_City_2017,Manchester City,Liverpool,2017,4,Manchester City,2.4,0.7,Liverpool,5.0,0.0,2017-09-09,Jonathan Moss,Etihad Stadium,Sat,12:30,"54,172",33,Manchester City,Liverpool,Manchester City,Liverpool,Liverpool_Manchester_City,Liverpool_Manchester City_2017,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,110.0,2.0,3.0,0.0,0.1,0.1,0.0,0.0,0.0,98.0,101.0,97.0,4.0,81.0,1.0,0.0,0.0,1710.0,617.0,44.0,44.0,100.0,45.0,46.0,97.8,8.0,10.0,80.0,0.0,0.0,1.0,0.0,0.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,4.0,43.0,65.0,2.0,1.0,110.0,0.0,0.0,0.0,354.0,215.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0,1.0,2.4,0.7,5.0,0.0,33.0
