player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Dominic Calvert-Lewin,ENG,20,89.0,0,0,0,0,1,0,0,0,30.0,0.0,0,0.0,0.1,0.1,0.0,2.0,1.0,16.0,22.0,72.7,2.0,19.0,0.0,1.0,0.0,169.0,35.0,11.0,15.0,73.3,3.0,4.0,75.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,15.0,13.0,2.0,30.0,0.0,1.0,100.0,102.0,17.0,1.0,0.0,4.0,1.0,30.0,3.0,0,4,2,2,1.0,0.0,0,0.0,8.0,6.0,57.1,True,Everton,West Ham,14,2017-2018,FW,None,None,None,2017,0.9888888888888889,Everton_West_Ham,Everton_West_Ham_2017,Everton,West Ham,2017,14,Everton,1.5,1.1,West Ham,4.0,0.0,2017-11-29,Michael Oliver,Goodison Park,Wed,20:00,"38,242",151,Everton,West Ham,Everton,West Ham,Everton_West_Ham,Everton_West Ham_2017,20.224719101123593,0.0,0.0,0.0,0.0,1.0112359550561798,0.0,0.0,0.0,30.337078651685392,0.0,0.0,0.0,0.10112359550561797,0.10112359550561797,0.0,2.0224719101123596,1.0112359550561798,16.179775280898877,22.247191011235955,73.51685393258427,2.0224719101123596,19.213483146067414,0.0,1.0112359550561798,0.0,170.8988764044944,35.39325842696629,11.123595505617978,15.168539325842696,74.12359550561797,3.033707865168539,4.044943820224719,75.84269662921348,0.0,1.0112359550561798,0.0,0.0,0.0,1.0112359550561798,0.0,0.0,22.247191011235955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0112359550561798,0.0,0.0,2.0224719101123596,15.168539325842696,13.146067415730336,2.0224719101123596,30.337078651685392,0.0,1.0112359550561798,101.12359550561797,103.14606741573033,17.191011235955056,1.0112359550561798,0.0,4.044943820224719,1.0112359550561798,30.337078651685392,3.033707865168539,0.0,4.044943820224719,2.0224719101123596,2.0224719101123596,1.0112359550561798,0.0,0.0,0.0,8.089887640449438,6.067415730337078,57.741573033707866,1.0,1.5168539325842696,1.1123595505617978,4.044943820224719,0.0,152.69662921348313
Nikola Vlasic,CRO,20,1.0,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,1.0,1.0,0.0,0.0,38.0,0.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,True,Everton,West Ham,14,2017-2018,FW,None,None,None,2017,0.011111111111111112,Everton_West_Ham,Everton_West_Ham_2017,Everton,West Ham,2017,14,Everton,1.5,1.1,West Ham,4.0,0.0,2017-11-29,Michael Oliver,Goodison Park,Wed,20:00,"38,242",151,Everton,West Ham,Everton,West Ham,Everton_West_Ham,Everton_West Ham_2017,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,360.0,6750.0,0.0,90.0,90.0,0.0,0.0,3420.0,0.0,180.0,270.0,6003.0,90.0,90.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,180.0,90.0,360.0,0.0,0.0,0.0,900.0,630.0,0.0,0.0,0.0,0.0,270.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,9000.0,1.0,135.0,99.0,360.0,0.0,13590.0
Gylfi Sigurdsson,ISL,28,90.0,0,1,0,0,1,0,1,0,46.0,2.0,0,1.0,0.1,0.1,0.1,2.0,1.0,28.0,38.0,73.7,2.0,27.0,3.0,4.0,3.0,378.0,112.0,18.0,22.0,81.8,7.0,10.0,70.0,1.0,3.0,33.3,0.2,1.0,3.0,0.0,0.0,34.0,4.0,2.0,0.0,0.0,7,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2,0.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,6.0,17.0,23.0,3.0,46.0,75.0,1.0,25.0,171.0,69.0,2.0,1.0,2.0,1.0,27.0,6.0,0,2,1,0,0.0,0.0,0,10.0,0.0,2.0,0.0,True,Everton,West Ham,14,2017-2018,LM,RM,None,None,2017,1.0,Everton_West_Ham,Everton_West_Ham_2017,Everton,West Ham,2017,14,Everton,1.5,1.1,West Ham,4.0,0.0,2017-11-29,Michael Oliver,Goodison Park,Wed,20:00,"38,242",151,Everton,West Ham,Everton,West Ham,Everton_West_Ham,Everton_West Ham_2017,28.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,46.0,2.0,0.0,1.0,0.1,0.1,0.1,2.0,1.0,28.0,38.0,73.7,2.0,27.0,3.0,4.0,3.0,378.0,112.0,18.0,22.0,81.8,7.0,10.0,70.0,1.0,3.0,33.3,0.2,1.0,3.0,0.0,0.0,34.0,4.0,2.0,0.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,6.0,17.0,23.0,3.0,46.0,75.0,1.0,25.0,171.0,69.0,2.0,1.0,2.0,1.0,27.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,1.0,1.5,1.1,4.0,0.0,151.0
Wayne Rooney,ENG,32,84.0,3,0,0,1,3,3,0,0,76.0,2.0,1,0.0,1.2,0.4,0.0,2.0,1.0,48.0,62.0,77.4,4.0,43.0,2.0,1.0,1.0,962.0,325.0,17.0,20.0,85.0,22.0,24.0,91.7,8.0,13.0,61.5,0.0,0.0,7.0,1.0,0.0,59.0,2.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1,1.0,0.0,1.0,1.0,5.0,20.0,4.0,0.0,0.0,3.0,4.0,0.0,5.0,24.0,42.0,10.0,3.0,75.0,100.0,0.0,0.0,217.0,117.0,1.0,0.0,1.0,1.0,49.0,1.0,0,1,0,0,0.0,0.0,0,12.0,0.0,2.0,0.0,True,Everton,West Ham,14,2017-2018,CM,None,None,None,2017,0.9333333333333333,Everton_West_Ham,Everton_West_Ham_2017,Everton,West Ham,2017,14,Everton,1.5,1.1,West Ham,4.0,0.0,2017-11-29,Michael Oliver,Goodison Park,Wed,20:00,"38,242",151,Everton,West Ham,Everton,West Ham,Everton_West_Ham,Everton_West Ham_2017,34.285714285714285,3.2142857142857144,0.0,0.0,1.0714285714285714,3.2142857142857144,3.2142857142857144,0.0,0.0,81.42857142857143,2.142857142857143,1.0714285714285714,0.0,1.2857142857142856,0.4285714285714286,0.0,2.142857142857143,1.0714285714285714,51.42857142857143,66.42857142857143,82.92857142857143,4.285714285714286,46.07142857142857,2.142857142857143,1.0714285714285714,1.0714285714285714,1030.7142857142858,348.2142857142857,18.214285714285715,21.428571428571427,91.07142857142857,23.57142857142857,25.714285714285715,98.25,8.571428571428571,13.928571428571429,65.89285714285714,0.0,0.0,7.5,1.0714285714285714,0.0,63.214285714285715,2.142857142857143,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,1.0714285714285714,2.142857142857143,1.0714285714285714,1.0714285714285714,0.0,1.0714285714285714,1.0714285714285714,5.357142857142857,21.428571428571427,4.285714285714286,0.0,0.0,3.2142857142857144,4.285714285714286,0.0,5.357142857142857,25.714285714285715,45.0,10.714285714285714,3.2142857142857144,80.35714285714286,107.14285714285714,0.0,0.0,232.5,125.35714285714286,1.0714285714285714,0.0,1.0714285714285714,1.0714285714285714,52.5,1.0714285714285714,0.0,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,2.142857142857143,0.0,1.0,1.6071428571428572,1.1785714285714286,4.285714285714286,0.0,161.78571428571428
Beni Baningime,COD,19,6.0,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,0.0,6.0,0.0,0.0,0.0,96.0,8.0,2.0,2.0,100.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,25.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,Everton,West Ham,14,2017-2018,CM,None,None,None,2017,0.06666666666666667,Everton_West_Ham,Everton_West_Ham_2017,Everton,West Ham,2017,14,Everton,1.5,1.1,West Ham,4.0,0.0,2017-11-29,Michael Oliver,Goodison Park,Wed,20:00,"38,242",151,Everton,West Ham,Everton,West Ham,Everton_West_Ham,Everton_West Ham_2017,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,1500.0,0.0,90.0,0.0,0.0,0.0,1440.0,120.0,30.0,30.0,1500.0,60.0,60.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,75.0,0.0,0.0,90.0,0.0,0.0,0.0,375.0,180.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.5,16.5,60.0,0.0,2265.0
Tom Davies,ENG,19,90.0,0,0,0,0,0,0,1,0,44.0,1.0,3,0.0,0.0,0.0,0.1,2.0,0.0,28.0,33.0,84.8,5.0,27.0,2.0,0.0,0.0,369.0,132.0,17.0,18.0,94.4,7.0,9.0,77.8,2.0,2.0,100.0,0.1,1.0,1.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,7.0,14.3,6.0,0.0,0.0,4.0,1.0,0.0,3.0,13.0,18.0,13.0,2.0,44.0,0.0,0.0,0.0,165.0,76.0,1.0,2.0,2.0,2.0,32.0,3.0,0,2,3,0,0.0,0.0,0,4.0,2.0,0.0,100.0,True,Everton,West Ham,14,2017-2018,CM,None,None,None,2017,1.0,Everton_West_Ham,Everton_West_Ham_2017,Everton,West Ham,2017,14,Everton,1.5,1.1,West Ham,4.0,0.0,2017-11-29,Michael Oliver,Goodison Park,Wed,20:00,"38,242",151,Everton,West Ham,Everton,West Ham,Everton_West_Ham,Everton_West Ham_2017,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,1.0,3.0,0.0,0.0,0.0,0.1,2.0,0.0,28.0,33.0,84.8,5.0,27.0,2.0,0.0,0.0,369.0,132.0,17.0,18.0,94.4,7.0,9.0,77.8,2.0,2.0,100.0,0.1,1.0,1.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,14.3,6.0,0.0,0.0,4.0,1.0,0.0,3.0,13.0,18.0,13.0,2.0,44.0,0.0,0.0,0.0,165.0,76.0,1.0,2.0,2.0,2.0,32.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0,1.0,1.5,1.1,4.0,0.0,151.0
Aaron Lennon,ENG,30,88.0,0,0,0,0,0,0,0,0,42.0,3.0,1,3.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,73.3,0.0,19.0,0.0,3.0,2.0,261.0,64.0,15.0,21.0,71.4,6.0,8.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,7.0,20.0,15.0,0.0,42.0,66.7,1.0,33.3,86.0,34.0,2.0,0.0,2.0,2.0,28.0,2.0,0,3,0,0,0.0,0.0,0,3.0,2.0,2.0,50.0,True,Everton,West Ham,14,2017-2018,RM,LM,None,None,2017,0.9777777777777777,Everton_West_Ham,Everton_West_Ham_2017,Everton,West Ham,2017,14,Everton,1.5,1.1,West Ham,4.0,0.0,2017-11-29,Michael Oliver,Goodison Park,Wed,20:00,"38,242",151,Everton,West Ham,Everton,West Ham,Everton_West_Ham,Everton_West Ham_2017,30.681818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.95454545454545,3.0681818181818183,1.0227272727272727,3.0681818181818183,0.0,0.0,0.0,0.0,0.0,22.5,30.681818181818183,74.9659090909091,0.0,19.431818181818183,0.0,3.0681818181818183,2.0454545454545454,266.9318181818182,65.45454545454545,15.340909090909092,21.477272727272727,73.02272727272728,6.136363636363637,8.181818181818182,76.70454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.65909090909091,1.0227272727272727,0.0,0.0,0.0,1.0227272727272727,1.0227272727272727,0.0,0.0,0.0,0.0,0.0,1.0227272727272727,1.0227272727272727,1.0227272727272727,2.0454545454545454,0.0,0.0,2.0454545454545454,0.0,2.0454545454545454,0.0,3.0681818181818183,4.090909090909091,0.0,0.0,0.0,7.159090909090909,20.454545454545457,15.340909090909092,0.0,42.95454545454545,68.2159090909091,1.0227272727272727,34.05681818181818,87.95454545454545,34.77272727272727,2.0454545454545454,0.0,2.0454545454545454,2.0454545454545454,28.636363636363637,2.0454545454545454,0.0,3.0681818181818183,0.0,0.0,0.0,0.0,0.0,3.0681818181818183,2.0454545454545454,2.0454545454545454,51.13636363636364,1.0,1.5340909090909092,1.1250000000000002,4.090909090909091,0.0,154.4318181818182
Ademola Lookman,NGA,20,2.0,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,3.0,1.0,1.0,1.0,52.0,13.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,100.0,0.0,0.0,50.0,38.0,1.0,0.0,0.0,0.0,3.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,Everton,West Ham,14,2017-2018,LM,None,None,None,2017,0.022222222222222223,Everton_West_Ham,Everton_West_Ham_2017,Everton,West Ham,2017,14,Everton,1.5,1.1,West Ham,4.0,0.0,2017-11-29,Michael Oliver,Goodison Park,Wed,20:00,"38,242",151,Everton,West Ham,Everton,West Ham,Everton_West_Ham,Everton_West Ham_2017,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,135.0,4500.0,45.0,135.0,45.0,45.0,45.0,2340.0,585.0,0.0,0.0,0.0,135.0,135.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,45.0,0.0,135.0,4500.0,0.0,0.0,2250.0,1710.0,45.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,67.5,49.5,180.0,0.0,6795.0
Idrissa Gana Gueye,SEN,28,90.0,0,0,0,0,0,0,0,0,56.0,3.0,4,0.0,0.0,0.0,0.1,1.0,0.0,43.0,46.0,93.5,0.0,37.0,1.0,1.0,1.0,722.0,143.0,23.0,25.0,92.0,16.0,17.0,94.1,4.0,4.0,100.0,0.0,1.0,2.0,0.0,0.0,46.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,7.0,3.0,0.0,6.0,22.0,34.0,1.0,0.0,56.0,100.0,0.0,0.0,162.0,78.0,0.0,0.0,0.0,0.0,33.0,1.0,0,0,0,0,0.0,0.0,0,12.0,1.0,2.0,33.3,True,Everton,West Ham,14,2017-2018,DM,None,None,None,2017,1.0,Everton_West_Ham,Everton_West_Ham_2017,Everton,West Ham,2017,14,Everton,1.5,1.1,West Ham,4.0,0.0,2017-11-29,Michael Oliver,Goodison Park,Wed,20:00,"38,242",151,Everton,West Ham,Everton,West Ham,Everton_West_Ham,Everton_West Ham_2017,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,3.0,4.0,0.0,0.0,0.0,0.1,1.0,0.0,43.0,46.0,93.5,0.0,37.0,1.0,1.0,1.0,722.0,143.0,23.0,25.0,92.0,16.0,17.0,94.1,4.0,4.0,100.0,0.0,1.0,2.0,0.0,0.0,46.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,7.0,3.0,0.0,6.0,22.0,34.0,1.0,0.0,56.0,100.0,0.0,0.0,162.0,78.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,33.3,1.0,1.5,1.1,4.0,0.0,151.0
Cuco Martina,CUW,28,90.0,0,0,0,0,0,0,0,0,64.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,42.0,76.2,3.0,23.0,1.0,0.0,0.0,551.0,229.0,16.0,18.0,88.9,11.0,14.0,78.6,4.0,8.0,50.0,0.0,0.0,1.0,2.0,1.0,35.0,7.0,0.0,0.0,0.0,2,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,2.0,1.0,4.0,5.0,80.0,1.0,0.0,0.0,4.0,15.0,0.0,7.0,34.0,24.0,6.0,0.0,64.0,0.0,0.0,0.0,72.0,46.0,0.0,0.0,2.0,0.0,32.0,4.0,0,2,0,0,0.0,0.0,0,1.0,3.0,1.0,75.0,True,Everton,West Ham,14,2017-2018,LB,None,None,None,2017,1.0,Everton_West_Ham,Everton_West_Ham_2017,Everton,West Ham,2017,14,Everton,1.5,1.1,West Ham,4.0,0.0,2017-11-29,Michael Oliver,Goodison Park,Wed,20:00,"38,242",151,Everton,West Ham,Everton,West Ham,Everton_West_Ham,Everton_West Ham_2017,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,42.0,76.2,3.0,23.0,1.0,0.0,0.0,551.0,229.0,16.0,18.0,88.9,11.0,14.0,78.6,4.0,8.0,50.0,0.0,0.0,1.0,2.0,1.0,35.0,7.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,4.0,5.0,80.0,1.0,0.0,0.0,4.0,15.0,0.0,7.0,34.0,24.0,6.0,0.0,64.0,0.0,0.0,0.0,72.0,46.0,0.0,0.0,2.0,0.0,32.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,75.0,1.0,1.5,1.1,4.0,0.0,151.0
