player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Tammy Abraham,ENG,21,76.0,0,0,0,0,3,1,0,0,24.0,0.0,1,0.0,0.6,0.6,0.0,1.0,0.0,10.0,16.0,62.5,1.0,12.0,2.0,0.0,0.0,141.0,19.0,3.0,7.0,42.9,5.0,6.0,83.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,15.0,7.0,3.0,24.0,0.0,0.0,0.0,81.0,41.0,2.0,1.0,3.0,1.0,18.0,2.0,0,0,1,3,0.0,0.0,0,0.0,4.0,4.0,50.0,True,Chelsea,Liverpool,6,2019-2020,FW,None,None,None,2019,0.8444444444444444,Chelsea_Liverpool,Chelsea_Liverpool_2019,Chelsea,Liverpool,2019,6,Chelsea,1.3,0.6,Liverpool,1.0,2.0,2019-09-22,Michael Oliver,Stamford Bridge,Sun,16:30,"40,638",63,Liverpool,Chelsea,Chelsea,Liverpool,Chelsea_Liverpool,Chelsea_Liverpool_2019,24.86842105263158,0.0,0.0,0.0,0.0,3.5526315789473686,1.1842105263157894,0.0,0.0,28.42105263157895,0.0,1.1842105263157894,0.0,0.7105263157894737,0.7105263157894737,0.0,1.1842105263157894,0.0,11.842105263157896,18.94736842105263,74.01315789473684,1.1842105263157894,14.210526315789474,2.3684210526315788,0.0,0.0,166.97368421052633,22.5,3.5526315789473686,8.289473684210526,50.80263157894737,5.921052631578948,7.105263157894737,98.64473684210526,0.0,0.0,0.0,0.0,0.0,1.1842105263157894,0.0,0.0,15.394736842105264,3.5526315789473686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1842105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1842105263157894,1.1842105263157894,0.0,1.1842105263157894,2.3684210526315788,17.763157894736842,8.289473684210526,3.5526315789473686,28.42105263157895,0.0,0.0,0.0,95.92105263157895,48.55263157894737,2.3684210526315788,1.1842105263157894,3.5526315789473686,1.1842105263157894,21.31578947368421,2.3684210526315788,0.0,0.0,1.1842105263157894,3.5526315789473686,0.0,0.0,0.0,0.0,4.7368421052631575,4.7368421052631575,59.21052631578947,1.0,1.5394736842105263,0.7105263157894737,1.1842105263157894,2.3684210526315788,74.60526315789474
Michy Batshuayi,BEL,25,14.0,0,0,0,0,2,0,0,0,4.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,1.0,100.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0,0,1,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,Chelsea,Liverpool,6,2019-2020,FW,None,None,None,2019,0.15555555555555556,Chelsea_Liverpool,Chelsea_Liverpool_2019,Chelsea,Liverpool,2019,6,Chelsea,1.3,0.6,Liverpool,1.0,2.0,2019-09-22,Michael Oliver,Stamford Bridge,Sun,16:30,"40,638",63,Liverpool,Chelsea,Chelsea,Liverpool,Chelsea_Liverpool,Chelsea_Liverpool_2019,160.71428571428572,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,25.714285714285715,0.0,0.0,0.0,0.6428571428571429,0.6428571428571429,0.0,0.0,0.0,6.428571428571429,6.428571428571429,642.8571428571429,0.0,25.714285714285715,0.0,0.0,0.0,70.71428571428571,0.0,6.428571428571429,6.428571428571429,642.8571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,6.428571428571429,12.857142857142858,12.857142857142858,25.714285714285715,0.0,0.0,0.0,57.857142857142854,12.857142857142858,0.0,0.0,0.0,6.428571428571429,19.285714285714285,0.0,0.0,0.0,6.428571428571429,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,0.0,1.0,8.357142857142858,3.8571428571428568,6.428571428571429,12.857142857142858,405.0
Mason Mount,ENG,20,90.0,0,0,0,0,1,0,0,0,42.0,2.0,0,2.0,0.3,0.3,0.1,3.0,0.0,20.0,29.0,69.0,1.0,21.0,2.0,1.0,0.0,265.0,59.0,13.0,13.0,100.0,2.0,6.0,33.3,3.0,5.0,60.0,0.1,1.0,0.0,0.0,0.0,22.0,6.0,1.0,0.0,0.0,5,1.0,4.0,3.0,0.0,0.0,1.0,2.0,0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,18.0,19.0,4.0,42.0,0.0,1.0,100.0,120.0,50.0,1.0,0.0,6.0,1.0,24.0,7.0,0,2,0,1,0.0,0.0,0,6.0,0.0,2.0,0.0,True,Chelsea,Liverpool,6,2019-2020,LW,None,None,None,2019,1.0,Chelsea_Liverpool,Chelsea_Liverpool_2019,Chelsea,Liverpool,2019,6,Chelsea,1.3,0.6,Liverpool,1.0,2.0,2019-09-22,Michael Oliver,Stamford Bridge,Sun,16:30,"40,638",63,Liverpool,Chelsea,Chelsea,Liverpool,Chelsea_Liverpool,Chelsea_Liverpool_2019,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,2.0,0.0,2.0,0.3,0.3,0.1,3.0,0.0,20.0,29.0,69.0,1.0,21.0,2.0,1.0,0.0,265.0,59.0,13.0,13.0,100.0,2.0,6.0,33.3,3.0,5.0,60.0,0.1,1.0,0.0,0.0,0.0,22.0,6.0,1.0,0.0,0.0,5.0,1.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,18.0,19.0,4.0,42.0,0.0,1.0,100.0,120.0,50.0,1.0,0.0,6.0,1.0,24.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,1.3,0.6,1.0,2.0,63.0
Willian,BRA,31,90.0,0,0,0,0,1,0,0,0,63.0,1.0,0,2.0,0.0,0.0,0.0,2.0,0.0,36.0,50.0,72.0,4.0,43.0,3.0,2.0,2.0,576.0,118.0,20.0,22.0,90.9,12.0,17.0,70.6,3.0,7.0,42.9,0.0,0.0,2.0,2.0,0.0,45.0,3.0,1.0,1.0,3.0,3,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,7.0,27.0,30.0,1.0,63.0,100.0,0.0,0.0,250.0,113.0,4.0,0.0,3.0,1.0,50.0,5.0,0,0,3,1,0.0,0.0,0,5.0,0.0,0.0,0.0,True,Chelsea,Liverpool,6,2019-2020,RW,None,None,None,2019,1.0,Chelsea_Liverpool,Chelsea_Liverpool_2019,Chelsea,Liverpool,2019,6,Chelsea,1.3,0.6,Liverpool,1.0,2.0,2019-09-22,Michael Oliver,Stamford Bridge,Sun,16:30,"40,638",63,Liverpool,Chelsea,Chelsea,Liverpool,Chelsea_Liverpool,Chelsea_Liverpool_2019,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,36.0,50.0,72.0,4.0,43.0,3.0,2.0,2.0,576.0,118.0,20.0,22.0,90.9,12.0,17.0,70.6,3.0,7.0,42.9,0.0,0.0,2.0,2.0,0.0,45.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,7.0,27.0,30.0,1.0,63.0,100.0,0.0,0.0,250.0,113.0,4.0,0.0,3.0,1.0,50.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.3,0.6,1.0,2.0,63.0
Mateo Kovacic,CRO,25,90.0,0,0,0,0,1,0,1,0,66.0,1.0,2,2.0,0.0,0.0,0.0,2.0,1.0,48.0,56.0,85.7,10.0,38.0,3.0,1.0,1.0,810.0,230.0,21.0,24.0,87.5,18.0,19.0,94.7,5.0,8.0,62.5,0.0,0.0,9.0,1.0,0.0,53.0,3.0,1.0,0.0,3.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,18.0,31.0,17.0,0.0,66.0,100.0,0.0,0.0,232.0,129.0,0.0,0.0,1.0,0.0,46.0,2.0,0,0,2,0,0.0,0.0,0,4.0,0.0,1.0,0.0,True,Chelsea,Liverpool,6,2019-2020,LM,None,None,None,2019,1.0,Chelsea_Liverpool,Chelsea_Liverpool_2019,Chelsea,Liverpool,2019,6,Chelsea,1.3,0.6,Liverpool,1.0,2.0,2019-09-22,Michael Oliver,Stamford Bridge,Sun,16:30,"40,638",63,Liverpool,Chelsea,Chelsea,Liverpool,Chelsea_Liverpool,Chelsea_Liverpool_2019,25.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,66.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,48.0,56.0,85.7,10.0,38.0,3.0,1.0,1.0,810.0,230.0,21.0,24.0,87.5,18.0,19.0,94.7,5.0,8.0,62.5,0.0,0.0,9.0,1.0,0.0,53.0,3.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,18.0,31.0,17.0,0.0,66.0,100.0,0.0,0.0,232.0,129.0,0.0,0.0,1.0,0.0,46.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1.3,0.6,1.0,2.0,63.0
Jorginho,ITA,27,90.0,0,0,0,0,1,0,0,0,86.0,1.0,2,0.0,0.0,0.0,0.0,3.0,0.0,61.0,74.0,82.4,7.0,45.0,0.0,0.0,0.0,1225.0,403.0,30.0,31.0,96.8,17.0,23.0,73.9,14.0,18.0,77.8,0.0,1.0,7.0,0.0,0.0,69.0,4.0,4.0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,3.0,1.0,0.0,7.0,29.0,45.0,13.0,0.0,86.0,0.0,0.0,0.0,153.0,76.0,0.0,0.0,0.0,1.0,53.0,0.0,0,0,0,0,0.0,0.0,0,8.0,1.0,0.0,100.0,True,Chelsea,Liverpool,6,2019-2020,CM,None,None,None,2019,1.0,Chelsea_Liverpool,Chelsea_Liverpool_2019,Chelsea,Liverpool,2019,6,Chelsea,1.3,0.6,Liverpool,1.0,2.0,2019-09-22,Michael Oliver,Stamford Bridge,Sun,16:30,"40,638",63,Liverpool,Chelsea,Chelsea,Liverpool,Chelsea_Liverpool,Chelsea_Liverpool_2019,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,86.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,61.0,74.0,82.4,7.0,45.0,0.0,0.0,0.0,1225.0,403.0,30.0,31.0,96.8,17.0,23.0,73.9,14.0,18.0,77.8,0.0,1.0,7.0,0.0,0.0,69.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,3.0,1.0,0.0,7.0,29.0,45.0,13.0,0.0,86.0,0.0,0.0,0.0,153.0,76.0,0.0,0.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,100.0,1.0,1.3,0.6,1.0,2.0,63.0
N'Golo Kante,FRA,28,90.0,1,0,0,0,2,1,0,0,52.0,2.0,2,1.0,0.1,0.1,0.0,1.0,0.0,31.0,39.0,79.5,3.0,25.0,2.0,3.0,2.0,369.0,151.0,19.0,23.0,82.6,8.0,9.0,88.9,1.0,2.0,50.0,0.0,0.0,2.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,6.0,15.0,22.0,16.0,1.0,52.0,66.7,1.0,33.3,150.0,55.0,1.0,0.0,2.0,3.0,32.0,4.0,0,1,1,0,0.0,0.0,0,11.0,2.0,3.0,40.0,True,Chelsea,Liverpool,6,2019-2020,RM,None,None,None,2019,1.0,Chelsea_Liverpool,Chelsea_Liverpool_2019,Chelsea,Liverpool,2019,6,Chelsea,1.3,0.6,Liverpool,1.0,2.0,2019-09-22,Michael Oliver,Stamford Bridge,Sun,16:30,"40,638",63,Liverpool,Chelsea,Chelsea,Liverpool,Chelsea_Liverpool,Chelsea_Liverpool_2019,28.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,52.0,2.0,2.0,1.0,0.1,0.1,0.0,1.0,0.0,31.0,39.0,79.5,3.0,25.0,2.0,3.0,2.0,369.0,151.0,19.0,23.0,82.6,8.0,9.0,88.9,1.0,2.0,50.0,0.0,0.0,2.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,6.0,15.0,22.0,16.0,1.0,52.0,66.7,1.0,33.3,150.0,55.0,1.0,0.0,2.0,3.0,32.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,3.0,40.0,1.0,1.3,0.6,1.0,2.0,63.0
Emerson Palmieri,ITA,25,14.0,0,0,0,0,0,0,0,0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,75.0,0.0,2.0,0.0,0.0,0.0,63.0,47.0,3.0,5.0,60.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,Chelsea,Liverpool,6,2019-2020,LB,None,None,None,2019,0.15555555555555556,Chelsea_Liverpool,Chelsea_Liverpool_2019,Chelsea,Liverpool,2019,6,Chelsea,1.3,0.6,Liverpool,1.0,2.0,2019-09-22,Michael Oliver,Stamford Bridge,Sun,16:30,"40,638",63,Liverpool,Chelsea,Chelsea,Liverpool,Chelsea_Liverpool,Chelsea_Liverpool_2019,160.71428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.57142857142857,51.42857142857143,482.1428571428571,0.0,12.857142857142858,0.0,0.0,0.0,405.0,302.1428571428571,19.285714285714285,32.14285714285714,385.7142857142857,0.0,0.0,0.0,6.428571428571429,6.428571428571429,642.8571428571429,0.0,0.0,0.0,0.0,0.0,38.57142857142857,12.857142857142858,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.714285714285715,25.714285714285715,0.0,0.0,51.42857142857143,0.0,0.0,0.0,12.857142857142858,12.857142857142858,0.0,0.0,0.0,0.0,19.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,1.0,8.357142857142858,3.8571428571428568,6.428571428571429,12.857142857142858,405.0
Marcos Alonso,ESP,28,76.0,0,0,0,0,1,0,1,0,90.0,1.0,4,1.0,0.0,0.0,0.4,4.0,0.0,55.0,75.0,73.3,1.0,48.0,6.0,0.0,0.0,768.0,175.0,35.0,40.0,87.5,17.0,23.0,73.9,1.0,6.0,16.7,0.2,3.0,0.0,3.0,2.0,58.0,17.0,0.0,0.0,0.0,11,16.0,1.0,1.0,0.0,0.0,0.0,4.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,26.0,24.0,41.0,1.0,90.0,0.0,0.0,0.0,322.0,184.0,3.0,0.0,4.0,1.0,51.0,12.0,0,1,0,1,0.0,0.0,0,5.0,2.0,3.0,40.0,True,Chelsea,Liverpool,6,2019-2020,LB,None,None,None,2019,0.8444444444444444,Chelsea_Liverpool,Chelsea_Liverpool_2019,Chelsea,Liverpool,2019,6,Chelsea,1.3,0.6,Liverpool,1.0,2.0,2019-09-22,Michael Oliver,Stamford Bridge,Sun,16:30,"40,638",63,Liverpool,Chelsea,Chelsea,Liverpool,Chelsea_Liverpool,Chelsea_Liverpool_2019,33.1578947368421,0.0,0.0,0.0,0.0,1.1842105263157894,0.0,1.1842105263157894,0.0,106.57894736842105,1.1842105263157894,4.7368421052631575,1.1842105263157894,0.0,0.0,0.4736842105263158,4.7368421052631575,0.0,65.13157894736842,88.8157894736842,86.80263157894737,1.1842105263157894,56.8421052631579,7.105263157894737,0.0,0.0,909.4736842105264,207.23684210526315,41.44736842105263,47.36842105263158,103.61842105263158,20.13157894736842,27.236842105263158,87.51315789473685,1.1842105263157894,7.105263157894737,19.776315789473685,0.2368421052631579,3.5526315789473686,0.0,3.5526315789473686,2.3684210526315788,68.6842105263158,20.13157894736842,0.0,0.0,0.0,13.026315789473685,18.94736842105263,1.1842105263157894,1.1842105263157894,0.0,0.0,0.0,4.7368421052631575,1.1842105263157894,1.1842105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1842105263157894,5.921052631578948,1.1842105263157894,0.0,1.1842105263157894,30.789473684210527,28.42105263157895,48.55263157894737,1.1842105263157894,106.57894736842105,0.0,0.0,0.0,381.3157894736842,217.89473684210526,3.5526315789473686,0.0,4.7368421052631575,1.1842105263157894,60.39473684210526,14.210526315789474,0.0,1.1842105263157894,0.0,1.1842105263157894,0.0,0.0,0.0,5.921052631578948,2.3684210526315788,3.5526315789473686,47.36842105263158,1.0,1.5394736842105263,0.7105263157894737,1.1842105263157894,2.3684210526315788,74.60526315789474
Fikayo Tomori,ENG,21,90.0,0,0,0,0,1,0,1,0,66.0,5.0,1,0.0,0.1,0.1,0.0,3.0,0.0,43.0,53.0,81.1,3.0,39.0,1.0,1.0,1.0,828.0,260.0,14.0,17.0,82.4,21.0,22.0,95.5,6.0,12.0,50.0,0.0,1.0,5.0,0.0,0.0,51.0,2.0,1.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,8.0,35.0,28.0,4.0,3.0,66.0,100.0,0.0,0.0,188.0,73.0,0.0,0.0,0.0,0.0,41.0,0.0,0,1,2,0,0.0,0.0,0,8.0,1.0,2.0,33.3,True,Chelsea,Liverpool,6,2019-2020,CB,None,None,None,2019,1.0,Chelsea_Liverpool,Chelsea_Liverpool_2019,Chelsea,Liverpool,2019,6,Chelsea,1.3,0.6,Liverpool,1.0,2.0,2019-09-22,Michael Oliver,Stamford Bridge,Sun,16:30,"40,638",63,Liverpool,Chelsea,Chelsea,Liverpool,Chelsea_Liverpool,Chelsea_Liverpool_2019,21.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,66.0,5.0,1.0,0.0,0.1,0.1,0.0,3.0,0.0,43.0,53.0,81.1,3.0,39.0,1.0,1.0,1.0,828.0,260.0,14.0,17.0,82.4,21.0,22.0,95.5,6.0,12.0,50.0,0.0,1.0,5.0,0.0,0.0,51.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,8.0,35.0,28.0,4.0,3.0,66.0,100.0,0.0,0.0,188.0,73.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,33.3,1.0,1.3,0.6,1.0,2.0,63.0
Andreas Christensen,DEN,23,41.0,0,0,0,0,0,0,0,0,22.0,0.0,1,1.0,0.0,0.0,0.4,1.0,0.0,18.0,18.0,100.0,2.0,13.0,0.0,0.0,0.0,350.0,116.0,5.0,5.0,100.0,11.0,11.0,100.0,2.0,2.0,100.0,0.1,1.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,14.0,7.0,1.0,0.0,22.0,0.0,0.0,0.0,93.0,34.0,0.0,0.0,0.0,0.0,15.0,0.0,0,1,1,0,0.0,0.0,0,1.0,1.0,0.0,100.0,True,Chelsea,Liverpool,6,2019-2020,CB,None,None,None,2019,0.45555555555555555,Chelsea_Liverpool,Chelsea_Liverpool_2019,Chelsea,Liverpool,2019,6,Chelsea,1.3,0.6,Liverpool,1.0,2.0,2019-09-22,Michael Oliver,Stamford Bridge,Sun,16:30,"40,638",63,Liverpool,Chelsea,Chelsea,Liverpool,Chelsea_Liverpool,Chelsea_Liverpool_2019,50.487804878048784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.29268292682927,0.0,2.1951219512195124,2.1951219512195124,0.0,0.0,0.878048780487805,2.1951219512195124,0.0,39.51219512195122,39.51219512195122,219.51219512195124,4.390243902439025,28.53658536585366,0.0,0.0,0.0,768.2926829268292,254.6341463414634,10.975609756097562,10.975609756097562,219.51219512195124,24.146341463414636,24.146341463414636,219.51219512195124,4.390243902439025,4.390243902439025,219.51219512195124,0.21951219512195125,2.1951219512195124,2.1951219512195124,0.0,0.0,39.51219512195122,0.0,0.0,2.1951219512195124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1951219512195124,0.0,2.1951219512195124,0.0,0.0,2.1951219512195124,30.73170731707317,15.365853658536585,2.1951219512195124,0.0,48.29268292682927,0.0,0.0,0.0,204.14634146341464,74.63414634146342,0.0,0.0,0.0,0.0,32.926829268292686,0.0,0.0,2.1951219512195124,2.1951219512195124,0.0,0.0,0.0,0.0,2.1951219512195124,2.1951219512195124,0.0,219.51219512195124,1.0,2.853658536585366,1.3170731707317074,2.1951219512195124,4.390243902439025,138.29268292682926
