player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Raul Jimenez,MEX,30,89.0,1,0,0,0,3,1,0,0,56.0,0.0,1,1.0,0.2,0.2,0.0,1.0,1.0,33.0,43.0,76.7,4.0,44.0,3.0,5.0,4.0,459.0,86.0,19.0,22.0,86.4,12.0,14.0,85.7,1.0,2.0,50.0,0.1,0.0,3.0,0.0,0.0,39.0,3.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,28.0,24.0,6.0,56.0,80.0,1.0,20.0,184.0,91.0,1.0,3.0,8.0,1.0,47.0,8.0,0,2,1,0,0.0,0.0,0,4.0,5.0,5.0,50.0,True,2021-2022,FW,None,None,None,0.9888888888888889,Everton_Wolves,Everton_Wolves_2021,1.7,1.5,2.0,1.0,2021-11-01,Martin Atkinson,Molineux Stadium,Mon,20:00,"30,617",108,Wolves,Everton,30.337078651685392,1.0112359550561798,0.0,0.0,0.0,3.033707865168539,1.0112359550561798,0.0,0.0,56.62921348314607,0.0,1.0112359550561798,1.0112359550561798,0.20224719101123595,0.20224719101123595,0.0,1.0112359550561798,1.0112359550561798,33.37078651685393,43.48314606741573,77.56179775280899,4.044943820224719,44.49438202247191,3.033707865168539,5.056179775280898,4.044943820224719,464.1573033707865,86.96629213483146,19.213483146067414,22.247191011235955,87.37078651685394,12.134831460674157,14.157303370786517,86.66292134831461,1.0112359550561798,2.0224719101123596,50.561797752808985,0.10112359550561797,0.0,3.033707865168539,0.0,0.0,39.43820224719101,3.033707865168539,0.0,0.0,0.0,0.0,1.0112359550561798,0.0,0.0,0.0,0.0,1.0112359550561798,2.0224719101123596,0.0,0.0,0.0,0.0,0.0,1.0112359550561798,0.0,1.0112359550561798,0.0,1.0112359550561798,1.0112359550561798,0.0,0.0,0.0,4.044943820224719,28.314606741573034,24.269662921348313,6.067415730337078,56.62921348314607,80.89887640449437,1.0112359550561798,20.224719101123593,186.06741573033707,92.02247191011236,1.0112359550561798,3.033707865168539,8.089887640449438,1.0112359550561798,47.52808988764045,8.089887640449438,0.0,2.0224719101123596,1.0112359550561798,0.0,0.0,0.0,0.0,4.044943820224719,5.056179775280898,5.056179775280898,50.561797752808985,1.0,1.7191011235955056,1.5168539325842696,2.0224719101123596,1.0112359550561798,109.21348314606742
Leander Dendoncker,BEL,26,1.0,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,1.0,0.0,0.0,0.0,42.0,23.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2021-2022,FW,None,None,None,0.011111111111111112,Everton_Wolves,Everton_Wolves_2021,1.7,1.5,2.0,1.0,2021-11-01,Martin Atkinson,Molineux Stadium,Mon,20:00,"30,617",108,Wolves,Everton,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,180.0,9000.0,90.0,90.0,0.0,0.0,0.0,3780.0,2070.0,90.0,90.0,9000.0,0.0,0.0,0.0,90.0,90.0,9000.0,0.0,0.0,90.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,90.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,1.0,153.0,135.0,180.0,90.0,9720.0
Hwang Hee-chan,KOR,25,89.0,0,0,0,0,0,0,0,0,60.0,5.0,0,0.0,0.0,0.0,0.0,4.0,0.0,37.0,47.0,78.7,3.0,44.0,6.0,6.0,3.0,558.0,126.0,23.0,27.0,85.2,11.0,14.0,78.6,2.0,5.0,40.0,0.2,0.0,3.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,4.0,1.0,2.0,4.0,50.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,4.0,40.0,18.0,3.0,60.0,50.0,3.0,50.0,290.0,154.0,3.0,2.0,2.0,4.0,46.0,11.0,0,2,2,1,0.0,0.0,0,12.0,0.0,1.0,0.0,True,2021-2022,AM,None,None,None,0.9888888888888889,Everton_Wolves,Everton_Wolves_2021,1.7,1.5,2.0,1.0,2021-11-01,Martin Atkinson,Molineux Stadium,Mon,20:00,"30,617",108,Wolves,Everton,25.280898876404493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.674157303370784,5.056179775280898,0.0,0.0,0.0,0.0,0.0,4.044943820224719,0.0,37.41573033707865,47.52808988764045,79.58426966292134,3.033707865168539,44.49438202247191,6.067415730337078,6.067415730337078,3.033707865168539,564.2696629213483,127.41573033707864,23.258426966292134,27.303370786516854,86.15730337078652,11.123595505617978,14.157303370786517,79.48314606741572,2.0224719101123596,5.056179775280898,40.44943820224719,0.20224719101123595,0.0,3.033707865168539,0.0,0.0,47.52808988764045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.044943820224719,0.0,4.044943820224719,1.0112359550561798,2.0224719101123596,4.044943820224719,50.561797752808985,2.0224719101123596,0.0,0.0,5.056179775280898,0.0,0.0,2.0224719101123596,4.044943820224719,40.44943820224719,18.202247191011235,3.033707865168539,60.674157303370784,50.561797752808985,3.033707865168539,50.561797752808985,293.2584269662921,155.73033707865167,3.033707865168539,2.0224719101123596,2.0224719101123596,4.044943820224719,46.51685393258427,11.123595505617978,0.0,2.0224719101123596,2.0224719101123596,1.0112359550561798,0.0,0.0,0.0,12.134831460674157,0.0,1.0112359550561798,0.0,1.0,1.7191011235955056,1.5168539325842696,2.0224719101123596,1.0112359550561798,109.21348314606742
Fabio Silva,POR,19,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,True,2021-2022,AM,None,None,None,0.011111111111111112,Everton_Wolves,Everton_Wolves_2021,1.7,1.5,2.0,1.0,2021-11-01,Martin Atkinson,Molineux Stadium,Mon,20:00,"30,617",108,Wolves,Everton,1710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1.0,153.0,135.0,180.0,90.0,9720.0
Francisco Trincao,POR,21,78.0,0,0,0,0,3,1,0,0,50.0,2.0,1,1.0,0.6,0.6,0.0,3.0,0.0,27.0,33.0,81.8,3.0,25.0,2.0,6.0,3.0,566.0,58.0,8.0,10.0,80.0,15.0,16.0,93.8,4.0,4.0,100.0,0.0,1.0,4.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,28.0,19.0,3.0,50.0,50.0,3.0,50.0,165.0,79.0,2.0,1.0,6.0,0.0,40.0,8.0,0,1,2,0,0.0,0.0,0,3.0,1.0,0.0,100.0,True,2021-2022,AM,None,None,None,0.8666666666666667,Everton_Wolves,Everton_Wolves_2021,1.7,1.5,2.0,1.0,2021-11-01,Martin Atkinson,Molineux Stadium,Mon,20:00,"30,617",108,Wolves,Everton,24.23076923076923,0.0,0.0,0.0,0.0,3.4615384615384612,1.1538461538461537,0.0,0.0,57.69230769230769,2.3076923076923075,1.1538461538461537,1.1538461538461537,0.6923076923076923,0.6923076923076923,0.0,3.4615384615384612,0.0,31.153846153846153,38.07692307692307,94.38461538461537,3.4615384615384612,28.846153846153847,2.3076923076923075,6.9230769230769225,3.4615384615384612,653.0769230769231,66.92307692307692,9.23076923076923,11.538461538461538,92.3076923076923,17.307692307692307,18.46153846153846,108.23076923076923,4.615384615384615,4.615384615384615,115.38461538461539,0.0,1.1538461538461537,4.615384615384615,0.0,0.0,38.07692307692307,0.0,0.0,0.0,1.1538461538461537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3076923076923075,2.3076923076923075,2.3076923076923075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1538461538461537,3.4615384615384612,0.0,0.0,0.0,4.615384615384615,32.30769230769231,21.923076923076923,3.4615384615384612,57.69230769230769,57.69230769230769,3.4615384615384612,57.69230769230769,190.3846153846154,91.15384615384615,2.3076923076923075,1.1538461538461537,6.9230769230769225,0.0,46.15384615384615,9.23076923076923,0.0,1.1538461538461537,2.3076923076923075,0.0,0.0,0.0,0.0,3.4615384615384612,1.1538461538461537,0.0,115.38461538461539,1.0,1.9615384615384615,1.7307692307692306,2.3076923076923075,1.1538461538461537,124.61538461538461
Daniel Podence,POR,26,12.0,0,0,0,0,0,0,0,0,6.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,4.0,0.0,2.0,1.0,10.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,6.0,50.0,1.0,50.0,13.0,8.0,0.0,0.0,1.0,2.0,5.0,1.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2021-2022,AM,None,None,None,0.13333333333333333,Everton_Wolves,Everton_Wolves_2021,1.7,1.5,2.0,1.0,2021-11-01,Martin Atkinson,Molineux Stadium,Mon,20:00,"30,617",108,Wolves,Everton,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,15.0,22.5,500.25,0.0,30.0,0.0,15.0,7.5,75.0,0.0,7.5,15.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,7.5,0.0,7.5,0.0,0.0,0.0,0.0,0.0,15.0,30.0,0.0,45.0,375.0,7.5,375.0,97.5,60.0,0.0,0.0,7.5,15.0,37.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,1.0,12.75,11.25,15.0,7.5,810.0
Joao Moutinho,POR,35,90.0,0,0,0,0,0,0,0,0,78.0,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,65.0,73.0,89.0,9.0,53.0,1.0,0.0,0.0,1298.0,323.0,24.0,25.0,96.0,32.0,35.0,91.4,9.0,13.0,69.2,0.1,1.0,12.0,0.0,0.0,69.0,4.0,2.0,0.0,1.0,2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,3.0,33.3,2.0,0.0,0.0,3.0,0.0,0.0,1.0,9.0,57.0,12.0,0.0,78.0,0.0,0.0,0.0,149.0,68.0,0.0,0.0,1.0,0.0,56.0,1.0,0,0,0,0,0.0,0.0,0,7.0,0.0,1.0,0.0,True,2021-2022,CM,None,None,None,1.0,Everton_Wolves,Everton_Wolves_2021,1.7,1.5,2.0,1.0,2021-11-01,Martin Atkinson,Molineux Stadium,Mon,20:00,"30,617",108,Wolves,Everton,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,73.0,89.0,9.0,53.0,1.0,0.0,0.0,1298.0,323.0,24.0,25.0,96.0,32.0,35.0,91.4,9.0,13.0,69.2,0.1,1.0,12.0,0.0,0.0,69.0,4.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,33.3,2.0,0.0,0.0,3.0,0.0,0.0,1.0,9.0,57.0,12.0,0.0,78.0,0.0,0.0,0.0,149.0,68.0,0.0,0.0,1.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,1.7,1.5,2.0,1.0,108.0
Ruben Neves,POR,24,90.0,0,0,0,0,2,1,0,0,90.0,1.0,2,3.0,0.1,0.1,0.0,3.0,0.0,72.0,79.0,91.1,3.0,63.0,1.0,1.0,1.0,1642.0,323.0,15.0,17.0,88.2,46.0,47.0,97.9,11.0,13.0,84.6,0.0,0.0,6.0,0.0,0.0,78.0,1.0,1.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,22.0,60.0,9.0,1.0,90.0,100.0,0.0,0.0,209.0,93.0,3.0,0.0,2.0,2.0,67.0,1.0,0,1,1,0,0.0,0.0,0,9.0,1.0,3.0,25.0,True,2021-2022,CM,None,None,None,1.0,Everton_Wolves,Everton_Wolves_2021,1.7,1.5,2.0,1.0,2021-11-01,Martin Atkinson,Molineux Stadium,Mon,20:00,"30,617",108,Wolves,Everton,24.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,90.0,1.0,2.0,3.0,0.1,0.1,0.0,3.0,0.0,72.0,79.0,91.1,3.0,63.0,1.0,1.0,1.0,1642.0,323.0,15.0,17.0,88.2,46.0,47.0,97.9,11.0,13.0,84.6,0.0,0.0,6.0,0.0,0.0,78.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,22.0,60.0,9.0,1.0,90.0,100.0,0.0,0.0,209.0,93.0,3.0,0.0,2.0,2.0,67.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,3.0,25.0,1.0,1.7,1.5,2.0,1.0,108.0
Rayan Ait Nouri,ALG,20,90.0,0,1,0,0,0,0,1,0,82.0,0.0,0,1.0,0.0,0.0,0.1,3.0,1.0,60.0,74.0,81.1,7.0,57.0,5.0,8.0,4.0,1055.0,350.0,28.0,35.0,80.0,28.0,31.0,90.3,4.0,5.0,80.0,0.1,2.0,1.0,2.0,1.0,64.0,10.0,0.0,0.0,0.0,6,8.0,2.0,0.0,2.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,20.0,32.0,30.0,0.0,82.0,50.0,4.0,50.0,276.0,166.0,2.0,0.0,1.0,2.0,53.0,6.0,0,2,1,0,0.0,0.0,0,11.0,2.0,2.0,50.0,True,2021-2022,WB,None,None,None,1.0,Everton_Wolves,Everton_Wolves_2021,1.7,1.5,2.0,1.0,2021-11-01,Martin Atkinson,Molineux Stadium,Mon,20:00,"30,617",108,Wolves,Everton,20.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,82.0,0.0,0.0,1.0,0.0,0.0,0.1,3.0,1.0,60.0,74.0,81.1,7.0,57.0,5.0,8.0,4.0,1055.0,350.0,28.0,35.0,80.0,28.0,31.0,90.3,4.0,5.0,80.0,0.1,2.0,1.0,2.0,1.0,64.0,10.0,0.0,0.0,0.0,6.0,8.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,20.0,32.0,30.0,0.0,82.0,50.0,4.0,50.0,276.0,166.0,2.0,0.0,1.0,2.0,53.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,2.0,50.0,1.0,1.7,1.5,2.0,1.0,108.0
Nelson Semedo,POR,27,90.0,0,0,0,0,0,0,0,0,67.0,2.0,0,0.0,0.0,0.0,0.1,1.0,0.0,46.0,56.0,82.1,1.0,39.0,1.0,3.0,2.0,669.0,273.0,29.0,29.0,100.0,14.0,15.0,93.3,2.0,8.0,25.0,0.2,1.0,6.0,0.0,0.0,46.0,10.0,0.0,0.0,0.0,1,10.0,0.0,0.0,0.0,0.0,0.0,3.0,1,2.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,2.0,3.0,0.0,2.0,20.0,35.0,13.0,2.0,67.0,66.7,1.0,33.3,131.0,54.0,2.0,0.0,3.0,2.0,38.0,4.0,0,1,0,0,0.0,0.0,0,9.0,1.0,2.0,33.3,True,2021-2022,WB,None,None,None,1.0,Everton_Wolves,Everton_Wolves_2021,1.7,1.5,2.0,1.0,2021-11-01,Martin Atkinson,Molineux Stadium,Mon,20:00,"30,617",108,Wolves,Everton,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,2.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,46.0,56.0,82.1,1.0,39.0,1.0,3.0,2.0,669.0,273.0,29.0,29.0,100.0,14.0,15.0,93.3,2.0,8.0,25.0,0.2,1.0,6.0,0.0,0.0,46.0,10.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,2.0,3.0,0.0,2.0,20.0,35.0,13.0,2.0,67.0,66.7,1.0,33.3,131.0,54.0,2.0,0.0,3.0,2.0,38.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,33.3,1.0,1.7,1.5,2.0,1.0,108.0
Romain Saiss,MAR,31,90.0,0,0,0,0,0,0,0,0,92.0,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,72.0,82.0,87.8,7.0,60.0,0.0,0.0,0.0,1301.0,550.0,27.0,29.0,93.1,40.0,43.0,93.0,4.0,8.0,50.0,0.0,0.0,9.0,0.0,0.0,80.0,2.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,5.0,4.0,1.0,6.0,39.0,48.0,5.0,0.0,92.0,0.0,0.0,0.0,210.0,163.0,1.0,0.0,1.0,0.0,65.0,1.0,0,1,0,0,0.0,0.0,0,4.0,3.0,1.0,75.0,True,2021-2022,CB,None,None,None,1.0,Everton_Wolves,Everton_Wolves_2021,1.7,1.5,2.0,1.0,2021-11-01,Martin Atkinson,Molineux Stadium,Mon,20:00,"30,617",108,Wolves,Everton,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,82.0,87.8,7.0,60.0,0.0,0.0,0.0,1301.0,550.0,27.0,29.0,93.1,40.0,43.0,93.0,4.0,8.0,50.0,0.0,0.0,9.0,0.0,0.0,80.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,5.0,4.0,1.0,6.0,39.0,48.0,5.0,0.0,92.0,0.0,0.0,0.0,210.0,163.0,1.0,0.0,1.0,0.0,65.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,75.0,1.0,1.7,1.5,2.0,1.0,108.0
Conor Coady,ENG,28,90.0,0,0,0,0,1,0,0,0,69.0,0.0,1,2.0,0.6,0.6,0.0,1.0,0.0,57.0,62.0,91.9,1.0,47.0,0.0,0.0,0.0,1312.0,680.0,11.0,12.0,91.7,34.0,35.0,97.1,12.0,15.0,80.0,0.0,0.0,2.0,0.0,0.0,61.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,12.0,39.0,29.0,1.0,1.0,69.0,0.0,0.0,0.0,278.0,158.0,0.0,0.0,0.0,0.0,56.0,0.0,0,0,0,0,0.0,0.0,0,2.0,1.0,1.0,50.0,True,2021-2022,CB,None,None,None,1.0,Everton_Wolves,Everton_Wolves_2021,1.7,1.5,2.0,1.0,2021-11-01,Martin Atkinson,Molineux Stadium,Mon,20:00,"30,617",108,Wolves,Everton,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69.0,0.0,1.0,2.0,0.6,0.6,0.0,1.0,0.0,57.0,62.0,91.9,1.0,47.0,0.0,0.0,0.0,1312.0,680.0,11.0,12.0,91.7,34.0,35.0,97.1,12.0,15.0,80.0,0.0,0.0,2.0,0.0,0.0,61.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,12.0,39.0,29.0,1.0,1.0,69.0,0.0,0.0,0.0,278.0,158.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0,1.0,1.7,1.5,2.0,1.0,108.0
