player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Jamie Vardy,ENG,33,90.0,0,0,0,0,1,0,0,0,19.0,1.0,0,1.0,0.1,0.1,0.1,2.0,1.0,9.0,13.0,69.2,2.0,10.0,1.0,1.0,0.0,123.0,24.0,7.0,9.0,77.8,1.0,2.0,50.0,1.0,1.0,100.0,0.1,1.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,11.0,3.0,19.0,0.0,1.0,100.0,61.0,37.0,0.0,0.0,0.0,0.0,14.0,7.0,0,2,0,0,0.0,0.0,0,0.0,0.0,3.0,0.0,True,2020-2021,FW,None,None,None,1.0,Burnley_Leicester_City,Burnley_Leicester_City_2020,1.2,1.4,4.0,2.0,2020-09-20,Lee Mason,King Power Stadium,Sun,19:00,0,16,Leicester City,Burnley,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,1.0,0.0,1.0,0.1,0.1,0.1,2.0,1.0,9.0,13.0,69.2,2.0,10.0,1.0,1.0,0.0,123.0,24.0,7.0,9.0,77.8,1.0,2.0,50.0,1.0,1.0,100.0,0.1,1.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,11.0,3.0,19.0,0.0,1.0,100.0,61.0,37.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.2,1.4,4.0,2.0,16.0
Harvey Barnes,ENG,22,89.0,1,1,0,0,5,3,0,0,51.0,0.0,0,0.0,0.3,0.3,0.1,5.0,1.0,32.0,40.0,80.0,7.0,34.0,9.0,3.0,2.0,553.0,165.0,13.0,17.0,76.5,14.0,15.0,93.3,3.0,3.0,100.0,0.1,2.0,4.0,2.0,0.0,40.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,33.0,10.0,51.0,66.7,1.0,33.3,273.0,214.0,3.0,4.0,3.0,0.0,44.0,11.0,0,2,0,0,0.0,0.0,0,2.0,0.0,2.0,0.0,True,2020-2021,LM,None,None,None,0.9888888888888889,Burnley_Leicester_City,Burnley_Leicester_City_2020,1.2,1.4,4.0,2.0,2020-09-20,Lee Mason,King Power Stadium,Sun,19:00,0,16,Leicester City,Burnley,22.247191011235955,1.0112359550561798,1.0112359550561798,0.0,0.0,5.056179775280898,3.033707865168539,0.0,0.0,51.573033707865164,0.0,0.0,0.0,0.3033707865168539,0.3033707865168539,0.10112359550561797,5.056179775280898,1.0112359550561798,32.359550561797754,40.44943820224719,80.89887640449437,7.078651685393258,34.38202247191011,9.101123595505618,3.033707865168539,2.0224719101123596,559.2134831460673,166.85393258426964,13.146067415730336,17.191011235955056,77.35955056179775,14.157303370786517,15.168539325842696,94.34831460674157,3.033707865168539,3.033707865168539,101.12359550561797,0.10112359550561797,2.0224719101123596,4.044943820224719,2.0224719101123596,0.0,40.44943820224719,0.0,0.0,0.0,0.0,1.0112359550561798,0.0,0.0,0.0,0.0,0.0,0.0,1.0112359550561798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0112359550561798,19.213483146067414,33.37078651685393,10.112359550561797,51.573033707865164,67.4494382022472,1.0112359550561798,33.674157303370784,276.0674157303371,216.40449438202248,3.033707865168539,4.044943820224719,3.033707865168539,0.0,44.49438202247191,11.123595505617978,0.0,2.0224719101123596,0.0,0.0,0.0,0.0,0.0,2.0224719101123596,0.0,2.0224719101123596,0.0,1.0,1.2134831460674156,1.4157303370786516,4.044943820224719,2.0224719101123596,16.179775280898877
Wes Morgan,JAM,36,1.0,0,0,0,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2020-2021,LM,CB,None,None,0.011111111111111112,Burnley_Leicester_City,Burnley_Leicester_City_2020,1.2,1.4,4.0,2.0,2020-09-20,Lee Mason,King Power Stadium,Sun,19:00,0,16,Leicester City,Burnley,3240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,9000.0,0.0,0.0,0.0,0.0,0.0,1170.0,990.0,90.0,90.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,107.99999999999999,125.99999999999999,360.0,180.0,1440.0
Dennis Praet,BEL,26,82.0,1,0,0,0,3,1,0,0,65.0,2.0,2,1.0,0.2,0.2,0.1,5.0,2.0,43.0,51.0,84.3,9.0,26.0,3.0,4.0,2.0,608.0,165.0,26.0,28.0,92.9,14.0,17.0,82.4,2.0,3.0,66.7,0.1,2.0,2.0,4.0,0.0,51.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,22.0,39.0,5.0,65.0,50.0,2.0,50.0,226.0,83.0,2.0,1.0,1.0,0.0,46.0,8.0,0,1,0,0,0.0,0.0,0,3.0,1.0,3.0,25.0,True,2020-2021,CM,None,None,None,0.9111111111111111,Burnley_Leicester_City,Burnley_Leicester_City_2020,1.2,1.4,4.0,2.0,2020-09-20,Lee Mason,King Power Stadium,Sun,19:00,0,16,Leicester City,Burnley,28.53658536585366,1.0975609756097562,0.0,0.0,0.0,3.2926829268292686,1.0975609756097562,0.0,0.0,71.34146341463415,2.1951219512195124,2.1951219512195124,1.0975609756097562,0.21951219512195125,0.21951219512195125,0.10975609756097562,5.487804878048781,2.1951219512195124,47.19512195121951,55.97560975609756,92.52439024390243,9.878048780487806,28.53658536585366,3.2926829268292686,4.390243902439025,2.1951219512195124,667.3170731707318,181.09756097560975,28.53658536585366,30.73170731707317,101.96341463414635,15.365853658536585,18.658536585365855,90.43902439024392,2.1951219512195124,3.2926829268292686,73.20731707317074,0.10975609756097562,2.1951219512195124,2.1951219512195124,4.390243902439025,0.0,55.97560975609756,0.0,0.0,0.0,0.0,3.2926829268292686,0.0,0.0,0.0,0.0,0.0,0.0,2.1951219512195124,0.0,0.0,2.1951219512195124,0.0,0.0,1.0975609756097562,0.0,1.0975609756097562,0.0,1.0975609756097562,4.390243902439025,0.0,0.0,0.0,4.390243902439025,24.146341463414636,42.80487804878049,5.487804878048781,71.34146341463415,54.87804878048781,2.1951219512195124,54.87804878048781,248.0487804878049,91.09756097560975,2.1951219512195124,1.0975609756097562,1.0975609756097562,0.0,50.487804878048784,8.78048780487805,0.0,1.0975609756097562,0.0,0.0,0.0,0.0,0.0,3.2926829268292686,1.0975609756097562,3.2926829268292686,27.439024390243905,1.0,1.3170731707317074,1.5365853658536586,4.390243902439025,2.1951219512195124,17.5609756097561
Marc Albrighton,ENG,30,8.0,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,24.0,5.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2020-2021,RM,CM,None,None,0.08888888888888889,Burnley_Leicester_City,Burnley_Leicester_City_2020,1.2,1.4,4.0,2.0,2020-09-20,Lee Mason,King Power Stadium,Sun,19:00,0,16,Leicester City,Burnley,337.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,45.0,562.5,0.0,11.25,0.0,0.0,0.0,270.0,56.25,11.25,22.5,562.5,11.25,11.25,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,11.25,11.25,22.5,11.25,45.0,0.0,0.0,0.0,11.25,11.25,0.0,0.0,0.0,0.0,33.75,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.499999999999998,15.749999999999998,45.0,22.5,180.0
Youri Tielemans,BEL,23,90.0,0,0,0,0,1,1,0,0,103.0,1.0,2,0.0,0.0,0.0,0.1,4.0,1.0,77.0,98.0,78.6,10.0,43.0,0.0,0.0,0.0,1371.0,421.0,40.0,44.0,90.9,25.0,31.0,80.6,10.0,18.0,55.6,0.3,2.0,6.0,4.0,1.0,83.0,15.0,3.0,0.0,1.0,12,0.0,12.0,5.0,1.0,0.0,0.0,2.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,17.0,53.0,33.0,1.0,103.0,0.0,0.0,0.0,176.0,79.0,0.0,0.0,1.0,2.0,72.0,2.0,0,1,1,0,0.0,0.0,0,9.0,0.0,3.0,0.0,True,2020-2021,CM,None,None,None,1.0,Burnley_Leicester_City,Burnley_Leicester_City_2020,1.2,1.4,4.0,2.0,2020-09-20,Lee Mason,King Power Stadium,Sun,19:00,0,16,Leicester City,Burnley,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,103.0,1.0,2.0,0.0,0.0,0.0,0.1,4.0,1.0,77.0,98.0,78.6,10.0,43.0,0.0,0.0,0.0,1371.0,421.0,40.0,44.0,90.9,25.0,31.0,80.6,10.0,18.0,55.6,0.3,2.0,6.0,4.0,1.0,83.0,15.0,3.0,0.0,1.0,12.0,0.0,12.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,17.0,53.0,33.0,1.0,103.0,0.0,0.0,0.0,176.0,79.0,0.0,0.0,1.0,2.0,72.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,1.0,1.2,1.4,4.0,2.0,16.0
Ayoze Perez,ESP,27,61.0,0,0,0,0,1,0,0,0,37.0,2.0,2,1.0,0.1,0.1,0.0,1.0,0.0,17.0,22.0,77.3,2.0,19.0,1.0,2.0,0.0,200.0,40.0,12.0,14.0,85.7,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,8.0,18.0,11.0,6.0,37.0,0.0,2.0,100.0,81.0,47.0,1.0,0.0,3.0,0.0,24.0,10.0,0,1,0,0,0.0,0.0,0,1.0,2.0,5.0,28.6,True,2020-2021,RM,None,None,None,0.6777777777777778,Burnley_Leicester_City,Burnley_Leicester_City_2020,1.2,1.4,4.0,2.0,2020-09-20,Lee Mason,King Power Stadium,Sun,19:00,0,16,Leicester City,Burnley,39.83606557377049,0.0,0.0,0.0,0.0,1.4754098360655736,0.0,0.0,0.0,54.59016393442623,2.9508196721311473,2.9508196721311473,1.4754098360655736,0.14754098360655737,0.14754098360655737,0.0,1.4754098360655736,0.0,25.08196721311475,32.459016393442624,114.04918032786884,2.9508196721311473,28.0327868852459,1.4754098360655736,2.9508196721311473,0.0,295.08196721311475,59.01639344262295,17.704918032786885,20.65573770491803,126.44262295081967,5.9016393442622945,7.377049180327869,118.0327868852459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.459016393442624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4754098360655736,0.0,0.0,2.9508196721311473,0.0,1.4754098360655736,2.9508196721311473,73.77049180327869,1.4754098360655736,0.0,1.4754098360655736,5.9016393442622945,1.4754098360655736,0.0,1.4754098360655736,11.803278688524589,26.557377049180328,16.229508196721312,8.852459016393443,54.59016393442623,0.0,2.9508196721311473,147.54098360655738,119.50819672131146,69.34426229508196,1.4754098360655736,0.0,4.426229508196721,0.0,35.40983606557377,14.754098360655737,0.0,1.4754098360655736,0.0,0.0,0.0,0.0,0.0,1.4754098360655736,2.9508196721311473,7.377049180327869,42.19672131147541,1.0,1.7704918032786883,2.065573770491803,5.9016393442622945,2.9508196721311473,23.606557377049178
James Maddison,ENG,23,29.0,0,0,0,0,0,0,0,0,23.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,20.0,100.0,2.0,12.0,1.0,0.0,0.0,311.0,87.0,11.0,11.0,100.0,6.0,6.0,100.0,2.0,2.0,100.0,0.1,0.0,0.0,1.0,0.0,15.0,5.0,1.0,0.0,0.0,2,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,15.0,0.0,23.0,0.0,0.0,0.0,90.0,52.0,1.0,0.0,3.0,0.0,17.0,4.0,0,1,1,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,2020-2021,RM,CM,FW,None,0.32222222222222224,Burnley_Leicester_City,Burnley_Leicester_City_2020,1.2,1.4,4.0,2.0,2020-09-20,Lee Mason,King Power Stadium,Sun,19:00,0,16,Leicester City,Burnley,71.37931034482759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.37931034482759,0.0,0.0,0.0,0.0,0.0,0.0,3.103448275862069,0.0,62.068965517241374,62.068965517241374,310.34482758620686,6.206896551724138,37.241379310344826,3.103448275862069,0.0,0.0,965.1724137931034,270.0,34.137931034482754,34.137931034482754,310.34482758620686,18.620689655172413,18.620689655172413,310.34482758620686,6.206896551724138,6.206896551724138,310.34482758620686,0.3103448275862069,0.0,0.0,3.103448275862069,0.0,46.55172413793103,15.517241379310343,3.103448275862069,0.0,0.0,6.206896551724138,0.0,9.310344827586206,0.0,3.103448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.103448275862069,0.0,3.103448275862069,0.0,0.0,0.0,0.0,0.0,0.0,3.103448275862069,21.72413793103448,46.55172413793103,0.0,71.37931034482759,0.0,0.0,0.0,279.31034482758616,161.3793103448276,3.103448275862069,0.0,9.310344827586206,0.0,52.75862068965517,12.413793103448276,0.0,3.103448275862069,3.103448275862069,0.0,0.0,0.0,0.0,6.206896551724138,0.0,0.0,0.0,1.0,3.724137931034482,4.344827586206896,12.413793103448276,6.206896551724138,49.6551724137931
Nampalys Mendy,SEN,28,90.0,0,0,0,0,0,0,1,0,96.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,83.0,91.0,91.2,5.0,43.0,1.0,1.0,0.0,1209.0,274.0,44.0,46.0,95.7,27.0,31.0,87.1,5.0,6.0,83.3,0.0,0.0,4.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,18.0,61.0,17.0,0.0,96.0,0.0,1.0,100.0,177.0,97.0,1.0,0.0,0.0,1.0,81.0,0.0,0,1,4,0,0.0,0.0,0,4.0,0.0,1.0,0.0,True,2020-2021,DM,None,None,None,1.0,Burnley_Leicester_City,Burnley_Leicester_City_2020,1.2,1.4,4.0,2.0,2020-09-20,Lee Mason,King Power Stadium,Sun,19:00,0,16,Leicester City,Burnley,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,96.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,83.0,91.0,91.2,5.0,43.0,1.0,1.0,0.0,1209.0,274.0,44.0,46.0,95.7,27.0,31.0,87.1,5.0,6.0,83.3,0.0,0.0,4.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,18.0,61.0,17.0,0.0,96.0,0.0,1.0,100.0,177.0,97.0,1.0,0.0,0.0,1.0,81.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1.2,1.4,4.0,2.0,16.0
James Justin,ENG,22,90.0,1,0,0,0,2,1,0,0,84.0,0.0,1,0.0,0.4,0.4,0.1,2.0,0.0,66.0,77.0,85.7,8.0,45.0,7.0,1.0,0.0,1048.0,334.0,27.0,30.0,90.0,34.0,37.0,91.9,2.0,4.0,50.0,0.1,1.0,2.0,3.0,1.0,68.0,9.0,1.0,0.0,1.0,5,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,18.0,36.0,30.0,4.0,84.0,0.0,1.0,100.0,311.0,170.0,4.0,2.0,1.0,1.0,62.0,8.0,0,2,4,0,0.0,0.0,0,3.0,2.0,5.0,28.6,True,2020-2021,LB,None,None,None,1.0,Burnley_Leicester_City,Burnley_Leicester_City_2020,1.2,1.4,4.0,2.0,2020-09-20,Lee Mason,King Power Stadium,Sun,19:00,0,16,Leicester City,Burnley,22.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,84.0,0.0,1.0,0.0,0.4,0.4,0.1,2.0,0.0,66.0,77.0,85.7,8.0,45.0,7.0,1.0,0.0,1048.0,334.0,27.0,30.0,90.0,34.0,37.0,91.9,2.0,4.0,50.0,0.1,1.0,2.0,3.0,1.0,68.0,9.0,1.0,0.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,18.0,36.0,30.0,4.0,84.0,0.0,1.0,100.0,311.0,170.0,4.0,2.0,1.0,1.0,62.0,8.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,28.6,1.0,1.2,1.4,4.0,2.0,16.0
Caglar Soyuncu,TUR,24,90.0,0,0,0,0,1,0,0,0,83.0,2.0,1,2.0,0.1,0.1,0.1,1.0,0.0,59.0,70.0,84.3,5.0,42.0,1.0,0.0,0.0,1252.0,421.0,17.0,18.0,94.4,30.0,34.0,88.2,10.0,15.0,66.7,0.0,2.0,4.0,0.0,0.0,66.0,4.0,3.0,0.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,3.0,5.0,0.0,8.0,45.0,35.0,4.0,2.0,83.0,0.0,0.0,0.0,186.0,94.0,1.0,0.0,1.0,0.0,56.0,0.0,0,0,1,0,0.0,0.0,0,4.0,4.0,2.0,66.7,True,2020-2021,CB,None,None,None,1.0,Burnley_Leicester_City,Burnley_Leicester_City_2020,1.2,1.4,4.0,2.0,2020-09-20,Lee Mason,King Power Stadium,Sun,19:00,0,16,Leicester City,Burnley,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,83.0,2.0,1.0,2.0,0.1,0.1,0.1,1.0,0.0,59.0,70.0,84.3,5.0,42.0,1.0,0.0,0.0,1252.0,421.0,17.0,18.0,94.4,30.0,34.0,88.2,10.0,15.0,66.7,0.0,2.0,4.0,0.0,0.0,66.0,4.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,3.0,5.0,0.0,8.0,45.0,35.0,4.0,2.0,83.0,0.0,0.0,0.0,186.0,94.0,1.0,0.0,1.0,0.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,66.7,1.0,1.2,1.4,4.0,2.0,16.0
Wilfred Ndidi,NGA,23,90.0,0,0,0,0,0,0,0,0,73.0,3.0,2,1.0,0.0,0.0,0.0,0.0,0.0,49.0,62.0,79.0,1.0,26.0,0.0,0.0,0.0,963.0,220.0,16.0,18.0,88.9,24.0,31.0,77.4,7.0,9.0,77.8,0.0,0.0,2.0,0.0,0.0,61.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,0.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,5.0,2.0,0.0,7.0,41.0,31.0,1.0,0.0,73.0,0.0,0.0,0.0,141.0,70.0,0.0,0.0,0.0,0.0,36.0,0.0,0,0,1,0,0.0,0.0,0,7.0,7.0,1.0,87.5,True,2020-2021,CB,None,None,None,1.0,Burnley_Leicester_City,Burnley_Leicester_City_2020,1.2,1.4,4.0,2.0,2020-09-20,Lee Mason,King Power Stadium,Sun,19:00,0,16,Leicester City,Burnley,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,62.0,79.0,1.0,26.0,0.0,0.0,0.0,963.0,220.0,16.0,18.0,88.9,24.0,31.0,77.4,7.0,9.0,77.8,0.0,0.0,2.0,0.0,0.0,61.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,5.0,2.0,0.0,7.0,41.0,31.0,1.0,0.0,73.0,0.0,0.0,0.0,141.0,70.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,87.5,1.0,1.2,1.4,4.0,2.0,16.0
