ranker,player,nationality,position,team,comp_level,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches,season,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,gameweek
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23-226,2000,1,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,39,44,88.6,618,158,20,20,100.0,14,16,87.5,3,4,75.0,0.1,-0.1,1,1,1,0,36,8,1,1,0,1,7,0,0,0,0,0,2,4,4.86,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0,2,0,1,1,0,2,3,66.7,1,0,0,0,0,2,1,0,50,0,11,31,8,0,50,3,2,66.7,1,33.3,27,165,87,1,0,0,0,29,74,82.2,74,0,0,,0,1.00,0,1,-1,-1.22,-6.84,0.3,0.9,-0.5,-0.65,-5.12,0,1,2,0,0,0,0,3,0,3,0.0,1
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-324,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,58,63,92.1,1159,337,16,19,84.2,38,38,100.0,4,6,66.7,0.0,0.0,0,5,0,0,58,5,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,2,1,3,0,1,3,33.3,2,0,0,0,1,5,1,0,72,6,25,46,1,1,72,0,0,,0,,50,291,170,0,0,0,0,48,90,100.0,90,1,0,,0,0.00,1,2,-1,-1.00,,0.8,1.0,-0.3,-0.27,,0,1,0,0,0,0,0,3,2,3,40.0,1
3,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-145,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,30,35,85.7,467,149,13,15,86.7,14,17,82.4,1,1,100.0,0.0,0.0,0,4,0,0,32,3,3,0,0,0,0,0,0,0,0,0,2,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,43,2,9,25,9,1,43,2,0,0.0,1,50.0,30,170,68,1,0,1,0,29,90,100.0,90,1,0,,0,0.00,2,3,-1,-1.00,,0.7,2.5,-1.8,-1.84,,0,3,1,0,0,1,0,3,0,1,0.0,1
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-198,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches,2023,1,0,0.0,1.00,0.00,0.00,,26.6,0,0.06,-0.1,-0.1,23,25,92.0,441,109,9,10,90.0,12,13,92.3,2,2,100.0,0.0,0.0,1,2,0,0,23,2,2,0,0,0,0,0,0,0,0,0,0,2,2.00,0,0,0,0,0,2,0,0.00,0,0,0,0,0,0,4,2,2,2,0,1,4,25.0,3,6,2,4,7,11,1,0,44,2,28,15,2,0,44,0,0,,0,,22,91,17,0,0,0,0,19,90,100.0,90,1,0,,0,1.00,0,0,0,0.00,,0.1,1.2,-1.1,-1.11,,0,0,1,0,0,0,0,5,0,0,,1
5,Abner,br BRA,DF,Betis,es La Liga,23-083,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,2023,1,0,0.0,1.00,0.00,0.00,,14.9,0,0.03,0.0,0.0,29,38,76.3,368,220,22,27,81.5,5,5,100.0,1,3,33.3,0.0,0.0,0,1,0,0,30,8,0,0,0,2,8,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,2,2,0,0,2,2,100.0,0,6,2,4,3,5,3,0,56,9,29,13,16,3,56,2,1,50.0,1,50.0,21,90,40,0,0,1,0,19,90,100.0,90,1,0,,0,3.00,2,1,+1,+1.00,,1.1,0.9,+0.1,+0.13,,0,0,0,0,0,0,0,6,0,0,,1
6,Zakaria Aboukhlal,ma MAR,FW,Toulouse,fr Ligue 1,23-181,2000,1,1,82,0.9,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.7,1,1,9,1.10,0.00,1.10,1.10,1.10,0.74,0.06,0.80,0.74,0.80,Matches,2023,4,2,50.0,4.39,2.20,0.25,0.50,9.3,0,0.17,+0.3,+0.3,13,20,65.0,210,37,6,8,75.0,6,6,100.0,1,1,100.0,0.0,-0.1,1,1,0,0,18,2,0,0,0,0,2,0,0,0,0,0,1,1,1.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,27,0,0,8,19,6,27,0,0,,0,,21,87,33,1,0,3,0,25,82,91.1,82,0,0,,0,3.00,1,1,0,0.00,-11.25,1.0,0.9,0.0,+0.05,-0.03,0,4,2,1,0,0,0,0,3,1,75.0,1
7,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24-161,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,24,33,72.7,590,235,7,9,77.8,11,12,91.7,6,12,50.0,0.0,0.0,0,2,0,0,32,1,1,0,2,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,1,3,0,39,5,17,20,2,0,39,0,0,,0,,22,130,90,2,0,0,0,20,90,100.0,90,1,0,,0,0.00,0,1,-1,-1.00,,0.3,0.7,-0.4,-0.41,,0,1,2,0,0,0,0,7,3,0,100.0,1
8,Marcos Acuna,ar ARG,DF,Sevilla,es La Liga,31-294,1991,1,1,90,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,5,2,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.16,0.05,0.16,Matches,2023,2,0,0.0,2.00,0.00,0.00,,25.5,0,0.03,-0.1,-0.1,49,68,72.1,1179,555,17,20,85.0,18,21,85.7,13,23,56.5,0.1,-0.1,1,9,2,1,51,17,0,0,1,7,15,2,0,2,0,0,3,4,4.00,2,1,1,0,0,0,0,0.00,0,0,0,0,0,0,2,1,1,1,0,1,2,50.0,1,2,0,2,3,5,0,0,80,0,23,35,22,1,80,3,1,33.3,0,0.0,36,161,95,0,1,2,3,38,90,100.0,90,1,0,,0,0.00,1,2,-1,-1.00,,0.7,1.1,-0.4,-0.40,,0,1,1,0,0,0,0,10,0,2,0.0,1
9,Benie Adama Traore,ci CIV,FW,Sheffield Utd,eng Premier League,20-261,2002,1,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,2,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.36,0.00,0.36,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,10,12,83.3,169,50,5,5,100.0,4,5,80.0,1,1,100.0,0.1,-0.3,2,1,2,0,12,0,0,1,0,0,0,0,0,0,0,0,1,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,0,1,1,0,2,0.0,2,1,0,1,0,2,0,0,20,1,4,6,11,1,20,5,0,0.0,5,100.0,14,126,55,2,0,1,1,8,86,95.6,86,0,0,,0,0.00,0,1,-1,-1.05,-1.05,0.5,1.9,-1.4,-1.46,-2.00,0,5,1,0,0,0,0,7,0,4,0.0,1
10,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23-201,2000,1,1,76,0.8,2,0,2,2,0,0,0,0,0.4,0.4,0.0,0.4,2,0,5,2.37,0.00,2.37,2.37,2.37,0.45,0.00,0.45,0.45,0.45,Matches,2023,2,2,100.0,2.37,2.37,1.00,1.00,10.7,0,0.19,+1.6,+1.6,8,11,72.7,125,51,3,5,60.0,2,2,100.0,1,1,100.0,0.0,0.0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,21,0,0,8,13,2,21,1,0,0.0,0,0.0,14,119,67,3,1,5,0,15,76,84.4,76,0,0,,0,1.00,2,1,+1,+1.18,+7.61,1.0,0.8,+0.2,+0.27,-2.29,0,2,1,1,0,0,0,2,2,0,100.0,1
